datetime,Open,High,Low,Close,Volume
2024-07-15 07:00:00,18.489999,18.489999,18.489999,18.489999,
2024-07-15 07:05:00,18.489999,18.489999,18.409999,18.409999,400.0
2024-07-15 07:10:00,18.45,18.45,18.45,18.45,118.0
2024-07-15 07:15:00,18.5,18.5,18.5,18.5,87.0
2024-07-15 07:20:00,,,,,
2024-07-15 07:25:00,,,,,
2024-07-15 07:30:00,,,,,
2024-07-15 07:35:00,,,,,
2024-07-15 07:40:00,,,,,
2024-07-15 07:45:00,,,,,
2024-07-15 07:50:00,,,,,
2024-07-15 07:55:00,,,,,
2024-07-15 08:00:00,18.54,18.549999,18.54,18.549999,64.0
2024-07-15 08:05:00,,,,,
2024-07-15 08:10:00,18.579999,18.62,18.579999,18.62,139.0
2024-07-15 08:15:00,,,,,
2024-07-15 08:20:00,18.549999,18.639999,18.54,18.639999,213.0
2024-07-15 08:25:00,18.62,18.62,18.62,18.62,35.0
2024-07-15 08:30:00,,,,,
2024-07-15 08:35:00,,,,,
2024-07-15 08:40:00,,,,,
2024-07-15 08:45:00,,,,,
2024-07-15 08:50:00,,,,,
2024-07-15 08:55:00,18.59,18.59,18.59,18.59,62.0
2024-07-15 09:00:00,,,,,
2024-07-15 09:05:00,,,,,
2024-07-15 09:10:00,,,,,
2024-07-15 09:15:00,18.569999,18.569999,18.569999,18.569999,3.0
2024-07-15 09:20:00,18.569999,18.569999,18.569999,18.569999,300.0
2024-07-15 09:25:00,18.569999,18.569999,18.569999,18.569999,40.0
2024-07-15 09:30:00,18.639999,18.659999,18.639999,18.659999,832.0
2024-07-15 09:35:00,18.659999,18.719999,18.659999,18.709999,1369.0
2024-07-15 09:40:00,18.75,18.75,18.709999,18.709999,575.0
2024-07-15 09:45:00,18.67,18.67,18.659999,18.659999,206.0
2024-07-15 09:50:00,18.649999,18.649999,18.649999,18.649999,181.0
2024-07-15 09:55:00,18.62,18.62,18.62,18.62,373.0
2024-07-15 10:00:00,18.569999,18.569999,18.569999,18.569999,191.0
2024-07-15 10:05:00,18.59,18.59,18.59,18.59,279.0
2024-07-15 10:10:00,,,,,
2024-07-15 10:15:00,,,,,
2024-07-15 10:20:00,,,,,
2024-07-15 10:25:00,18.61,18.61,18.61,18.61,176.0
2024-07-15 10:30:00,18.6,18.62,18.6,18.62,590.0
2024-07-15 10:35:00,,,,,
2024-07-15 10:40:00,,,,,
2024-07-15 10:45:00,18.629999,18.629999,18.61,18.61,236.0
2024-07-15 10:50:00,18.559999,18.559999,18.549999,18.549999,23.0
2024-07-15 10:55:00,,,,,
2024-07-15 11:00:00,,,,,
2024-07-15 11:05:00,,,,,
2024-07-15 11:10:00,,,,,
2024-07-15 11:15:00,,,,,
2024-07-15 11:20:00,,,,,
2024-07-15 11:25:00,,,,,
2024-07-15 11:30:00,,,,,
2024-07-15 11:35:00,18.579999,18.579999,18.53,18.579999,1416.0
2024-07-15 11:40:00,,,,,
2024-07-15 11:45:00,,,,,
2024-07-15 11:50:00,,,,,
2024-07-15 11:55:00,,,,,
2024-07-15 12:00:00,18.62,18.62,18.6,18.6,329.0
2024-07-15 12:05:00,18.569999,18.569999,18.569999,18.569999,20.0
2024-07-15 12:10:00,,,,,
2024-07-15 12:15:00,,,,,
2024-07-15 12:20:00,,,,,
2024-07-15 12:25:00,18.53,18.53,18.52,18.52,125.0
2024-07-15 12:30:00,18.54,18.54,18.5,18.51,2150.0
2024-07-15 12:35:00,,,,,
2024-07-15 12:40:00,18.479999,18.479999,18.459999,18.459999,576.0
2024-07-15 12:45:00,18.409999,18.409999,18.409999,18.409999,721.0
2024-07-15 12:50:00,18.389999,18.389999,18.379999,18.379999,703.0
2024-07-15 12:55:00,,,,,
2024-07-15 13:00:00,18.329999,18.379999,18.329999,18.379999,331.0
2024-07-15 13:05:00,,,,,
2024-07-15 13:10:00,18.36,18.37,18.35,18.37,484.0
