datetime,Open,High,Low,Close,Volume
2023-08-10 07:00:00,1.529999,1.529999,1.529999,1.529999,
2023-08-10 07:05:00,,,,,
2023-08-10 07:10:00,,,,,
2023-08-10 07:15:00,,,,,
2023-08-10 07:20:00,,,,,
2023-08-10 07:25:00,,,,,
2023-08-10 07:30:00,,,,,
2023-08-10 07:35:00,,,,,
2023-08-10 07:40:00,,,,,
2023-08-10 07:45:00,,,,,
2023-08-10 07:50:00,1.529999,1.59,1.529999,1.59,10000.0
2023-08-10 07:55:00,,,,,
2023-08-10 08:00:00,,,,,
2023-08-10 08:05:00,,,,,
2023-08-10 08:10:00,,,,,
2023-08-10 08:15:00,,,,,
2023-08-10 08:20:00,,,,,
2023-08-10 08:25:00,,,,,
2023-08-10 08:30:00,,,,,
2023-08-10 08:35:00,,,,,
2023-08-10 08:40:00,,,,,
2023-08-10 08:45:00,,,,,
2023-08-10 08:50:00,,,,,
2023-08-10 08:55:00,,,,,
2023-08-10 09:00:00,,,,,
2023-08-10 09:05:00,1.549999,1.549999,1.549999,1.549999,4000.0
2023-08-10 09:10:00,1.58,1.58,1.58,1.58,500.0
2023-08-10 09:15:00,,,,,
2023-08-10 09:20:00,,,,,
2023-08-10 09:25:00,,,,,
2023-08-10 09:30:00,,,,,
2023-08-10 09:35:00,,,,,
2023-08-10 09:40:00,,,,,
2023-08-10 09:45:00,,,,,
2023-08-10 09:50:00,,,,,
2023-08-10 09:55:00,1.59,1.59,1.59,1.59,4528.0
2023-08-10 10:00:00,,,,,
2023-08-10 10:05:00,,,,,
2023-08-10 10:10:00,,,,,
2023-08-10 10:15:00,,,,,
2023-08-10 10:20:00,,,,,
2023-08-10 10:25:00,,,,,
2023-08-10 10:30:00,,,,,
2023-08-10 10:35:00,,,,,
2023-08-10 10:40:00,,,,,
2023-08-10 10:45:00,,,,,
2023-08-10 10:50:00,,,,,
2023-08-10 10:55:00,,,,,
2023-08-10 11:00:00,1.59,1.59,1.59,1.59,1200.0
2023-08-10 11:05:00,,,,,
2023-08-10 11:10:00,,,,,
2023-08-10 11:15:00,,,,,
2023-08-10 11:20:00,1.6,1.6,1.6,1.6,
2023-08-10 11:25:00,,,,,
2023-08-10 11:30:00,,,,,
2023-08-10 11:35:00,,,,,
2023-08-10 11:40:00,,,,,
2023-08-10 11:45:00,,,,,
2023-08-10 11:50:00,,,,,
2023-08-10 11:55:00,,,,,
2023-08-10 12:00:00,,,,,
2023-08-10 12:05:00,,,,,
2023-08-10 12:10:00,,,,,
2023-08-10 12:15:00,,,,,
2023-08-10 12:20:00,,,,,
2023-08-10 12:25:00,,,,,
2023-08-10 12:30:00,,,,,
2023-08-10 12:35:00,,,,,
2023-08-10 12:40:00,,,,,
2023-08-10 12:45:00,,,,,
2023-08-10 12:50:00,,,,,
2023-08-10 12:55:00,,,,,
