datetime,Open,High,Low,Close,Volume
2024-11-07 08:00:00,24.299999,24.399999,24.299999,24.399999,428.0
2024-11-07 08:05:00,24.459999,24.5,24.459999,24.5,40.0
2024-11-07 08:10:00,24.42,24.42,24.42,24.42,1.0
2024-11-07 08:15:00,24.5,24.5,24.5,24.5,32.0
2024-11-07 08:20:00,,,,,
2024-11-07 08:25:00,24.62,24.62,24.62,24.62,55.0
2024-11-07 08:30:00,,,,,
2024-11-07 08:35:00,,,,,
2024-11-07 08:40:00,,,,,
2024-11-07 08:45:00,,,,,
2024-11-07 08:50:00,,,,,
2024-11-07 08:55:00,,,,,
2024-11-07 09:00:00,,,,,
2024-11-07 09:05:00,,,,,
2024-11-07 09:10:00,24.68,24.68,24.639999,24.68,323.0
2024-11-07 09:15:00,24.7,24.7,24.7,24.7,30.0
2024-11-07 09:20:00,,,,,
2024-11-07 09:25:00,,,,,
2024-11-07 09:30:00,24.78,24.84,24.78,24.84,193.0
2024-11-07 09:35:00,,,,,
2024-11-07 09:40:00,24.819999,24.819999,24.819999,24.819999,100.0
2024-11-07 09:45:00,24.799999,24.86,24.76,24.76,3188.0
2024-11-07 09:50:00,24.799999,24.92,24.78,24.799999,9193.0
2024-11-07 09:55:00,24.819999,24.819999,24.819999,24.819999,99.0
2024-11-07 10:00:00,24.799999,24.799999,24.799999,24.799999,195.0
2024-11-07 10:05:00,24.799999,24.86,24.799999,24.86,2280.0
2024-11-07 10:10:00,24.86,24.86,24.7,24.7,956.0
2024-11-07 10:15:00,24.719999,24.719999,24.7,24.7,719.0
2024-11-07 10:20:00,24.68,24.68,24.68,24.68,20.0
2024-11-07 10:25:00,,,,,
2024-11-07 10:30:00,,,,,
2024-11-07 10:35:00,,,,,
2024-11-07 10:40:00,,,,,
2024-11-07 10:45:00,,,,,
2024-11-07 10:50:00,,,,,
2024-11-07 10:55:00,,,,,
2024-11-07 11:00:00,,,,,
2024-11-07 11:05:00,24.639999,24.639999,24.6,24.6,426.0
2024-11-07 11:10:00,,,,,
2024-11-07 11:15:00,,,,,
2024-11-07 11:20:00,,,,,
2024-11-07 11:25:00,24.579999,24.579999,24.579999,24.579999,25.0
2024-11-07 11:30:00,,,,,
2024-11-07 11:35:00,,,,,
2024-11-07 11:40:00,,,,,
2024-11-07 11:45:00,,,,,
2024-11-07 11:50:00,,,,,
2024-11-07 11:55:00,,,,,
2024-11-07 12:00:00,,,,,
2024-11-07 12:05:00,,,,,
2024-11-07 12:10:00,,,,,
2024-11-07 12:15:00,,,,,
2024-11-07 12:20:00,,,,,
2024-11-07 12:25:00,,,,,
2024-11-07 12:30:00,,,,,
2024-11-07 12:35:00,,,,,
2024-11-07 12:40:00,24.7,24.7,24.7,24.7,156.0
2024-11-07 12:45:00,,,,,
2024-11-07 12:50:00,,,,,
2024-11-07 12:55:00,,,,,
2024-11-07 13:00:00,24.7,24.7,24.7,24.7,169.0
2024-11-07 13:05:00,,,,,
2024-11-07 13:10:00,24.68,24.7,24.659999,24.7,754.0
2024-11-07 13:15:00,,,,,
2024-11-07 13:20:00,,,,,
2024-11-07 13:25:00,,,,,
2024-11-07 13:30:00,24.739999,24.879999,24.739999,24.739999,927.0
2024-11-07 13:35:00,,,,,
2024-11-07 13:40:00,24.719999,24.719999,24.659999,24.659999,530.0
2024-11-07 13:45:00,,,,,
2024-11-07 13:50:00,24.62,24.62,24.579999,24.579999,161.0
2024-11-07 13:55:00,,,,,
2024-11-07 14:00:00,24.559999,24.559999,24.559999,24.559999,41.0
2024-11-07 14:05:00,24.579999,24.579999,24.54,24.54,101.0
2024-11-07 14:10:00,,,,,
2024-11-07 14:15:00,,,,,
2024-11-07 14:20:00,24.54,24.54,24.52,24.52,559.0
2024-11-07 14:25:00,,,,,
2024-11-07 14:30:00,24.52,24.52,24.52,24.52,301.0
2024-11-07 14:35:00,,,,,
2024-11-07 14:40:00,24.6,24.6,24.6,24.6,54.0
2024-11-07 14:45:00,24.579999,24.579999,24.54,24.54,262.0
2024-11-07 14:50:00,24.54,24.54,24.54,24.54,10.0
2024-11-07 14:55:00,24.559999,24.62,24.559999,24.579999,431.0
2024-11-07 15:00:00,24.6,24.62,24.6,24.62,41.0
2024-11-07 15:05:00,24.659999,24.68,24.659999,24.659999,437.0
2024-11-07 15:10:00,,,,,
2024-11-07 15:15:00,24.639999,24.7,24.62,24.639999,316.0
2024-11-07 15:20:00,24.62,24.62,24.62,24.62,150.0
2024-11-07 15:25:00,24.6,24.6,24.6,24.6,133.0
2024-11-07 15:30:00,24.639999,24.639999,24.639999,24.639999,55.0
2024-11-07 15:35:00,,,,,
2024-11-07 15:40:00,24.62,24.62,24.559999,24.6,577.0
2024-11-07 15:45:00,24.6,24.639999,24.6,24.639999,95.0
2024-11-07 15:50:00,24.6,24.6,24.6,24.6,158.0
2024-11-07 15:55:00,,,,,
2024-11-07 16:00:00,24.6,24.6,24.5,24.5,2590.0
2024-11-07 16:05:00,24.52,24.559999,24.52,24.52,290.0
2024-11-07 16:10:00,24.54,24.559999,24.54,24.559999,115.0
2024-11-07 16:15:00,24.579999,24.579999,24.579999,24.579999,12.0
2024-11-07 16:20:00,24.559999,24.579999,24.559999,24.579999,1118.0
2024-11-07 16:25:00,24.559999,24.559999,24.52,24.559999,708.0
2024-11-07 16:30:00,24.6,24.6,24.6,24.6,
2024-11-08 08:00:00,24.719999,24.719999,24.6,24.6,886.0
2024-11-08 08:05:00,24.6,24.6,24.52,24.52,305.0
2024-11-08 08:10:00,24.479999,24.479999,24.479999,24.479999,53.0
2024-11-08 08:15:00,,,,,
2024-11-08 08:20:00,24.5,24.5,24.459999,24.459999,151.0
2024-11-08 08:25:00,,,,,
2024-11-08 08:30:00,24.479999,24.479999,24.479999,24.479999,113.0
2024-11-08 08:35:00,24.5,24.52,24.5,24.52,54.0
2024-11-08 08:40:00,,,,,
2024-11-08 08:45:00,24.459999,24.459999,24.459999,24.459999,144.0
2024-11-08 08:50:00,,,,,
2024-11-08 08:55:00,24.42,24.42,24.42,24.42,188.0
2024-11-08 09:00:00,,,,,
2024-11-08 09:05:00,24.379999,24.379999,24.379999,24.379999,26.0
2024-11-08 09:10:00,,,,,
2024-11-08 09:15:00,24.36,24.36,24.36,24.36,247.0
2024-11-08 09:20:00,24.34,24.34,24.319999,24.34,81.0
2024-11-08 09:25:00,,,,,
2024-11-08 09:30:00,,,,,
2024-11-08 09:35:00,24.26,24.26,24.26,24.26,58.0
2024-11-08 09:40:00,,,,,
2024-11-08 09:45:00,24.159999,24.159999,24.079999,24.1,5078.0
2024-11-08 09:50:00,24.139999,24.159999,24.139999,24.159999,632.0
2024-11-08 09:55:00,24.18,24.18,24.18,24.18,2.0
2024-11-08 10:00:00,24.18,24.219999,24.18,24.219999,616.0
2024-11-08 10:05:00,24.159999,24.159999,24.159999,24.159999,49.0
2024-11-08 10:10:00,24.219999,24.219999,24.219999,24.219999,100.0
2024-11-08 10:15:00,,,,,
2024-11-08 10:20:00,24.2,24.2,24.2,24.2,1.0
2024-11-08 10:25:00,24.18,24.18,24.18,24.18,113.0
2024-11-08 10:30:00,24.139999,24.139999,24.139999,24.139999,206.0
2024-11-08 10:35:00,,,,,
2024-11-08 10:40:00,24.18,24.2,24.18,24.18,227.0
2024-11-08 10:45:00,24.159999,24.159999,24.159999,24.159999,17.0
2024-11-08 10:50:00,24.159999,24.159999,24.159999,24.159999,14.0
2024-11-08 10:55:00,,,,,
2024-11-08 11:00:00,,,,,
2024-11-08 11:05:00,,,,,
2024-11-08 11:10:00,,,,,
2024-11-08 11:15:00,24.219999,24.219999,24.219999,24.219999,100.0
2024-11-08 11:20:00,24.26,24.299999,24.26,24.26,1548.0
2024-11-08 11:25:00,24.219999,24.219999,24.2,24.219999,1518.0
2024-11-08 11:30:00,24.26,24.319999,24.26,24.319999,2994.0
2024-11-08 11:35:00,24.319999,24.36,24.319999,24.36,1018.0
2024-11-08 11:40:00,,,,,
2024-11-08 11:45:00,,,,,
2024-11-08 11:50:00,,,,,
2024-11-08 11:55:00,,,,,
2024-11-08 12:00:00,24.5,24.5,24.5,24.5,101.0
2024-11-08 12:05:00,24.479999,24.5,24.479999,24.5,1000.0
2024-11-08 12:10:00,,,,,
2024-11-08 12:15:00,,,,,
2024-11-08 12:20:00,,,,,
2024-11-08 12:25:00,,,,,
2024-11-08 12:30:00,24.44,24.459999,24.42,24.459999,735.0
2024-11-08 12:35:00,,,,,
2024-11-08 12:40:00,24.459999,24.459999,24.459999,24.459999,37.0
2024-11-08 12:45:00,,,,,
2024-11-08 12:50:00,,,,,
2024-11-08 12:55:00,,,,,
2024-11-08 13:00:00,24.42,24.42,24.42,24.42,667.0
2024-11-08 13:05:00,24.479999,24.5,24.479999,24.5,302.0
2024-11-08 13:10:00,,,,,
2024-11-08 13:15:00,24.479999,24.479999,24.479999,24.479999,218.0
2024-11-08 13:20:00,,,,,
2024-11-08 13:25:00,24.5,24.52,24.5,24.52,267.0
2024-11-08 13:30:00,24.5,24.5,24.5,24.5,15.0
2024-11-08 13:35:00,,,,,
2024-11-08 13:40:00,,,,,
2024-11-08 13:45:00,,,,,
2024-11-08 13:50:00,,,,,
2024-11-08 13:55:00,,,,,
2024-11-08 14:00:00,,,,,
2024-11-08 14:05:00,24.42,24.42,24.42,24.42,110.0
2024-11-08 14:10:00,,,,,
2024-11-08 14:15:00,24.459999,24.459999,24.44,24.44,1518.0
2024-11-08 14:20:00,24.5,24.5,24.459999,24.459999,940.0
2024-11-08 14:25:00,24.459999,24.459999,24.459999,24.459999,47.0
2024-11-08 14:30:00,24.44,24.44,24.44,24.44,260.0
2024-11-08 14:35:00,,,,,
2024-11-08 14:40:00,24.42,24.42,24.399999,24.399999,230.0
2024-11-08 14:45:00,,,,,
2024-11-08 14:50:00,,,,,
2024-11-08 14:55:00,24.399999,24.399999,24.399999,24.399999,120.0
2024-11-08 15:00:00,24.36,24.36,24.36,24.36,16.0
2024-11-08 15:05:00,24.319999,24.399999,24.319999,24.399999,399.0
2024-11-08 15:10:00,,,,,
2024-11-08 15:15:00,,,,,
2024-11-08 15:20:00,24.44,24.44,24.44,24.44,190.0
2024-11-08 15:25:00,,,,,
2024-11-08 15:30:00,,,,,
2024-11-08 15:35:00,24.459999,24.459999,24.459999,24.459999,441.0
2024-11-08 15:40:00,,,,,
2024-11-08 15:45:00,,,,,
2024-11-08 15:50:00,,,,,
2024-11-08 15:55:00,24.44,24.44,24.42,24.42,719.0
2024-11-08 16:00:00,,,,,
2024-11-08 16:05:00,24.379999,24.379999,24.379999,24.379999,62.0
2024-11-08 16:10:00,24.379999,24.379999,24.379999,24.379999,45.0
2024-11-08 16:15:00,24.42,24.42,24.42,24.42,55.0
2024-11-08 16:20:00,24.44,24.44,24.42,24.42,979.0
2024-11-08 16:25:00,24.42,24.42,24.42,24.42,201.0
2024-11-08 16:30:00,24.479999,24.479999,24.479999,24.479999,
2024-11-11 08:00:00,25.379999,25.659999,25.299999,25.639999,
2024-11-11 08:05:00,25.559999,25.579999,25.36,25.36,3066.0
2024-11-11 08:10:00,25.399999,25.399999,25.139999,25.139999,322.0
2024-11-11 08:15:00,25.219999,25.28,25.219999,25.28,442.0
2024-11-11 08:20:00,25.34,25.34,25.26,25.26,282.0
2024-11-11 08:25:00,25.2,25.2,25.2,25.2,26.0
2024-11-11 08:30:00,25.239999,25.26,25.139999,25.239999,788.0
2024-11-11 08:35:00,,,,,
2024-11-11 08:40:00,25.26,25.319999,25.26,25.28,511.0
2024-11-11 08:45:00,,,,,
2024-11-11 08:50:00,25.28,25.34,25.28,25.319999,784.0
2024-11-11 08:55:00,25.399999,25.399999,25.399999,25.399999,158.0
2024-11-11 09:00:00,25.42,25.479999,25.399999,25.479999,1059.0
2024-11-11 09:05:00,25.54,25.559999,25.479999,25.559999,636.0
2024-11-11 09:10:00,,,,,
2024-11-11 09:15:00,25.5,25.5,25.42,25.459999,254.0
2024-11-11 09:20:00,25.379999,25.379999,25.379999,25.379999,141.0
2024-11-11 09:25:00,,,,,
2024-11-11 09:30:00,25.299999,25.299999,25.2,25.2,442.0
2024-11-11 09:35:00,25.219999,25.239999,25.219999,25.239999,453.0
2024-11-11 09:40:00,25.18,25.18,25.18,25.18,119.0
2024-11-11 09:45:00,25.2,25.2,25.2,25.2,46.0
2024-11-11 09:50:00,25.18,25.34,25.18,25.34,1287.0
2024-11-11 09:55:00,25.34,25.34,25.319999,25.34,238.0
2024-11-11 10:00:00,,,,,
2024-11-11 10:05:00,25.299999,25.299999,25.299999,25.299999,182.0
2024-11-11 10:10:00,25.239999,25.239999,25.2,25.2,320.0
2024-11-11 10:15:00,25.2,25.2,25.2,25.2,113.0
2024-11-11 10:20:00,25.239999,25.26,25.239999,25.26,139.0
2024-11-11 10:25:00,25.239999,25.239999,25.18,25.2,440.0
2024-11-11 10:30:00,,,,,
2024-11-11 10:35:00,25.239999,25.239999,25.239999,25.239999,103.0
2024-11-11 10:40:00,25.2,25.2,25.2,25.2,233.0
2024-11-11 10:45:00,25.139999,25.139999,25.139999,25.139999,77.0
2024-11-11 10:50:00,,,,,
2024-11-11 10:55:00,,,,,
2024-11-11 11:00:00,,,,,
2024-11-11 11:05:00,25.18,25.18,25.18,25.18,100.0
2024-11-11 11:10:00,25.12,25.12,25.1,25.12,338.0
2024-11-11 11:15:00,25.1,25.18,25.1,25.18,2175.0
2024-11-11 11:20:00,,,,,
2024-11-11 11:25:00,25.219999,25.219999,25.219999,25.219999,4.0
2024-11-11 11:30:00,25.239999,25.28,25.2,25.2,547.0
2024-11-11 11:35:00,25.239999,25.299999,25.239999,25.299999,335.0
2024-11-11 11:40:00,,,,,
2024-11-11 11:45:00,,,,,
2024-11-11 11:50:00,,,,,
2024-11-11 11:55:00,25.28,25.28,25.219999,25.219999,461.0
2024-11-11 12:00:00,25.059999,25.059999,25.059999,25.059999,48.0
2024-11-11 12:05:00,,,,,
2024-11-11 12:10:00,25.239999,25.239999,25.239999,25.239999,638.0
2024-11-11 12:15:00,25.26,25.319999,25.26,25.319999,862.0
2024-11-11 12:20:00,,,,,
2024-11-11 12:25:00,25.28,25.28,25.28,25.28,149.0
2024-11-11 12:30:00,,,,,
2024-11-11 12:35:00,,,,,
2024-11-11 12:40:00,,,,,
2024-11-11 12:45:00,25.319999,25.319999,25.319999,25.319999,100.0
2024-11-11 12:50:00,,,,,
2024-11-11 12:55:00,,,,,
2024-11-11 13:00:00,25.28,25.28,25.12,25.12,948.0
2024-11-11 13:05:00,,,,,
2024-11-11 13:10:00,,,,,
2024-11-11 13:15:00,,,,,
2024-11-11 13:20:00,25.159999,25.159999,25.159999,25.159999,37.0
2024-11-11 13:25:00,25.159999,25.159999,25.159999,25.159999,69.0
2024-11-11 13:30:00,,,,,
2024-11-11 13:35:00,25.18,25.2,25.159999,25.159999,1215.0
2024-11-11 13:40:00,,,,,
2024-11-11 13:45:00,25.2,25.28,25.2,25.239999,2564.0
2024-11-11 13:50:00,,,,,
2024-11-11 13:55:00,,,,,
2024-11-11 14:00:00,25.219999,25.219999,25.219999,25.219999,420.0
2024-11-11 14:05:00,25.28,25.28,25.28,25.28,
2024-11-11 14:10:00,25.2,25.2,25.2,25.2,34053.0
2024-11-11 14:15:00,25.219999,25.219999,25.219999,25.219999,1.0
2024-11-11 14:20:00,25.159999,25.159999,25.12,25.12,300.0
2024-11-11 14:25:00,25.12,25.18,25.12,25.18,1276.0
2024-11-11 14:30:00,,,,,
2024-11-11 14:35:00,25.2,25.219999,25.2,25.219999,177.0
2024-11-11 14:40:00,25.2,25.219999,25.139999,25.139999,660.0
2024-11-11 14:45:00,25.18,25.2,25.18,25.18,376.0
2024-11-11 14:50:00,25.219999,25.219999,25.159999,25.159999,2209.0
2024-11-11 14:55:00,,,,,
2024-11-11 15:00:00,,,,,
2024-11-11 15:05:00,25.18,25.219999,25.18,25.219999,142.0
2024-11-11 15:10:00,25.239999,25.319999,25.239999,25.319999,234.0
2024-11-11 15:15:00,25.28,25.28,25.28,25.28,345.0
2024-11-11 15:20:00,,,,,
2024-11-11 15:25:00,,,,,
2024-11-11 15:30:00,25.28,25.28,25.28,25.28,59.0
2024-11-11 15:35:00,25.26,25.26,25.26,25.26,39.0
2024-11-11 15:40:00,25.299999,25.299999,25.299999,25.299999,34.0
2024-11-11 15:45:00,25.319999,25.319999,25.28,25.28,370.0
2024-11-11 15:50:00,,,,,
2024-11-11 15:55:00,25.28,25.34,25.28,25.319999,965.0
2024-11-11 16:00:00,25.299999,25.299999,25.299999,25.299999,288.0
2024-11-11 16:05:00,25.319999,25.319999,25.319999,25.319999,292.0
2024-11-11 16:10:00,25.319999,25.319999,25.28,25.299999,649.0
2024-11-11 16:15:00,25.299999,25.299999,25.28,25.299999,1428.0
2024-11-11 16:20:00,25.299999,25.299999,25.28,25.28,405.0
2024-11-11 16:25:00,25.319999,25.42,25.299999,25.42,1773.0
2024-11-12 08:00:00,23.0,23.159999,22.799999,22.799999,17765.0
2024-11-12 08:05:00,22.799999,22.799999,21.62,21.86,25209.0
2024-11-12 08:10:00,21.799999,22.2,21.6,21.7,20778.0
2024-11-12 08:15:00,21.639999,21.899999,21.62,21.76,9654.0
2024-11-12 08:20:00,21.739999,21.799999,21.68,21.78,2176.0
2024-11-12 08:25:00,21.739999,22.059999,21.5,21.54,23110.0
2024-11-12 08:30:00,21.379999,21.54,21.219999,21.379999,24213.0
2024-11-12 08:35:00,21.5,21.5,21.219999,21.219999,5751.0
2024-11-12 08:40:00,21.219999,21.579999,21.219999,21.459999,23735.0
2024-11-12 08:45:00,21.44,21.54,21.36,21.379999,2891.0
2024-11-12 08:50:00,21.44,21.7,21.44,21.7,6568.0
2024-11-12 08:55:00,21.7,21.959999,21.7,21.78,5920.0
2024-11-12 09:00:00,21.739999,21.819999,21.7,21.76,1881.0
2024-11-12 09:05:00,21.7,21.799999,21.7,21.76,3869.0
2024-11-12 09:10:00,21.719999,22.079999,21.719999,21.92,11754.0
2024-11-12 09:15:00,21.979999,22.059999,21.959999,22.04,9589.0
2024-11-12 09:20:00,22.059999,22.159999,22.04,22.159999,1078.0
2024-11-12 09:25:00,22.139999,22.159999,22.139999,22.139999,310.0
2024-11-12 09:30:00,,,,,
2024-11-12 09:35:00,22.1,22.159999,21.979999,22.02,2161.0
2024-11-12 09:40:00,22.02,22.02,22.0,22.0,1316.0
2024-11-12 09:45:00,21.979999,21.979999,21.979999,21.979999,160.0
2024-11-12 09:50:00,22.02,22.079999,21.959999,21.959999,494.0
2024-11-12 09:55:00,21.94,22.0,21.84,21.86,2901.0
2024-11-12 10:00:00,21.86,21.899999,21.86,21.86,250.0
2024-11-12 10:05:00,21.819999,21.819999,21.799999,21.799999,150.0
2024-11-12 10:10:00,21.899999,21.94,21.899999,21.92,1080.0
2024-11-12 10:15:00,21.92,21.92,21.879999,21.879999,2926.0
2024-11-12 10:20:00,21.899999,21.899999,21.899999,21.899999,38.0
2024-11-12 10:25:00,21.899999,21.899999,21.899999,21.899999,85.0
2024-11-12 10:30:00,21.86,21.899999,21.86,21.899999,150.0
2024-11-12 10:35:00,,,,,
2024-11-12 10:40:00,21.899999,21.92,21.819999,21.92,472.0
2024-11-12 10:45:00,,,,,
2024-11-12 10:50:00,21.94,21.94,21.879999,21.879999,796.0
2024-11-12 10:55:00,21.86,21.86,21.86,21.86,
2024-11-12 11:00:00,,,,,
2024-11-12 11:05:00,21.819999,21.879999,21.819999,21.879999,210673.0
2024-11-12 11:10:00,,,,,
2024-11-12 11:15:00,21.92,21.92,21.879999,21.879999,905.0
2024-11-12 11:20:00,,,,,
2024-11-12 11:25:00,21.86,21.879999,21.86,21.86,930.0
2024-11-12 11:30:00,21.84,21.84,21.62,21.62,5376.0
2024-11-12 11:35:00,21.7,21.78,21.68,21.78,2590.0
2024-11-12 11:40:00,21.84,21.84,21.84,21.84,169.0
2024-11-12 11:45:00,21.86,21.86,21.819999,21.84,142.0
2024-11-12 11:50:00,21.86,21.879999,21.86,21.879999,250.0
2024-11-12 11:55:00,21.819999,22.059999,21.819999,22.059999,2493.0
2024-11-12 12:00:00,22.059999,22.079999,22.059999,22.079999,105.0
2024-11-12 12:05:00,,,,,
2024-11-12 12:10:00,22.1,22.1,22.1,22.1,380.0
2024-11-12 12:15:00,22.159999,22.2,22.139999,22.2,6204.0
2024-11-12 12:20:00,22.139999,22.36,22.139999,22.36,2699.0
2024-11-12 12:25:00,22.36,22.6,22.36,22.5,5420.0
2024-11-12 12:30:00,22.44,22.62,22.42,22.5,15432.0
2024-11-12 12:35:00,22.399999,22.479999,22.399999,22.479999,785.0
2024-11-12 12:40:00,22.5,22.579999,22.459999,22.579999,868.0
2024-11-12 12:45:00,22.559999,22.559999,22.559999,22.559999,378.0
2024-11-12 12:50:00,22.52,22.559999,22.44,22.559999,1587.0
2024-11-12 12:55:00,22.639999,22.819999,22.639999,22.819999,2409.0
2024-11-12 13:00:00,,,,,
2024-11-12 13:05:00,22.84,23.059999,22.84,22.979999,1840.0
2024-11-12 13:10:00,23.0,23.12,22.979999,23.079999,4995.0
2024-11-12 13:15:00,22.979999,23.02,22.899999,22.899999,1790.0
2024-11-12 13:20:00,22.799999,22.94,22.78,22.94,1215.0
2024-11-12 13:25:00,23.0,23.0,22.879999,22.879999,161.0
2024-11-12 13:30:00,22.92,22.959999,22.899999,22.959999,643.0
2024-11-12 13:35:00,,,,,
2024-11-12 13:40:00,22.899999,22.899999,22.899999,22.899999,688.0
2024-11-12 13:45:00,,,,,
2024-11-12 13:50:00,22.94,22.94,22.84,22.84,486.0
2024-11-12 13:55:00,,,,,
2024-11-12 14:00:00,22.799999,22.879999,22.799999,22.879999,955.0
2024-11-12 14:05:00,22.86,22.899999,22.86,22.879999,1329.0
