datetime,Open,High,Low,Close,Volume
2022-10-31 08:00:00,3.752,3.773999,3.752,3.773999,
2022-10-31 08:05:00,3.753999,3.753999,3.733999,3.733999,4311.0
2022-10-31 08:10:00,3.75,3.75,3.75,3.75,38.0
2022-10-31 08:15:00,,,,,
2022-10-31 08:20:00,,,,,
2022-10-31 08:25:00,3.74,3.753999,3.74,3.753999,3302.0
2022-10-31 08:30:00,3.733999,3.756,3.733999,3.747999,20729.0
2022-10-31 08:35:00,3.747999,3.747999,3.747999,3.747999,429.0
2022-10-31 08:40:00,,,,,
2022-10-31 08:45:00,,,,,
2022-10-31 08:50:00,3.763999,3.766,3.763999,3.763999,1720.0
2022-10-31 08:55:00,,,,,
2022-10-31 09:00:00,3.756,3.767999,3.756,3.766,2018.0
2022-10-31 09:05:00,3.762,3.762,3.762,3.762,102.0
2022-10-31 09:10:00,,,,,
2022-10-31 09:15:00,3.763999,3.763999,3.762,3.762,1649.0
2022-10-31 09:20:00,3.772,3.772,3.772,3.772,517.0
2022-10-31 09:25:00,3.779999,3.779999,3.773999,3.773999,1669.0
2022-10-31 09:30:00,,,,,
2022-10-31 09:35:00,3.767999,3.767999,3.767999,3.767999,601.0
2022-10-31 09:40:00,,,,,
2022-10-31 09:45:00,,,,,
2022-10-31 09:50:00,,,,,
2022-10-31 09:55:00,3.752,3.752,3.75,3.75,1500.0
2022-10-31 10:00:00,,,,,
2022-10-31 10:05:00,3.759999,3.759999,3.75,3.75,858.0
2022-10-31 10:10:00,3.753999,3.753999,3.753999,3.753999,100.0
2022-10-31 10:15:00,,,,,
2022-10-31 10:20:00,,,,,
2022-10-31 10:25:00,3.75,3.75,3.75,3.75,2443.0
2022-10-31 10:30:00,,,,,
2022-10-31 10:35:00,3.743999,3.75,3.743999,3.75,2646.0
2022-10-31 10:40:00,,,,,
2022-10-31 10:45:00,,,,,
2022-10-31 10:50:00,,,,,
2022-10-31 10:55:00,,,,,
2022-10-31 11:00:00,3.762,3.762,3.75,3.75,4589.0
2022-10-31 11:05:00,,,,,
2022-10-31 11:10:00,,,,,
2022-10-31 11:15:00,,,,,
2022-10-31 11:20:00,,,,,
2022-10-31 11:25:00,,,,,
2022-10-31 11:30:00,,,,,
2022-10-31 11:35:00,3.746,3.746,3.746,3.746,100.0
2022-10-31 11:40:00,3.75,3.75,3.75,3.75,130.0
2022-10-31 11:45:00,,,,,
2022-10-31 11:50:00,3.743999,3.752,3.742,3.752,4316.0
2022-10-31 11:55:00,,,,,
2022-10-31 12:00:00,,,,,
2022-10-31 12:05:00,,,,,
2022-10-31 12:10:00,,,,,
2022-10-31 12:15:00,,,,,
2022-10-31 12:20:00,,,,,
2022-10-31 12:25:00,,,,,
2022-10-31 12:30:00,,,,,
2022-10-31 12:35:00,,,,,
2022-10-31 12:40:00,,,,,
2022-10-31 12:45:00,,,,,
2022-10-31 12:50:00,3.75,3.75,3.75,3.75,28.0
2022-10-31 12:55:00,,,,,
2022-10-31 13:00:00,,,,,
2022-10-31 13:05:00,3.75,3.75,3.746,3.746,1517.0
2022-10-31 13:10:00,,,,,
2022-10-31 13:15:00,3.746,3.746,3.74,3.74,7483.0
2022-10-31 13:20:00,3.727999,3.727999,3.727999,3.727999,243.0
2022-10-31 13:25:00,3.73,3.732,3.723999,3.723999,3160.0
2022-10-31 13:30:00,3.723999,3.723999,3.716,3.723999,7595.0
2022-10-31 13:35:00,3.736,3.74,3.736,3.74,5893.0
