datetime,Open,High,Low,Close,Volume
2025-07-10 07:00:00,241.5,242.0,240.5,241.5,24.0
2025-07-10 07:05:00,,,,,
2025-07-10 07:10:00,,,,,
2025-07-10 07:15:00,,,,,
2025-07-10 07:20:00,,,,,
2025-07-10 07:25:00,,,,,
2025-07-10 07:30:00,,,,,
2025-07-10 07:35:00,242.0,242.0,242.0,242.0,5.0
2025-07-10 07:40:00,,,,,
2025-07-10 07:45:00,,,,,
2025-07-10 07:50:00,,,,,
2025-07-10 07:55:00,240.5,240.5,240.5,240.5,20.0
2025-07-10 08:00:00,240.5,240.5,240.5,240.5,13.0
2025-07-10 08:05:00,,,,,
2025-07-10 08:10:00,239.0,239.0,239.0,239.0,26.0
2025-07-10 08:15:00,,,,,
2025-07-10 08:20:00,238.0,238.0,238.0,238.0,50.0
2025-07-10 08:25:00,,,,,
2025-07-10 08:30:00,,,,,
2025-07-10 08:35:00,,,,,
2025-07-10 08:40:00,,,,,
2025-07-10 08:45:00,237.5,237.5,237.5,237.5,7.0
2025-07-10 08:50:00,,,,,
2025-07-10 08:55:00,237.0,237.0,236.5,236.5,61.0
2025-07-10 09:00:00,,,,,
2025-07-10 09:05:00,,,,,
2025-07-10 09:10:00,237.5,238.0,237.5,237.5,195.0
2025-07-10 09:15:00,,,,,
2025-07-10 09:20:00,,,,,
2025-07-10 09:25:00,,,,,
2025-07-10 09:30:00,,,,,
2025-07-10 09:35:00,,,,,
2025-07-10 09:40:00,,,,,
2025-07-10 09:45:00,,,,,
2025-07-10 09:50:00,,,,,
2025-07-10 09:55:00,,,,,
2025-07-10 10:00:00,,,,,
2025-07-10 10:05:00,,,,,
2025-07-10 10:10:00,,,,,
2025-07-10 10:15:00,,,,,
2025-07-10 10:20:00,,,,,
2025-07-10 10:25:00,,,,,
2025-07-10 10:30:00,,,,,
2025-07-10 10:35:00,,,,,
2025-07-10 10:40:00,,,,,
2025-07-10 10:45:00,,,,,
2025-07-10 10:50:00,,,,,
2025-07-10 10:55:00,,,,,
2025-07-10 11:00:00,236.5,236.5,236.5,236.5,14.0
2025-07-10 11:05:00,,,,,
2025-07-10 11:10:00,,,,,
2025-07-10 11:15:00,,,,,
2025-07-10 11:20:00,237.5,237.5,237.5,237.5,30.0
2025-07-10 11:25:00,238.0,238.0,238.0,238.0,8.0
2025-07-10 11:30:00,,,,,
2025-07-10 11:35:00,,,,,
2025-07-10 11:40:00,,,,,
2025-07-10 11:45:00,,,,,
2025-07-10 11:50:00,238.5,239.0,238.5,238.5,60.0
2025-07-10 11:55:00,,,,,
2025-07-10 12:00:00,,,,,
2025-07-10 12:05:00,237.5,237.5,237.5,237.5,
2025-07-10 12:10:00,,,,,
2025-07-10 12:15:00,,,,,
2025-07-10 12:20:00,,,,,
2025-07-10 12:25:00,,,,,
2025-07-10 12:30:00,,,,,
2025-07-10 12:35:00,,,,,
2025-07-10 12:40:00,,,,,
2025-07-10 12:45:00,,,,,
2025-07-10 12:50:00,,,,,
2025-07-10 12:55:00,,,,,
2025-07-10 13:00:00,,,,,
2025-07-10 13:05:00,238.5,238.5,238.5,238.5,549.0
2025-07-10 13:10:00,,,,,
2025-07-10 13:15:00,,,,,
2025-07-10 13:20:00,,,,,
2025-07-10 13:25:00,239.0,239.0,239.0,239.0,
2025-07-10 13:30:00,,,,,
2025-07-10 13:35:00,,,,,
2025-07-10 13:40:00,,,,,
2025-07-10 13:45:00,,,,,
2025-07-10 13:50:00,238.5,238.5,238.5,238.5,594.0
2025-07-10 13:55:00,237.0,237.0,236.5,236.5,108.0
2025-07-10 14:00:00,,,,,
2025-07-10 14:05:00,,,,,
2025-07-10 14:10:00,236.5,236.5,236.5,236.5,122.0
2025-07-10 14:15:00,236.0,236.0,236.0,236.0,
