datetime,Open,High,Low,Close,Volume
2025-04-25 07:00:00,5.599999,5.639999,5.599999,5.639999,
2025-04-25 07:05:00,,,,,
2025-04-25 07:10:00,,,,,
2025-04-25 07:15:00,5.599999,5.61,5.59,5.61,2027.0
2025-04-25 07:20:00,5.554999,5.554999,5.554999,5.554999,463.0
2025-04-25 07:25:00,5.51,5.565,5.51,5.565,2138.0
2025-04-25 07:30:00,5.559999,5.565,5.559999,5.565,177.0
2025-04-25 07:35:00,5.55,5.585,5.545,5.57,1831.0
2025-04-25 07:40:00,5.565,5.574999,5.545,5.565,6333.0
2025-04-25 07:45:00,5.554999,5.574999,5.55,5.574999,2239.0
2025-04-25 07:50:00,,,,,
2025-04-25 07:55:00,5.574999,5.574999,5.574999,5.574999,307.0
2025-04-25 08:00:00,5.574999,5.59,5.574999,5.574999,1951.0
2025-04-25 08:05:00,5.57,5.57,5.554999,5.554999,1702.0
2025-04-25 08:10:00,5.55,5.55,5.545,5.545,713.0
2025-04-25 08:15:00,5.539999,5.565,5.539999,5.55,1867.0
2025-04-25 08:20:00,5.559999,5.57,5.545,5.57,1867.0
2025-04-25 08:25:00,5.55,5.55,5.55,5.55,288.0
2025-04-25 08:30:00,,,,,
2025-04-25 08:35:00,5.539999,5.55,5.539999,5.55,282.0
2025-04-25 08:40:00,5.55,5.55,5.55,5.55,634.0
2025-04-25 08:45:00,5.579999,5.59,5.579999,5.59,3371.0
2025-04-25 08:50:00,,,,,
2025-04-25 08:55:00,,,,,
2025-04-25 09:00:00,,,,,
2025-04-25 09:05:00,,,,,
2025-04-25 09:10:00,,,,,
2025-04-25 09:15:00,5.579999,5.579999,5.559999,5.559999,3647.0
2025-04-25 09:20:00,,,,,
2025-04-25 09:25:00,,,,,
2025-04-25 09:30:00,,,,,
2025-04-25 09:35:00,5.559999,5.559999,5.559999,5.559999,611.0
2025-04-25 09:40:00,,,,,
2025-04-25 09:45:00,5.574999,5.594999,5.574999,5.594999,2088.0
2025-04-25 09:50:00,,,,,
2025-04-25 09:55:00,5.585,5.585,5.585,5.585,626.0
2025-04-25 10:00:00,5.585,5.585,5.57,5.57,2611.0
2025-04-25 10:05:00,,,,,
2025-04-25 10:10:00,,,,,
2025-04-25 10:15:00,5.574999,5.574999,5.565,5.565,716.0
2025-04-25 10:20:00,5.559999,5.559999,5.554999,5.554999,819.0
2025-04-25 10:25:00,5.55,5.55,5.55,5.55,1057.0
2025-04-25 10:30:00,,,,,
2025-04-25 10:35:00,5.539999,5.539999,5.525,5.525,1460.0
2025-04-25 10:40:00,,,,,
2025-04-25 10:45:00,,,,,
2025-04-25 10:50:00,,,,,
2025-04-25 10:55:00,,,,,
2025-04-25 11:00:00,5.51,5.51,5.51,5.51,44.0
2025-04-25 11:05:00,5.534999,5.534999,5.534999,5.534999,1285.0
2025-04-25 11:10:00,,,,,
2025-04-25 11:15:00,5.539999,5.539999,5.53,5.53,301.0
2025-04-25 11:20:00,,,,,
2025-04-25 11:25:00,,,,,
2025-04-25 11:30:00,,,,,
2025-04-25 11:35:00,5.514999,5.514999,5.5,5.5,747.0
2025-04-25 11:40:00,,,,,
2025-04-25 11:45:00,,,,,
2025-04-25 11:50:00,,,,,
2025-04-25 11:55:00,,,,,
2025-04-25 12:00:00,5.514999,5.53,5.51,5.51,2809.0
2025-04-25 12:05:00,5.505,5.534999,5.5,5.534999,10869.0
2025-04-25 12:10:00,,,,,
2025-04-25 12:15:00,5.53,5.534999,5.53,5.53,1785.0
2025-04-25 12:20:00,,,,,
2025-04-25 12:25:00,5.53,5.539999,5.53,5.539999,2070.0
2025-04-25 12:30:00,5.534999,5.534999,5.534999,5.534999,116.0
2025-04-25 12:35:00,5.55,5.55,5.55,5.55,142.0
2025-04-25 12:40:00,5.559999,5.579999,5.559999,5.579999,8341.0
2025-04-25 12:45:00,5.57,5.57,5.57,5.57,1389.0
2025-04-25 12:50:00,,,,,
2025-04-25 12:55:00,5.59,5.59,5.59,5.59,1034.0
2025-04-25 13:00:00,,,,,
2025-04-25 13:05:00,,,,,
2025-04-25 13:10:00,5.594999,5.594999,5.594999,5.594999,73.0
2025-04-25 13:15:00,5.57,5.57,5.559999,5.559999,701.0
2025-04-25 13:20:00,5.554999,5.554999,5.554999,5.554999,708.0
2025-04-25 13:25:00,5.554999,5.554999,5.554999,5.554999,1000.0
2025-04-25 13:30:00,5.57,5.57,5.565,5.565,184.0
2025-04-25 13:35:00,5.565,5.574999,5.565,5.574999,1377.0
2025-04-25 13:40:00,,,,,
2025-04-25 13:45:00,5.594999,5.65,5.594999,5.605,12242.0
2025-04-25 13:50:00,5.594999,5.594999,5.59,5.59,1693.0
2025-04-25 13:55:00,,,,,
2025-04-25 14:00:00,5.61,5.61,5.61,5.61,
2025-04-25 14:05:00,5.61,5.61,5.594999,5.594999,2280.0
2025-04-25 14:10:00,,,,,
