datetime,Open,High,Low,Close,Volume
2025-01-06 08:00:00,35.049999,35.25,35.049999,35.25,
2025-01-06 08:05:00,,,,,
2025-01-06 08:10:00,,,,,
2025-01-06 08:15:00,,,,,
2025-01-06 08:20:00,,,,,
2025-01-06 08:25:00,,,,,
2025-01-06 08:30:00,,,,,
2025-01-06 08:35:00,,,,,
2025-01-06 08:40:00,,,,,
2025-01-06 08:45:00,,,,,
2025-01-06 08:50:00,35.45,35.7,35.45,35.7,132.0
2025-01-06 08:55:00,,,,,
2025-01-06 09:00:00,,,,,
2025-01-06 09:05:00,35.599998,35.75,35.5,35.5,616.0
2025-01-06 09:10:00,,,,,
2025-01-06 09:15:00,,,,,
2025-01-06 09:20:00,,,,,
2025-01-06 09:25:00,,,,,
2025-01-06 09:30:00,,,,,
2025-01-06 09:35:00,,,,,
2025-01-06 09:40:00,35.5,35.599998,35.5,35.549999,330.0
2025-01-06 09:45:00,,,,,
2025-01-06 09:50:00,,,,,
2025-01-06 09:55:00,,,,,
2025-01-06 10:00:00,,,,,
2025-01-06 10:05:00,,,,,
2025-01-06 10:10:00,35.599998,35.599998,35.599998,35.599998,405.0
2025-01-06 10:15:00,,,,,
2025-01-06 10:20:00,,,,,
2025-01-06 10:25:00,,,,,
2025-01-06 10:30:00,,,,,
2025-01-06 10:35:00,,,,,
2025-01-06 10:40:00,35.650001,35.650001,35.650001,35.650001,148.0
2025-01-06 10:45:00,35.650001,35.650001,35.650001,35.650001,8.0
2025-01-06 10:50:00,35.650001,35.650001,35.650001,35.650001,4.0
2025-01-06 10:55:00,,,,,
2025-01-06 11:00:00,35.650001,35.650001,35.650001,35.650001,5.0
2025-01-06 11:05:00,,,,,
2025-01-06 11:10:00,,,,,
2025-01-06 11:15:00,,,,,
2025-01-06 11:20:00,,,,,
2025-01-06 11:25:00,,,,,
2025-01-06 11:30:00,,,,,
2025-01-06 11:35:00,35.650001,35.650001,35.650001,35.650001,368.0
2025-01-06 11:40:00,,,,,
2025-01-06 11:45:00,35.650001,35.650001,35.650001,35.650001,8.0
2025-01-06 11:50:00,,,,,
2025-01-06 11:55:00,,,,,
2025-01-06 12:00:00,35.650001,35.650001,35.650001,35.650001,3.0
2025-01-06 12:05:00,,,,,
2025-01-06 12:10:00,35.650001,35.650001,35.650001,35.650001,257.0
2025-01-06 12:15:00,35.599998,35.599998,35.599998,35.599998,155.0
2025-01-06 12:20:00,,,,,
2025-01-06 12:25:00,35.549999,35.549999,35.5,35.5,433.0
2025-01-06 12:30:00,,,,,
2025-01-06 12:35:00,35.5,35.5,35.25,35.25,411.0
2025-01-06 12:40:00,,,,,
2025-01-06 12:45:00,,,,,
2025-01-06 12:50:00,,,,,
2025-01-06 12:55:00,,,,,
2025-01-06 13:00:00,,,,,
2025-01-06 13:05:00,,,,,
2025-01-06 13:10:00,,,,,
2025-01-06 13:15:00,,,,,
2025-01-06 13:20:00,,,,,
2025-01-06 13:25:00,,,,,
2025-01-06 13:30:00,,,,,
2025-01-06 13:35:00,,,,,
2025-01-06 13:40:00,,,,,
2025-01-06 13:45:00,,,,,
2025-01-06 13:50:00,,,,,
2025-01-06 13:55:00,,,,,
2025-01-06 14:00:00,,,,,
2025-01-06 14:05:00,,,,,
2025-01-06 14:10:00,,,,,
2025-01-06 14:15:00,,,,,
2025-01-06 14:20:00,35.2,35.349998,35.2,35.349998,445.0
2025-01-06 14:25:00,,,,,
2025-01-06 14:30:00,,,,,
2025-01-06 14:35:00,,,,,
2025-01-06 14:40:00,,,,,
2025-01-06 14:45:00,,,,,
2025-01-06 14:50:00,,,,,
2025-01-06 14:55:00,,,,,
2025-01-06 15:00:00,,,,,
2025-01-06 15:05:00,35.45,35.45,35.45,35.45,30.0
2025-01-06 15:10:00,35.099998,35.099998,35.0,35.0,183.0
2025-01-06 15:15:00,,,,,
2025-01-06 15:20:00,,,,,
2025-01-06 15:25:00,,,,,
2025-01-06 15:30:00,,,,,
2025-01-06 15:35:00,,,,,
2025-01-06 15:40:00,,,,,
2025-01-06 15:45:00,,,,,
2025-01-06 15:50:00,,,,,
2025-01-06 15:55:00,,,,,
2025-01-06 16:00:00,,,,,
2025-01-06 16:05:00,,,,,
2025-01-06 16:10:00,,,,,
2025-01-06 16:15:00,35.2,35.2,35.2,35.2,3.0
2025-01-06 16:20:00,,,,,
2025-01-06 16:25:00,,,,,
2025-01-06 16:30:00,35.25,35.25,35.25,35.25,
2025-01-07 08:00:00,35.599998,35.599998,35.5,35.5,
2025-01-07 08:05:00,,,,,
2025-01-07 08:10:00,,,,,
2025-01-07 08:15:00,35.45,35.45,35.45,35.45,68.0
2025-01-07 08:20:00,,,,,
2025-01-07 08:25:00,,,,,
2025-01-07 08:30:00,,,,,
2025-01-07 08:35:00,,,,,
2025-01-07 08:40:00,,,,,
2025-01-07 08:45:00,,,,,
2025-01-07 08:50:00,,,,,
2025-01-07 08:55:00,,,,,
2025-01-07 09:00:00,,,,,
2025-01-07 09:05:00,,,,,
2025-01-07 09:10:00,,,,,
2025-01-07 09:15:00,,,,,
2025-01-07 09:20:00,,,,,
2025-01-07 09:25:00,35.150001,35.150001,35.150001,35.150001,3.0
2025-01-07 09:30:00,,,,,
2025-01-07 09:35:00,,,,,
2025-01-07 09:40:00,35.099998,35.099998,35.0,35.0,565.0
