datetime,Open,High,Low,Close,Volume
2026-04-20 07:00:00,,,,,
2026-04-20 07:05:00,,,,,
2026-04-20 07:10:00,,,,,
2026-04-20 07:15:00,,,,,
2026-04-20 07:20:00,,,,,
2026-04-20 07:25:00,,,,,
2026-04-20 07:30:00,,,,,
2026-04-20 07:35:00,,,,,
2026-04-20 07:40:00,,,,,
2026-04-20 07:45:00,,,,,
2026-04-20 07:50:00,,,,,
2026-04-20 07:55:00,,,,,
2026-04-20 08:00:00,,,,,
2026-04-20 08:05:00,,,,,
2026-04-20 08:10:00,,,,,
2026-04-20 08:15:00,,,,,
2026-04-20 08:20:00,,,,,
2026-04-20 08:25:00,,,,,
2026-04-20 08:30:00,,,,,
2026-04-20 08:35:00,,,,,
2026-04-20 08:40:00,,,,,
2026-04-20 08:45:00,,,,,
2026-04-20 08:50:00,,,,,
2026-04-20 08:55:00,,,,,
2026-04-20 09:00:00,,,,,
2026-04-20 09:05:00,,,,,
2026-04-20 09:10:00,,,,,
2026-04-20 09:15:00,,,,,
2026-04-20 09:20:00,7.526,7.526,7.526,7.526,
2026-04-20 09:25:00,7.317999,7.317999,7.306,7.309999,4920.0
2026-04-20 09:30:00,7.315999,7.32,7.306,7.32,20202.0
2026-04-20 09:35:00,7.326,7.326,7.306,7.308,29203.0
2026-04-20 09:40:00,7.302,7.315999,7.302,7.315999,4853.0
2026-04-20 09:45:00,7.32,7.322,7.308,7.309999,21539.0
2026-04-20 09:50:00,7.306,7.306,7.302,7.303999,1598.0
2026-04-20 09:55:00,7.302,7.308,7.302,7.302,6312.0
2026-04-20 10:00:00,7.303999,7.306,7.3,7.306,15072.0
2026-04-20 10:05:00,7.309999,7.322,7.309999,7.322,23592.0
2026-04-20 10:10:00,7.323999,7.328,7.309999,7.309999,6021.0
2026-04-20 10:15:00,7.309999,7.32,7.309999,7.32,13650.0
2026-04-20 10:20:00,7.314,7.315999,7.308,7.308,4149.0
2026-04-20 10:25:00,7.3,7.306,7.3,7.306,6883.0
2026-04-20 10:30:00,7.308,7.308,7.297999,7.297999,8903.0
2026-04-20 10:35:00,7.297999,7.315999,7.297999,7.306,53583.0
2026-04-20 10:40:00,7.306,7.526,7.297999,7.526,7084.0
2026-04-20 10:45:00,7.289999,7.296,7.285999,7.289999,23787.0
2026-04-20 10:50:00,7.288,7.297999,7.282,7.294,24542.0
2026-04-20 10:55:00,7.3,7.306,7.296,7.3,32420.0
2026-04-20 11:00:00,7.303999,7.308,7.291999,7.308,22022.0
2026-04-20 11:05:00,7.314,7.323999,7.314,7.323999,13609.0
2026-04-20 11:10:00,7.315999,7.315999,7.309999,7.311999,4621.0
2026-04-20 11:15:00,7.315999,7.323999,7.314,7.322,22143.0
2026-04-20 11:20:00,7.32,7.32,7.32,7.32,452.0
2026-04-20 11:25:00,7.311999,7.311999,7.308,7.308,4718.0
2026-04-20 11:30:00,7.306,7.317999,7.306,7.311999,7313.0
2026-04-20 11:35:00,7.526,7.526,7.526,7.526,9510.0
2026-04-20 11:40:00,7.3,7.309999,7.3,7.309999,1896.0
2026-04-20 11:45:00,7.308,7.315999,7.308,7.308,4717.0
2026-04-20 11:50:00,7.303999,7.303999,7.3,7.3,2862.0
2026-04-20 11:55:00,7.3,7.303999,7.287,7.303999,7930.0
2026-04-20 12:00:00,7.294,7.3,7.288,7.295,9570.0
2026-04-20 12:05:00,7.289999,7.289999,7.283999,7.283999,5476.0
2026-04-20 12:10:00,7.288,7.291999,7.288,7.291999,2450.0
2026-04-20 12:15:00,7.289999,7.289999,7.276,7.276,13856.0
2026-04-20 12:20:00,7.276,7.291999,7.276,7.288,74500.0
2026-04-20 12:25:00,7.289999,7.294,7.289999,7.289999,6483.0
2026-04-20 12:30:00,7.288,7.288,7.288,7.288,2547.0
2026-04-20 12:35:00,7.294,7.296,7.291999,7.291999,7411.0
2026-04-20 12:40:00,7.294,7.302,7.291999,7.297999,4809.0
2026-04-20 12:45:00,7.302,7.314,7.302,7.314,8881.0
2026-04-20 12:50:00,7.309999,7.322,7.308,7.322,13472.0
2026-04-20 12:55:00,7.317999,7.32,7.314,7.32,5639.0
2026-04-20 13:00:00,7.317999,7.323999,7.309999,7.315999,10869.0
2026-04-20 13:05:00,7.32,7.349999,7.317999,7.337999,45134.0
2026-04-20 13:10:00,7.34,7.348,7.335999,7.342,22113.0
2026-04-20 13:15:00,7.331999,7.334,7.328,7.329999,3543.0
2026-04-20 13:20:00,7.334,7.348,7.329999,7.343999,51966.0
2026-04-20 13:25:00,7.343999,7.349999,7.335999,7.349999,54785.0
2026-04-20 13:30:00,7.349999,7.363999,7.34,7.359,21280.0
