datetime,Open,High,Low,Close,Volume
2026-05-14 07:00:00,22.0,22.0,22.0,22.0,
2026-05-14 07:05:00,,,,,
2026-05-14 07:10:00,,,,,
2026-05-14 07:15:00,,,,,
2026-05-14 07:20:00,,,,,
2026-05-14 07:25:00,,,,,
2026-05-14 07:30:00,,,,,
2026-05-14 07:35:00,,,,,
2026-05-14 07:40:00,,,,,
2026-05-14 07:45:00,,,,,
2026-05-14 07:50:00,,,,,
2026-05-14 07:55:00,,,,,
2026-05-14 08:00:00,,,,,
2026-05-14 08:05:00,,,,,
2026-05-14 08:10:00,,,,,
2026-05-14 08:15:00,,,,,
2026-05-14 08:20:00,,,,,
2026-05-14 08:25:00,,,,,
2026-05-14 08:30:00,,,,,
2026-05-14 08:35:00,,,,,
2026-05-14 08:40:00,,,,,
2026-05-14 08:45:00,,,,,
2026-05-14 08:50:00,,,,,
2026-05-14 08:55:00,,,,,
2026-05-14 09:00:00,,,,,
2026-05-14 09:05:00,,,,,
2026-05-14 09:10:00,,,,,
2026-05-14 09:15:00,,,,,
2026-05-14 09:20:00,,,,,
2026-05-14 09:25:00,,,,,
2026-05-14 09:30:00,,,,,
2026-05-14 09:35:00,,,,,
2026-05-14 09:40:00,,,,,
2026-05-14 09:45:00,,,,,
2026-05-14 09:50:00,,,,,
2026-05-14 09:55:00,,,,,
2026-05-14 10:00:00,,,,,
2026-05-14 10:05:00,,,,,
2026-05-14 10:10:00,,,,,
2026-05-14 10:15:00,,,,,
2026-05-14 10:20:00,,,,,
2026-05-14 10:25:00,,,,,
2026-05-14 10:30:00,,,,,
2026-05-14 10:35:00,,,,,
2026-05-14 10:40:00,,,,,
2026-05-14 10:45:00,,,,,
2026-05-14 10:50:00,,,,,
2026-05-14 10:55:00,,,,,
2026-05-14 11:00:00,,,,,
2026-05-14 11:05:00,,,,,
2026-05-14 11:10:00,,,,,
2026-05-14 11:15:00,,,,,
2026-05-14 11:20:00,,,,,
2026-05-14 11:25:00,,,,,
2026-05-14 11:30:00,,,,,
