datetime,Open,High,Low,Close,Volume
2022-07-25 06:00:00,,,,,
2022-07-25 06:05:00,,,,,
2022-07-25 06:10:00,,,,,
2022-07-25 06:15:00,,,,,
2022-07-25 06:20:00,,,,,
2022-07-25 06:25:00,,,,,
2022-07-25 06:30:00,,,,,
2022-07-25 06:35:00,,,,,
2022-07-25 06:40:00,,,,,
2022-07-25 06:45:00,,,,,
2022-07-25 06:50:00,,,,,
2022-07-25 06:55:00,,,,,
2022-07-25 07:00:00,,,,,
2022-07-25 07:05:00,,,,,
2022-07-25 07:10:00,,,,,
2022-07-25 07:15:00,,,,,
2022-07-25 07:20:00,,,,,
2022-07-25 07:25:00,,,,,
2022-07-25 07:30:00,,,,,
2022-07-25 07:35:00,,,,,
2022-07-25 07:40:00,,,,,
2022-07-25 07:45:00,,,,,
2022-07-25 07:50:00,,,,,
2022-07-25 07:55:00,,,,,
2022-07-25 08:00:00,,,,,
2022-07-25 08:05:00,,,,,
2022-07-25 08:10:00,,,,,
2022-07-25 08:15:00,,,,,
2022-07-25 08:20:00,,,,,
2022-07-25 08:25:00,,,,,
2022-07-25 08:30:00,,,,,
2022-07-25 08:35:00,,,,,
2022-07-25 08:40:00,,,,,
2022-07-25 08:45:00,,,,,
2022-07-25 08:50:00,,,,,
2022-07-25 08:55:00,,,,,
2022-07-25 09:00:00,,,,,
2022-07-25 09:05:00,,,,,
2022-07-25 09:10:00,,,,,
2022-07-25 09:15:00,,,,,
2022-07-25 09:20:00,,,,,
2022-07-25 09:25:00,,,,,
2022-07-25 09:30:00,,,,,
2022-07-25 09:35:00,,,,,
2022-07-25 09:40:00,,,,,
2022-07-25 09:45:00,,,,,
2022-07-25 09:50:00,,,,,
2022-07-25 09:55:00,,,,,
2022-07-25 10:00:00,,,,,
2022-07-25 10:05:00,,,,,
2022-07-25 10:10:00,,,,,
2022-07-25 10:15:00,,,,,
2022-07-25 10:20:00,,,,,
2022-07-25 10:25:00,,,,,
2022-07-25 10:30:00,,,,,
2022-07-25 10:35:00,,,,,
2022-07-25 10:40:00,,,,,
2022-07-25 10:45:00,,,,,
2022-07-25 10:50:00,,,,,
2022-07-25 10:55:00,,,,,
2022-07-25 11:00:00,,,,,
2022-07-25 11:05:00,,,,,
2022-07-25 11:10:00,,,,,
2022-07-25 11:15:00,,,,,
2022-07-25 11:20:00,,,,,
2022-07-25 11:25:00,,,,,
2022-07-25 11:30:00,,,,,
2022-07-25 11:35:00,,,,,
2022-07-25 11:40:00,,,,,
2022-07-25 11:45:00,,,,,
2022-07-25 11:50:00,,,,,
2022-07-25 11:55:00,,,,,
2022-07-25 12:00:00,,,,,
2022-07-25 12:05:00,,,,,
2022-07-25 12:10:00,,,,,
2022-07-25 12:15:00,,,,,
2022-07-25 12:20:00,,,,,
2022-07-25 12:25:00,,,,,
2022-07-25 12:30:00,,,,,
2022-07-25 12:35:00,,,,,
2022-07-25 12:40:00,,,,,
2022-07-25 12:45:00,,,,,
2022-07-25 12:50:00,,,,,
2022-07-25 12:55:00,,,,,
2022-07-25 13:00:00,,,,,
2022-07-25 13:05:00,,,,,
2022-07-25 13:10:00,,,,,
2022-07-25 13:15:00,,,,,
2022-07-25 13:20:00,,,,,
2022-07-25 13:25:00,,,,,
2022-07-25 13:30:00,,,,,
2022-07-25 13:35:00,,,,,
2022-07-25 13:40:00,,,,,
2022-07-25 13:45:00,,,,,
2022-07-25 13:50:00,,,,,
2022-07-25 13:55:00,,,,,
2022-07-25 14:00:00,,,,,
2022-07-25 14:05:00,33.625,33.625,33.625,33.625,
2022-07-25 14:10:00,,,,,
2022-07-25 14:15:00,,,,,
2022-07-25 14:20:00,,,,,
2022-07-25 14:25:00,33.536,33.561,33.253,33.313,1290.0
2022-07-25 14:30:00,,,,,
2022-07-25 14:31:06,32.899,32.899,32.899,32.899,
2022-07-25 14:35:00,,,,,
2022-07-25 14:40:00,,,,,
2022-07-25 14:45:00,,,,,
2022-07-25 14:50:00,,,,,
2022-07-25 14:55:00,,,,,
2022-07-25 15:00:00,,,,,
2022-07-25 15:05:00,,,,,
2022-07-25 15:10:00,,,,,
2022-07-25 15:15:00,,,,,
2022-07-25 15:20:00,,,,,
2022-07-25 15:25:00,,,,,
2022-07-25 15:30:00,,,,,
2022-07-25 15:35:00,,,,,
2022-07-25 15:40:00,,,,,
2022-07-25 15:45:00,,,,,
2022-07-25 15:50:00,,,,,
2022-07-25 15:55:00,,,,,
2022-07-25 16:00:00,,,,,
2022-07-25 16:05:00,,,,,
2022-07-25 16:10:00,,,,,
2022-07-25 16:15:00,,,,,
2022-07-25 16:20:00,,,,,
2022-07-25 16:25:00,,,,,
2022-07-25 16:30:00,,,,,
2022-07-25 16:35:00,,,,,
2022-07-25 16:40:00,,,,,
2022-07-25 16:45:00,,,,,
2022-07-25 16:50:00,33.244,33.244,33.244,33.244,20.0
