datetime,Open,High,Low,Close,Volume
2025-09-22 07:00:00,35.5,35.5,35.5,35.5,
2025-09-22 07:05:00,,,,,
2025-09-22 07:10:00,,,,,
2025-09-22 07:15:00,,,,,
2025-09-22 07:20:00,,,,,
2025-09-22 07:25:00,,,,,
2025-09-22 07:30:00,,,,,
2025-09-22 07:35:00,35.7,35.7,35.7,35.7,30.0
2025-09-22 07:40:00,,,,,
2025-09-22 07:45:00,,,,,
2025-09-22 07:50:00,,,,,
2025-09-22 07:55:00,,,,,
2025-09-22 08:00:00,,,,,
2025-09-22 08:05:00,,,,,
2025-09-22 08:10:00,,,,,
2025-09-22 08:15:00,,,,,
2025-09-22 08:20:00,,,,,
2025-09-22 08:25:00,,,,,
2025-09-22 08:30:00,,,,,
2025-09-22 08:35:00,,,,,
2025-09-22 08:40:00,,,,,
2025-09-22 08:45:00,,,,,
2025-09-22 08:50:00,,,,,
2025-09-22 08:55:00,,,,,
2025-09-22 09:00:00,,,,,
2025-09-22 09:05:00,,,,,
2025-09-22 09:10:00,,,,,
2025-09-22 09:15:00,,,,,
2025-09-22 09:20:00,,,,,
2025-09-22 09:25:00,,,,,
2025-09-22 09:30:00,,,,,
2025-09-22 09:35:00,,,,,
2025-09-22 09:40:00,,,,,
2025-09-22 09:45:00,,,,,
2025-09-22 09:50:00,,,,,
2025-09-22 09:55:00,35.799999,35.799999,35.799999,35.799999,20.0
2025-09-22 10:00:00,,,,,
2025-09-22 10:05:00,,,,,
2025-09-22 10:10:00,,,,,
2025-09-22 10:15:00,,,,,
2025-09-22 10:20:00,,,,,
2025-09-22 10:25:00,,,,,
2025-09-22 10:30:00,,,,,
2025-09-22 10:35:00,,,,,
2025-09-22 10:40:00,35.599998,35.599998,35.599998,35.599998,10.0
2025-09-22 10:45:00,,,,,
2025-09-22 10:50:00,,,,,
2025-09-22 10:55:00,,,,,
2025-09-22 11:00:00,,,,,
2025-09-22 11:05:00,,,,,
2025-09-22 11:10:00,,,,,
2025-09-22 11:15:00,,,,,
2025-09-22 11:20:00,,,,,
2025-09-22 11:25:00,,,,,
2025-09-22 11:30:00,,,,,
2025-09-22 11:35:00,,,,,
2025-09-22 11:40:00,,,,,
2025-09-22 11:45:00,,,,,
2025-09-22 11:50:00,,,,,
2025-09-22 11:55:00,,,,,
2025-09-22 12:00:00,35.599998,35.599998,35.400001,35.400001,87.0
2025-09-22 12:05:00,35.7,35.7,35.7,35.7,2.0
2025-09-22 12:10:00,,,,,
2025-09-22 12:15:00,,,,,
2025-09-22 12:20:00,,,,,
2025-09-22 12:25:00,,,,,
2025-09-22 12:30:00,,,,,
