datetime,Open,High,Low,Close,Volume
2024-02-26 08:00:00,7.82,7.82,7.82,7.82,
2024-02-26 08:05:00,,,,,
2024-02-26 08:10:00,,,,,
2024-02-26 08:15:00,7.8,7.8,7.8,7.8,1475.0
2024-02-26 08:20:00,,,,,
2024-02-26 08:25:00,,,,,
2024-02-26 08:30:00,,,,,
2024-02-26 08:35:00,,,,,
2024-02-26 08:40:00,,,,,
2024-02-26 08:45:00,,,,,
2024-02-26 08:50:00,,,,,
2024-02-26 08:55:00,7.82,7.82,7.82,7.82,12.0
2024-02-26 09:00:00,,,,,
2024-02-26 09:05:00,7.84,7.84,7.84,7.84,879.0
2024-02-26 09:10:00,,,,,
2024-02-26 09:15:00,,,,,
2024-02-26 09:20:00,,,,,
2024-02-26 09:25:00,,,,,
2024-02-26 09:30:00,,,,,
2024-02-26 09:35:00,,,,,
2024-02-26 09:40:00,,,,,
2024-02-26 09:45:00,,,,,
2024-02-26 09:50:00,,,,,
2024-02-26 09:55:00,7.82,7.82,7.8,7.8,1862.0
2024-02-26 10:00:00,,,,,
2024-02-26 10:05:00,,,,,
2024-02-26 10:10:00,,,,,
2024-02-26 10:15:00,,,,,
2024-02-26 10:20:00,,,,,
2024-02-26 10:25:00,,,,,
2024-02-26 10:30:00,,,,,
2024-02-26 10:35:00,,,,,
2024-02-26 10:40:00,,,,,
2024-02-26 10:45:00,7.78,7.78,7.78,7.78,12.0
2024-02-26 10:50:00,7.78,7.8,7.78,7.8,1115.0
2024-02-26 10:55:00,,,,,
2024-02-26 11:00:00,,,,,
2024-02-26 11:05:00,,,,,
2024-02-26 11:10:00,,,,,
2024-02-26 11:15:00,,,,,
2024-02-26 11:20:00,,,,,
2024-02-26 11:25:00,,,,,
2024-02-26 11:30:00,,,,,
2024-02-26 11:35:00,,,,,
2024-02-26 11:40:00,,,,,
2024-02-26 11:45:00,,,,,
2024-02-26 11:50:00,,,,,
2024-02-26 11:55:00,7.699999,7.699999,7.699999,7.699999,2477.0
2024-02-26 12:00:00,,,,,
2024-02-26 12:05:00,,,,,
2024-02-26 12:10:00,7.679999,7.679999,7.679999,7.679999,100.0
2024-02-26 12:15:00,7.679999,7.679999,7.679999,7.679999,879.0
2024-02-26 12:20:00,,,,,
2024-02-26 12:25:00,,,,,
2024-02-26 12:30:00,,,,,
2024-02-26 12:35:00,,,,,
2024-02-26 12:40:00,,,,,
2024-02-26 12:45:00,,,,,
2024-02-26 12:50:00,,,,,
2024-02-26 12:55:00,,,,,
2024-02-26 13:00:00,,,,,
2024-02-26 13:05:00,,,,,
2024-02-26 13:10:00,,,,,
2024-02-26 13:15:00,,,,,
2024-02-26 13:20:00,,,,,
2024-02-26 13:25:00,,,,,
2024-02-26 13:30:00,,,,,
2024-02-26 13:35:00,,,,,
2024-02-26 13:40:00,,,,,
2024-02-26 13:45:00,,,,,
2024-02-26 13:50:00,,,,,
2024-02-26 13:55:00,,,,,
2024-02-26 14:00:00,,,,,
2024-02-26 14:05:00,7.619999,7.699999,7.619999,7.699999,42.0
2024-02-26 14:10:00,,,,,
2024-02-26 14:15:00,7.619999,7.619999,7.599999,7.599999,2500.0
2024-02-26 14:20:00,,,,,
2024-02-26 14:25:00,,,,,
2024-02-26 14:30:00,,,,,
2024-02-26 14:35:00,,,,,
2024-02-26 14:40:00,,,,,
2024-02-26 14:45:00,,,,,
2024-02-26 14:50:00,7.619999,7.639999,7.619999,7.639999,1224.0
2024-02-26 14:55:00,7.599999,7.599999,7.599999,7.599999,961.0
2024-02-26 15:00:00,,,,,
2024-02-26 15:05:00,,,,,
2024-02-26 15:10:00,7.579999,7.599999,7.579999,7.599999,1039.0
2024-02-26 15:15:00,,,,,
2024-02-26 15:20:00,,,,,
2024-02-26 15:25:00,,,,,
2024-02-26 15:30:00,,,,,
2024-02-26 15:35:00,,,,,
2024-02-26 15:40:00,7.639999,7.699999,7.639999,7.699999,5051.0
2024-02-26 15:45:00,7.679999,7.679999,7.679999,7.679999,32.0
2024-02-26 15:50:00,,,,,
2024-02-26 15:55:00,,,,,
2024-02-26 16:00:00,,,,,
2024-02-26 16:05:00,,,,,
2024-02-26 16:10:00,,,,,
2024-02-26 16:15:00,,,,,
2024-02-26 16:20:00,,,,,
2024-02-26 16:25:00,7.679999,7.679999,7.679999,7.679999,5000.0
2024-02-26 16:30:00,7.699999,7.699999,7.699999,7.699999,
2024-02-27 08:00:00,7.699999,7.699999,7.699999,7.699999,
2024-02-27 08:05:00,,,,,
2024-02-27 08:10:00,,,,,
2024-02-27 08:15:00,,,,,
2024-02-27 08:20:00,7.699999,7.699999,7.699999,7.699999,333.0
2024-02-27 08:25:00,,,,,
2024-02-27 08:30:00,7.699999,7.699999,7.699999,7.699999,333.0
2024-02-27 08:35:00,,,,,
2024-02-27 08:40:00,,,,,
2024-02-27 08:45:00,,,,,
2024-02-27 08:50:00,,,,,
2024-02-27 08:55:00,,,,,
2024-02-27 09:00:00,,,,,
2024-02-27 09:05:00,,,,,
2024-02-27 09:10:00,,,,,
2024-02-27 09:15:00,,,,,
2024-02-27 09:20:00,,,,,
2024-02-27 09:25:00,,,,,
2024-02-27 09:30:00,,,,,
2024-02-27 09:35:00,,,,,
2024-02-27 09:40:00,,,,,
2024-02-27 09:45:00,,,,,
2024-02-27 09:50:00,,,,,
2024-02-27 09:55:00,,,,,
2024-02-27 10:00:00,,,,,
2024-02-27 10:05:00,,,,,
2024-02-27 10:10:00,,,,,
2024-02-27 10:15:00,,,,,
2024-02-27 10:20:00,,,,,
2024-02-27 10:25:00,,,,,
2024-02-27 10:30:00,,,,,
2024-02-27 10:35:00,7.639999,7.639999,7.619999,7.619999,1000.0
2024-02-27 10:40:00,,,,,
2024-02-27 10:45:00,,,,,
2024-02-27 10:50:00,,,,,
2024-02-27 10:55:00,,,,,
2024-02-27 11:00:00,,,,,
2024-02-27 11:05:00,,,,,
2024-02-27 11:10:00,,,,,
2024-02-27 11:15:00,,,,,
2024-02-27 11:20:00,,,,,
2024-02-27 11:25:00,,,,,
2024-02-27 11:30:00,,,,,
2024-02-27 11:35:00,,,,,
2024-02-27 11:40:00,,,,,
2024-02-27 11:45:00,,,,,
2024-02-27 11:50:00,,,,,
2024-02-27 11:55:00,,,,,
2024-02-27 12:00:00,,,,,
2024-02-27 12:05:00,,,,,
2024-02-27 12:10:00,,,,,
2024-02-27 12:15:00,,,,,
2024-02-27 12:20:00,,,,,
2024-02-27 12:25:00,,,,,
2024-02-27 12:30:00,,,,,
2024-02-27 12:35:00,,,,,
2024-02-27 12:40:00,,,,,
2024-02-27 12:45:00,,,,,
2024-02-27 12:50:00,,,,,
2024-02-27 12:55:00,,,,,
2024-02-27 13:00:00,,,,,
2024-02-27 13:05:00,,,,,
2024-02-27 13:10:00,,,,,
2024-02-27 13:15:00,,,,,
2024-02-27 13:20:00,,,,,
2024-02-27 13:25:00,,,,,
2024-02-27 13:30:00,7.639999,7.639999,7.639999,7.639999,14.0
