datetime,Open,High,Low,Close,Volume
2026-04-23 07:00:00,1.85,1.85,1.85,1.85,
2026-04-23 07:05:00,,,,,
2026-04-23 07:10:00,,,,,
2026-04-23 07:15:00,,,,,
2026-04-23 07:20:00,,,,,
2026-04-23 07:25:00,,,,,
2026-04-23 07:30:00,1.8506,1.8506,1.8506,1.8506,1.0
2026-04-23 07:35:00,,,,,
2026-04-23 07:40:00,,,,,
2026-04-23 07:45:00,1.8506,1.8506,1.8502,1.8502,526.0
2026-04-23 07:50:00,,,,,
2026-04-23 07:55:00,,,,,
2026-04-23 08:00:00,,,,,
2026-04-23 08:05:00,,,,,
2026-04-23 08:10:00,1.852399,1.852399,1.852399,1.852399,5.0
2026-04-23 08:15:00,,,,,
2026-04-23 08:20:00,,,,,
2026-04-23 08:25:00,,,,,
2026-04-23 08:30:00,,,,,
2026-04-23 08:35:00,,,,,
2026-04-23 08:40:00,1.852399,1.852399,1.840199,1.85,17621.0
2026-04-23 08:45:00,,,,,
2026-04-23 08:50:00,,,,,
2026-04-23 08:55:00,,,,,
2026-04-23 09:00:00,1.851199,1.851199,1.851199,1.851199,5.0
2026-04-23 09:05:00,,,,,
2026-04-23 09:10:00,,,,,
2026-04-23 09:15:00,,,,,
2026-04-23 09:20:00,,,,,
2026-04-23 09:25:00,,,,,
2026-04-23 09:30:00,,,,,
2026-04-23 09:35:00,,,,,
2026-04-23 09:40:00,,,,,
2026-04-23 09:45:00,,,,,
2026-04-23 09:50:00,,,,,
2026-04-23 09:55:00,,,,,
2026-04-23 10:00:00,,,,,
2026-04-23 10:05:00,,,,,
2026-04-23 10:10:00,,,,,
2026-04-23 10:15:00,,,,,
2026-04-23 10:20:00,,,,,
2026-04-23 10:25:00,,,,,
2026-04-23 10:30:00,,,,,
2026-04-23 10:35:00,,,,,
2026-04-23 10:40:00,,,,,
2026-04-23 10:45:00,,,,,
2026-04-23 10:50:00,,,,,
2026-04-23 10:55:00,,,,,
2026-04-23 11:00:00,,,,,
2026-04-23 11:05:00,,,,,
2026-04-23 11:10:00,,,,,
2026-04-23 11:15:00,1.841199,1.841199,1.840999,1.840999,627.0
2026-04-23 11:20:00,,,,,
2026-04-23 11:25:00,1.840999,1.840999,1.840999,1.840999,613.0
2026-04-23 11:30:00,1.840999,1.840999,1.840999,1.840999,94.0
2026-04-23 11:35:00,1.8406,1.8406,1.835,1.84,11052.0
2026-04-23 11:40:00,,,,,
2026-04-23 11:45:00,,,,,
2026-04-23 11:50:00,1.83,1.83,1.83,1.83,1258.0
2026-04-23 11:55:00,,,,,
2026-04-23 12:00:00,,,,,
2026-04-23 12:05:00,1.84,1.84,1.84,1.84,4855.0
2026-04-23 12:10:00,1.8406,1.8434,1.836799,1.8434,2364.0
2026-04-23 12:15:00,,,,,
2026-04-23 12:20:00,,,,,
2026-04-23 12:25:00,,,,,
2026-04-23 12:30:00,,,,,
2026-04-23 12:35:00,,,,,
2026-04-23 12:40:00,,,,,
2026-04-23 12:45:00,,,,,
2026-04-23 12:50:00,,,,,
2026-04-23 12:55:00,,,,,
2026-04-23 13:00:00,,,,,
2026-04-23 13:05:00,,,,,
2026-04-23 13:10:00,,,,,
2026-04-23 13:15:00,,,,,
2026-04-23 13:20:00,,,,,
2026-04-23 13:25:00,,,,,
2026-04-23 13:30:00,,,,,
2026-04-23 13:35:00,,,,,
2026-04-23 13:40:00,,,,,
2026-04-23 13:45:00,,,,,
2026-04-23 13:50:00,,,,,
2026-04-23 13:55:00,,,,,
2026-04-23 14:00:00,,,,,
2026-04-23 14:05:00,,,,,
2026-04-23 14:10:00,,,,,
2026-04-23 14:15:00,,,,,
2026-04-23 14:20:00,,,,,
2026-04-23 14:25:00,1.8444,1.8444,1.8444,1.8444,100.0
