datetime,Open,High,Low,Close,Volume
2023-08-28 07:00:00,11.06,11.06,11.0,11.0,
2023-08-28 07:05:00,,,,,
2023-08-28 07:10:00,,,,,
2023-08-28 07:15:00,11.06,11.079999,11.06,11.079999,119.0
2023-08-28 07:20:00,11.159999,11.159999,11.159999,11.159999,158.0
2023-08-28 07:25:00,,,,,
2023-08-28 07:30:00,,,,,
2023-08-28 07:35:00,,,,,
2023-08-28 07:40:00,,,,,
2023-08-28 07:45:00,,,,,
2023-08-28 07:50:00,11.079999,11.159999,11.06,11.06,524.0
2023-08-28 07:55:00,,,,,
2023-08-28 08:00:00,,,,,
2023-08-28 08:05:00,,,,,
2023-08-28 08:10:00,,,,,
2023-08-28 08:15:00,,,,,
2023-08-28 08:20:00,,,,,
2023-08-28 08:25:00,,,,,
2023-08-28 08:30:00,,,,,
2023-08-28 08:35:00,,,,,
2023-08-28 08:40:00,,,,,
2023-08-28 08:45:00,,,,,
2023-08-28 08:50:00,,,,,
2023-08-28 08:55:00,,,,,
2023-08-28 09:00:00,,,,,
2023-08-28 09:05:00,11.039999,11.039999,11.039999,11.039999,67.0
2023-08-28 09:10:00,,,,,
2023-08-28 09:15:00,11.06,11.1,11.06,11.1,942.0
2023-08-28 09:20:00,,,,,
2023-08-28 09:25:00,,,,,
2023-08-28 09:30:00,,,,,
2023-08-28 09:35:00,,,,,
2023-08-28 09:40:00,,,,,
2023-08-28 09:45:00,,,,,
2023-08-28 09:50:00,11.159999,11.159999,11.159999,11.159999,164.0
2023-08-28 09:55:00,,,,,
2023-08-28 10:00:00,,,,,
2023-08-28 10:05:00,,,,,
2023-08-28 10:10:00,,,,,
2023-08-28 10:15:00,,,,,
2023-08-28 10:20:00,11.159999,11.159999,11.159999,11.159999,51.0
2023-08-28 10:25:00,,,,,
2023-08-28 10:30:00,,,,,
2023-08-28 10:35:00,,,,,
2023-08-28 10:40:00,,,,,
2023-08-28 10:45:00,,,,,
2023-08-28 10:50:00,,,,,
2023-08-28 10:55:00,,,,,
2023-08-28 11:00:00,,,,,
2023-08-28 11:05:00,,,,,
2023-08-28 11:10:00,,,,,
2023-08-28 11:15:00,,,,,
2023-08-28 11:20:00,,,,,
2023-08-28 11:25:00,,,,,
2023-08-28 11:30:00,,,,,
2023-08-28 11:35:00,,,,,
2023-08-28 11:40:00,,,,,
2023-08-28 11:45:00,,,,,
2023-08-28 11:50:00,,,,,
2023-08-28 11:55:00,,,,,
2023-08-28 12:00:00,,,,,
2023-08-28 12:05:00,,,,,
2023-08-28 12:10:00,,,,,
2023-08-28 12:15:00,,,,,
2023-08-28 12:20:00,11.199999,11.199999,11.199999,11.199999,190.0
2023-08-28 12:25:00,,,,,
2023-08-28 12:30:00,,,,,
2023-08-28 12:35:00,,,,,
2023-08-28 12:40:00,,,,,
2023-08-28 12:45:00,11.199999,11.199999,11.18,11.199999,1829.0
2023-08-28 12:50:00,,,,,
2023-08-28 12:55:00,,,,,
2023-08-28 13:00:00,,,,,
2023-08-28 13:05:00,,,,,
2023-08-28 13:10:00,,,,,
2023-08-28 13:15:00,,,,,
2023-08-28 13:20:00,,,,,
2023-08-28 13:25:00,,,,,
2023-08-28 13:30:00,11.22,11.279999,11.22,11.279999,804.0
2023-08-28 13:35:00,11.3,11.3,11.26,11.26,216.0
2023-08-28 13:40:00,,,,,
2023-08-28 13:45:00,,,,,
2023-08-28 13:50:00,,,,,
2023-08-28 13:55:00,,,,,
2023-08-28 14:00:00,11.26,11.26,11.199999,11.199999,2745.0
2023-08-28 14:05:00,,,,,
2023-08-28 14:10:00,,,,,
2023-08-28 14:15:00,,,,,
2023-08-28 14:20:00,,,,,
2023-08-28 14:25:00,11.18,11.18,11.1,11.1,5000.0
2023-08-28 14:30:00,11.18,11.22,11.159999,11.159999,1348.0
2023-08-28 14:35:00,,,,,
2023-08-28 14:40:00,,,,,
2023-08-28 14:45:00,,,,,
2023-08-28 14:50:00,,,,,
2023-08-28 14:55:00,11.18,11.26,11.159999,11.26,2842.0
2023-08-28 15:00:00,11.26,11.26,11.239999,11.26,511.0
2023-08-28 15:05:00,,,,,
2023-08-28 15:10:00,11.26,11.26,11.26,11.26,1.0
2023-08-28 15:15:00,,,,,
2023-08-28 15:20:00,,,,,
2023-08-28 15:25:00,,,,,
2023-08-28 15:30:00,11.239999,11.239999,11.239999,11.239999,
2023-08-29 07:00:00,11.46,11.46,11.46,11.46,
2023-08-29 07:05:00,11.3,11.3,11.279999,11.3,2026.0
2023-08-29 07:10:00,11.3,11.399999,11.279999,11.399999,
2023-08-29 07:15:00,,,,,
2023-08-29 07:20:00,,,,,
2023-08-29 07:25:00,11.42,11.42,11.42,11.42,7215.0
2023-08-29 07:30:00,11.319999,11.34,11.319999,11.34,508.0
2023-08-29 07:35:00,,,,,
2023-08-29 07:40:00,11.319999,11.319999,11.279999,11.279999,1524.0
2023-08-29 07:45:00,,,,,
2023-08-29 07:50:00,,,,,
2023-08-29 07:55:00,11.26,11.26,11.18,11.22,1376.0
2023-08-29 08:00:00,,,,,
2023-08-29 08:05:00,11.159999,11.22,11.159999,11.159999,1664.0
2023-08-29 08:10:00,11.22,11.22,11.22,11.22,516.0
2023-08-29 08:15:00,,,,,
2023-08-29 08:20:00,,,,,
2023-08-29 08:25:00,,,,,
2023-08-29 08:30:00,,,,,
2023-08-29 08:35:00,11.22,11.3,11.22,11.3,1964.0
2023-08-29 08:40:00,,,,,
2023-08-29 08:45:00,11.3,11.3,11.3,11.3,49.0
2023-08-29 08:50:00,11.279999,11.279999,11.26,11.26,104.0
2023-08-29 08:55:00,,,,,
2023-08-29 09:00:00,,,,,
2023-08-29 09:05:00,,,,,
2023-08-29 09:10:00,,,,,
2023-08-29 09:15:00,,,,,
2023-08-29 09:20:00,,,,,
2023-08-29 09:25:00,,,,,
2023-08-29 09:30:00,,,,,
2023-08-29 09:35:00,,,,,
2023-08-29 09:40:00,,,,,
2023-08-29 09:45:00,,,,,
2023-08-29 09:50:00,,,,,
2023-08-29 09:55:00,11.239999,11.239999,11.199999,11.199999,261.0
2023-08-29 10:00:00,,,,,
2023-08-29 10:05:00,,,,,
2023-08-29 10:10:00,11.239999,11.239999,11.199999,11.199999,150.0
2023-08-29 10:15:00,,,,,
2023-08-29 10:20:00,,,,,
2023-08-29 10:25:00,,,,,
2023-08-29 10:30:00,,,,,
2023-08-29 10:35:00,,,,,
2023-08-29 10:40:00,11.199999,11.199999,11.18,11.18,64.0
2023-08-29 10:45:00,11.159999,11.159999,11.159999,11.159999,8.0
2023-08-29 10:50:00,,,,,
2023-08-29 10:55:00,,,,,
2023-08-29 11:00:00,,,,,
2023-08-29 11:05:00,11.199999,11.199999,11.14,11.14,150.0
2023-08-29 11:10:00,,,,,
2023-08-29 11:15:00,11.399999,11.399999,11.239999,11.239999,1513.0
2023-08-29 11:20:00,11.159999,11.159999,11.159999,11.159999,109.0
2023-08-29 11:25:00,,,,,
2023-08-29 11:30:00,,,,,
2023-08-29 11:35:00,,,,,
2023-08-29 11:40:00,,,,,
2023-08-29 11:45:00,,,,,
2023-08-29 11:50:00,,,,,
2023-08-29 11:55:00,,,,,
2023-08-29 12:00:00,,,,,
2023-08-29 12:05:00,,,,,
2023-08-29 12:10:00,,,,,
2023-08-29 12:15:00,,,,,
2023-08-29 12:20:00,,,,,
2023-08-29 12:25:00,,,,,
2023-08-29 12:30:00,,,,,
2023-08-29 12:35:00,,,,,
2023-08-29 12:40:00,,,,,
2023-08-29 12:45:00,,,,,
2023-08-29 12:50:00,11.14,11.159999,11.14,11.159999,896.0
