datetime,Open,High,Low,Close,Volume
2023-01-02 08:00:00,9.729999,9.729999,9.699999,9.699999,
2023-01-02 08:05:00,9.699999,9.699999,9.699999,9.699999,849.0
2023-01-02 08:10:00,,,,,
2023-01-02 08:15:00,,,,,
2023-01-02 08:20:00,,,,,
2023-01-02 08:25:00,,,,,
2023-01-02 08:30:00,9.755,9.755,9.755,9.755,616.0
2023-01-02 08:35:00,9.765,9.765,9.765,9.765,137.0
2023-01-02 08:40:00,,,,,
2023-01-02 08:45:00,,,,,
2023-01-02 08:50:00,9.704999,9.704999,9.699999,9.699999,250.0
2023-01-02 08:55:00,9.75,9.75,9.75,9.75,253.0
2023-01-02 09:00:00,,,,,
2023-01-02 09:05:00,,,,,
2023-01-02 09:10:00,9.765,9.89,9.765,9.89,1689.0
2023-01-02 09:15:00,,,,,
2023-01-02 09:20:00,,,,,
2023-01-02 09:25:00,,,,,
2023-01-02 09:30:00,,,,,
2023-01-02 09:35:00,,,,,
2023-01-02 09:40:00,9.81,9.81,9.81,9.81,968.0
2023-01-02 09:45:00,9.744999,9.744999,9.744999,9.744999,500.0
2023-01-02 09:50:00,,,,,
2023-01-02 09:55:00,,,,,
2023-01-02 10:00:00,9.68,9.68,9.68,9.68,3.0
2023-01-02 10:05:00,,,,,
2023-01-02 10:10:00,,,,,
2023-01-02 10:15:00,,,,,
2023-01-02 10:20:00,,,,,
2023-01-02 10:25:00,,,,,
2023-01-02 10:30:00,,,,,
2023-01-02 10:35:00,9.68,9.789999,9.68,9.789999,1869.0
2023-01-02 10:40:00,,,,,
2023-01-02 10:45:00,9.795,9.795,9.795,9.795,162.0
2023-01-02 10:50:00,,,,,
2023-01-02 10:55:00,,,,,
2023-01-02 11:00:00,,,,,
2023-01-02 11:05:00,,,,,
2023-01-02 11:10:00,,,,,
2023-01-02 11:15:00,,,,,
2023-01-02 11:20:00,,,,,
2023-01-02 11:25:00,,,,,
2023-01-02 11:30:00,,,,,
2023-01-02 11:35:00,,,,,
2023-01-02 11:40:00,,,,,
2023-01-02 11:45:00,,,,,
2023-01-02 11:50:00,9.795,9.8,9.795,9.8,3306.0
2023-01-02 11:55:00,,,,,
2023-01-02 12:00:00,9.8,9.8,9.8,9.8,181.0
2023-01-02 12:05:00,,,,,
2023-01-02 12:10:00,,,,,
2023-01-02 12:15:00,9.765,9.765,9.765,9.765,3.0
2023-01-02 12:20:00,,,,,
2023-01-02 12:25:00,,,,,
2023-01-02 12:30:00,,,,,
2023-01-02 12:35:00,,,,,
2023-01-02 12:40:00,,,,,
2023-01-02 12:45:00,9.734999,9.734999,9.734999,9.734999,687.0
2023-01-02 12:50:00,,,,,
2023-01-02 12:55:00,,,,,
2023-01-02 13:00:00,,,,,
2023-01-02 13:05:00,,,,,
2023-01-02 13:10:00,9.739999,9.765,9.739999,9.765,400.0
2023-01-02 13:15:00,,,,,
2023-01-02 13:20:00,,,,,
2023-01-02 13:25:00,,,,,
