datetime,Open,High,Low,Close,Volume
2024-10-28 08:00:00,21.049999,21.1,21.049999,21.1,
2024-10-28 08:05:00,,,,,
2024-10-28 08:10:00,,,,,
2024-10-28 08:15:00,,,,,
2024-10-28 08:20:00,,,,,
2024-10-28 08:25:00,21.049999,21.049999,21.049999,21.049999,405.0
2024-10-28 08:30:00,,,,,
2024-10-28 08:35:00,,,,,
2024-10-28 08:40:00,,,,,
2024-10-28 08:45:00,,,,,
2024-10-28 08:50:00,,,,,
2024-10-28 08:55:00,,,,,
2024-10-28 09:00:00,,,,,
2024-10-28 09:05:00,,,,,
2024-10-28 09:10:00,21.0,21.1,20.899999,21.049999,3633.0
2024-10-28 09:15:00,,,,,
2024-10-28 09:20:00,,,,,
2024-10-28 09:25:00,,,,,
2024-10-28 09:30:00,,,,,
2024-10-28 09:35:00,,,,,
2024-10-28 09:40:00,,,,,
2024-10-28 09:45:00,,,,,
2024-10-28 09:50:00,,,,,
2024-10-28 09:55:00,,,,,
2024-10-28 10:00:00,,,,,
2024-10-28 10:05:00,20.95,20.95,20.95,20.95,4.0
2024-10-28 10:10:00,,,,,
2024-10-28 10:15:00,20.95,20.95,20.799999,20.799999,3928.0
2024-10-28 10:20:00,,,,,
2024-10-28 10:25:00,,,,,
2024-10-28 10:30:00,20.799999,20.85,20.799999,20.799999,252.0
2024-10-28 10:35:00,,,,,
2024-10-28 10:40:00,,,,,
2024-10-28 10:45:00,,,,,
2024-10-28 10:50:00,,,,,
2024-10-28 10:55:00,20.75,20.75,20.75,20.75,33.0
2024-10-28 11:00:00,,,,,
2024-10-28 11:05:00,,,,,
2024-10-28 11:10:00,,,,,
2024-10-28 11:15:00,,,,,
2024-10-28 11:20:00,,,,,
2024-10-28 11:25:00,,,,,
2024-10-28 11:30:00,20.799999,20.899999,20.799999,20.899999,2000.0
2024-10-28 11:35:00,,,,,
2024-10-28 11:40:00,,,,,
2024-10-28 11:45:00,,,,,
2024-10-28 11:50:00,,,,,
2024-10-28 11:55:00,,,,,
2024-10-28 12:00:00,,,,,
2024-10-28 12:05:00,,,,,
2024-10-28 12:10:00,,,,,
2024-10-28 12:15:00,,,,,
2024-10-28 12:20:00,,,,,
2024-10-28 12:25:00,,,,,
2024-10-28 12:30:00,,,,,
2024-10-28 12:35:00,,,,,
2024-10-28 12:40:00,20.899999,20.899999,20.899999,20.899999,100.0
2024-10-28 12:45:00,,,,,
2024-10-28 12:50:00,20.899999,20.899999,20.899999,20.899999,338.0
2024-10-28 12:55:00,,,,,
2024-10-28 13:00:00,,,,,
2024-10-28 13:05:00,20.899999,20.95,20.85,20.85,179.0
2024-10-28 13:10:00,,,,,
2024-10-28 13:15:00,,,,,
2024-10-28 13:20:00,20.799999,20.85,20.799999,20.85,54.0
2024-10-28 13:25:00,,,,,
2024-10-28 13:30:00,,,,,
2024-10-28 13:35:00,,,,,
2024-10-28 13:40:00,,,,,
2024-10-28 13:45:00,,,,,
2024-10-28 13:50:00,,,,,
2024-10-28 13:55:00,,,,,
2024-10-28 14:00:00,,,,,
2024-10-28 14:05:00,20.75,20.75,20.7,20.7,871.0
2024-10-28 14:10:00,,,,,
2024-10-28 14:15:00,,,,,
2024-10-28 14:20:00,20.75,20.95,20.7,20.799999,3160.0
2024-10-28 14:25:00,,,,,
2024-10-28 14:30:00,,,,,
2024-10-28 14:35:00,20.799999,20.799999,20.799999,20.799999,50.0
2024-10-28 14:40:00,,,,,
2024-10-28 14:45:00,20.85,20.899999,20.85,20.899999,100.0
2024-10-28 14:50:00,,,,,
2024-10-28 14:55:00,,,,,
2024-10-28 15:00:00,20.799999,20.799999,20.799999,20.799999,54.0
2024-10-28 15:05:00,20.85,20.85,20.85,20.85,142.0
2024-10-28 15:10:00,,,,,
2024-10-28 15:15:00,20.899999,20.899999,20.899999,20.899999,38.0
2024-10-28 15:20:00,,,,,
2024-10-28 15:25:00,,,,,
2024-10-28 15:30:00,20.85,20.95,20.85,20.899999,102.0
2024-10-28 15:35:00,,,,,
2024-10-28 15:40:00,,,,,
2024-10-28 15:45:00,20.95,20.95,20.95,20.95,4.0
2024-10-28 15:50:00,20.95,20.95,20.899999,20.95,17.0
2024-10-28 15:55:00,20.899999,20.899999,20.899999,20.899999,60.0
2024-10-28 16:00:00,,,,,
2024-10-28 16:05:00,20.85,20.85,20.85,20.85,34.0
2024-10-28 16:10:00,20.85,20.85,20.85,20.85,
2024-10-28 16:15:00,,,,,
2024-10-28 16:20:00,20.95,20.95,20.95,20.95,15932.0
2024-10-28 16:25:00,20.85,20.85,20.85,20.85,62.0
2024-10-28 16:30:00,20.799999,20.799999,20.799999,20.799999,
2024-10-29 08:00:00,20.899999,20.899999,20.899999,20.899999,
2024-10-29 08:05:00,,,,,
2024-10-29 08:10:00,,,,,
2024-10-29 08:15:00,,,,,
2024-10-29 08:20:00,,,,,
2024-10-29 08:25:00,,,,,
2024-10-29 08:30:00,,,,,
2024-10-29 08:35:00,,,,,
2024-10-29 08:40:00,,,,,
2024-10-29 08:45:00,,,,,
2024-10-29 08:50:00,,,,,
2024-10-29 08:55:00,,,,,
2024-10-29 09:00:00,,,,,
2024-10-29 09:05:00,,,,,
2024-10-29 09:10:00,20.799999,20.95,20.799999,20.95,256.0
2024-10-29 09:15:00,,,,,
2024-10-29 09:20:00,20.95,20.95,20.95,20.95,5.0
2024-10-29 09:25:00,,,,,
2024-10-29 09:30:00,,,,,
2024-10-29 09:35:00,,,,,
2024-10-29 09:40:00,,,,,
2024-10-29 09:45:00,,,,,
2024-10-29 09:50:00,,,,,
2024-10-29 09:55:00,,,,,
2024-10-29 10:00:00,,,,,
2024-10-29 10:05:00,,,,,
2024-10-29 10:10:00,,,,,
2024-10-29 10:15:00,20.799999,20.799999,20.799999,20.799999,4.0
2024-10-29 10:20:00,20.799999,20.799999,20.6,20.7,1381.0
2024-10-29 10:25:00,,,,,
2024-10-29 10:30:00,,,,,
2024-10-29 10:35:00,,,,,
2024-10-29 10:40:00,,,,,
2024-10-29 10:45:00,,,,,
2024-10-29 10:50:00,,,,,
2024-10-29 10:55:00,20.75,20.75,20.75,20.75,707.0
2024-10-29 11:00:00,20.75,20.75,20.7,20.7,298.0
2024-10-29 11:05:00,20.7,20.7,20.7,20.7,49.0
2024-10-29 11:10:00,,,,,
2024-10-29 11:15:00,,,,,
2024-10-29 11:20:00,,,,,
2024-10-29 11:25:00,20.649999,20.649999,20.649999,20.649999,133.0
2024-10-29 11:30:00,,,,,
2024-10-29 11:35:00,,,,,
2024-10-29 11:40:00,,,,,
2024-10-29 11:45:00,,,,,
2024-10-29 11:50:00,,,,,
2024-10-29 11:55:00,,,,,
2024-10-29 12:00:00,20.7,20.7,20.6,20.6,12.0
2024-10-29 12:05:00,,,,,
2024-10-29 12:10:00,,,,,
