datetime,Open,High,Low,Close,Volume
2025-10-06 07:00:00,23.45,23.45,23.25,23.25,
2025-10-06 07:05:00,,,,,
2025-10-06 07:10:00,,,,,
2025-10-06 07:15:00,,,,,
2025-10-06 07:20:00,,,,,
2025-10-06 07:25:00,,,,,
2025-10-06 07:30:00,,,,,
2025-10-06 07:35:00,,,,,
2025-10-06 07:40:00,,,,,
2025-10-06 07:45:00,,,,,
2025-10-06 07:50:00,,,,,
2025-10-06 07:55:00,,,,,
2025-10-06 08:00:00,,,,,
2025-10-06 08:05:00,,,,,
2025-10-06 08:10:00,,,,,
2025-10-06 08:15:00,23.25,23.25,23.25,23.25,110.0
2025-10-06 08:20:00,,,,,
2025-10-06 08:25:00,,,,,
2025-10-06 08:30:00,,,,,
2025-10-06 08:35:00,,,,,
2025-10-06 08:40:00,,,,,
2025-10-06 08:45:00,,,,,
2025-10-06 08:50:00,,,,,
2025-10-06 08:55:00,,,,,
2025-10-06 09:00:00,,,,,
2025-10-06 09:05:00,,,,,
2025-10-06 09:10:00,23.45,23.45,23.45,23.45,2.0
2025-10-06 09:15:00,,,,,
2025-10-06 09:20:00,,,,,
2025-10-06 09:25:00,,,,,
2025-10-06 09:30:00,,,,,
2025-10-06 09:35:00,,,,,
2025-10-06 09:40:00,,,,,
2025-10-06 09:45:00,,,,,
2025-10-06 09:50:00,,,,,
2025-10-06 09:55:00,,,,,
2025-10-06 10:00:00,,,,,
2025-10-06 10:05:00,,,,,
2025-10-06 10:10:00,,,,,
2025-10-06 10:15:00,,,,,
2025-10-06 10:20:00,,,,,
2025-10-06 10:25:00,,,,,
2025-10-06 10:30:00,,,,,
2025-10-06 10:35:00,,,,,
2025-10-06 10:40:00,,,,,
2025-10-06 10:45:00,,,,,
2025-10-06 10:50:00,,,,,
2025-10-06 10:55:00,,,,,
2025-10-06 11:00:00,,,,,
2025-10-06 11:05:00,,,,,
2025-10-06 11:10:00,,,,,
2025-10-06 11:15:00,,,,,
2025-10-06 11:20:00,,,,,
2025-10-06 11:25:00,,,,,
2025-10-06 11:30:00,,,,,
2025-10-06 11:35:00,,,,,
2025-10-06 11:40:00,,,,,
2025-10-06 11:45:00,,,,,
2025-10-06 11:50:00,23.25,23.25,23.25,23.25,57.0
2025-10-06 11:55:00,,,,,
2025-10-06 12:00:00,,,,,
2025-10-06 12:05:00,,,,,
2025-10-06 12:10:00,,,,,
2025-10-06 12:15:00,,,,,
2025-10-06 12:20:00,23.25,23.25,23.25,23.25,44.0
2025-10-06 12:25:00,,,,,
2025-10-06 12:30:00,,,,,
2025-10-06 12:35:00,23.2,23.2,23.2,23.2,1000.0
2025-10-06 12:40:00,23.35,23.35,23.2,23.299999,586.0
2025-10-06 12:45:00,23.299999,23.299999,23.299999,23.299999,308.0
2025-10-06 12:50:00,,,,,
2025-10-06 12:55:00,,,,,
2025-10-06 13:00:00,,,,,
2025-10-06 13:05:00,,,,,
2025-10-06 13:10:00,,,,,
2025-10-06 13:15:00,,,,,
2025-10-06 13:20:00,,,,,
2025-10-06 13:25:00,,,,,
2025-10-06 13:30:00,,,,,
2025-10-06 13:35:00,,,,,
2025-10-06 13:40:00,23.45,23.45,23.45,23.45,110.0
2025-10-06 13:45:00,,,,,
2025-10-06 13:50:00,23.549999,23.549999,23.549999,23.549999,1.0
2025-10-06 13:55:00,,,,,
2025-10-06 14:00:00,,,,,
2025-10-06 14:05:00,,,,,
2025-10-06 14:10:00,,,,,
2025-10-06 14:15:00,,,,,
2025-10-06 14:20:00,,,,,
2025-10-06 14:25:00,,,,,
2025-10-06 14:30:00,,,,,
2025-10-06 14:35:00,,,,,
2025-10-06 14:40:00,,,,,
2025-10-06 14:45:00,,,,,
2025-10-06 14:50:00,23.5,23.5,23.5,23.5,2.0
2025-10-06 14:55:00,,,,,
2025-10-06 15:00:00,,,,,
2025-10-06 15:05:00,,,,,
2025-10-06 15:10:00,,,,,
2025-10-06 15:15:00,23.5,23.5,23.5,23.5,147.0
2025-10-06 15:20:00,23.5,23.5,23.5,23.5,80.0
2025-10-06 15:25:00,,,,,
2025-10-06 15:30:00,23.6,23.6,23.6,23.6,
2025-10-07 07:00:00,23.799999,23.799999,23.799999,23.799999,
2025-10-07 07:05:00,,,,,
2025-10-07 07:10:00,,,,,
2025-10-07 07:15:00,,,,,
2025-10-07 07:20:00,,,,,
2025-10-07 07:25:00,,,,,
2025-10-07 07:30:00,,,,,
2025-10-07 07:35:00,,,,,
2025-10-07 07:40:00,,,,,
2025-10-07 07:45:00,,,,,
2025-10-07 07:50:00,,,,,
2025-10-07 07:55:00,,,,,
2025-10-07 08:00:00,,,,,
2025-10-07 08:05:00,23.399999,23.399999,23.399999,23.399999,6.0
2025-10-07 08:10:00,,,,,
2025-10-07 08:15:00,,,,,
2025-10-07 08:20:00,23.549999,23.549999,23.549999,23.549999,1.0
2025-10-07 08:25:00,,,,,
2025-10-07 08:30:00,,,,,
2025-10-07 08:35:00,,,,,
2025-10-07 08:40:00,,,,,
2025-10-07 08:45:00,,,,,
2025-10-07 08:50:00,23.6,23.6,23.6,23.6,4.0
2025-10-07 08:55:00,,,,,
2025-10-07 09:00:00,,,,,
2025-10-07 09:05:00,,,,,
