datetime,Open,High,Low,Close,Volume
2025-11-10 08:00:00,18.25,18.25,18.25,18.25,
2025-11-10 08:05:00,18.45,18.7,18.45,18.7,875.0
2025-11-10 08:10:00,19.0,19.0,19.0,19.0,10.0
2025-11-10 08:15:00,,,,,
2025-11-10 08:20:00,,,,,
2025-11-10 08:25:00,,,,,
2025-11-10 08:30:00,18.549999,18.549999,18.549999,18.549999,12.0
2025-11-10 08:35:00,,,,,
2025-11-10 08:40:00,,,,,
2025-11-10 08:45:00,,,,,
2025-11-10 08:50:00,18.95,18.95,18.95,18.95,15.0
2025-11-10 08:55:00,,,,,
2025-11-10 09:00:00,,,,,
2025-11-10 09:05:00,,,,,
2025-11-10 09:10:00,,,,,
2025-11-10 09:15:00,18.649999,18.649999,18.649999,18.649999,4.0
2025-11-10 09:20:00,,,,,
2025-11-10 09:25:00,,,,,
2025-11-10 09:30:00,,,,,
2025-11-10 09:35:00,,,,,
2025-11-10 09:40:00,,,,,
2025-11-10 09:45:00,,,,,
2025-11-10 09:50:00,18.899999,18.95,18.899999,18.95,150.0
2025-11-10 09:55:00,,,,,
2025-11-10 10:00:00,,,,,
2025-11-10 10:05:00,18.75,18.75,18.6,18.6,240.0
2025-11-10 10:10:00,18.799999,18.799999,18.6,18.6,540.0
2025-11-10 10:15:00,,,,,
2025-11-10 10:20:00,,,,,
2025-11-10 10:25:00,,,,,
2025-11-10 10:30:00,,,,,
2025-11-10 10:35:00,,,,,
2025-11-10 10:40:00,18.649999,18.649999,18.649999,18.649999,5.0
2025-11-10 10:45:00,,,,,
2025-11-10 10:50:00,,,,,
2025-11-10 10:55:00,,,,,
2025-11-10 11:00:00,,,,,
2025-11-10 11:05:00,18.649999,18.649999,18.649999,18.649999,1000.0
2025-11-10 11:10:00,18.75,18.75,18.6,18.6,70.0
2025-11-10 11:15:00,,,,,
2025-11-10 11:20:00,,,,,
2025-11-10 11:25:00,18.95,18.95,18.6,18.6,160.0
2025-11-10 11:30:00,,,,,
2025-11-10 11:35:00,,,,,
2025-11-10 11:40:00,18.7,18.7,18.7,18.7,5.0
2025-11-10 11:45:00,,,,,
2025-11-10 11:50:00,,,,,
2025-11-10 11:55:00,,,,,
2025-11-10 12:00:00,,,,,
2025-11-10 12:05:00,,,,,
2025-11-10 12:10:00,,,,,
2025-11-10 12:15:00,,,,,
2025-11-10 12:20:00,,,,,
2025-11-10 12:25:00,,,,,
2025-11-10 12:30:00,,,,,
2025-11-10 12:35:00,,,,,
2025-11-10 12:40:00,,,,,
2025-11-10 12:45:00,,,,,
2025-11-10 12:50:00,,,,,
2025-11-10 12:55:00,,,,,
2025-11-10 13:00:00,18.95,18.95,18.6,18.6,15.0
2025-11-10 13:05:00,,,,,
2025-11-10 13:10:00,,,,,
2025-11-10 13:15:00,18.95,18.95,18.95,18.95,8.0
2025-11-10 13:20:00,,,,,
2025-11-10 13:25:00,18.95,18.95,18.95,18.95,8.0
2025-11-10 13:30:00,,,,,
2025-11-10 13:35:00,18.95,18.95,18.95,18.95,8.0
