datetime,Open,High,Low,Close,Volume
2026-04-30 07:00:00,17.979999,17.979999,17.979999,17.979999,
2026-04-30 07:05:00,,,,,
2026-04-30 07:10:00,,,,,
2026-04-30 07:15:00,,,,,
2026-04-30 07:20:00,,,,,
2026-04-30 07:25:00,18.12,18.12,18.12,18.12,125.0
2026-04-30 07:30:00,,,,,
2026-04-30 07:35:00,,,,,
2026-04-30 07:40:00,,,,,
2026-04-30 07:45:00,,,,,
2026-04-30 07:50:00,,,,,
2026-04-30 07:55:00,,,,,
2026-04-30 08:00:00,,,,,
2026-04-30 08:05:00,,,,,
2026-04-30 08:10:00,,,,,
2026-04-30 08:15:00,,,,,
2026-04-30 08:20:00,,,,,
2026-04-30 08:25:00,,,,,
2026-04-30 08:30:00,,,,,
2026-04-30 08:35:00,,,,,
2026-04-30 08:40:00,18.459999,18.459999,18.459999,18.459999,77.0
2026-04-30 08:45:00,,,,,
2026-04-30 08:50:00,18.52,18.52,18.52,18.52,25.0
2026-04-30 08:55:00,,,,,
2026-04-30 09:00:00,18.479999,18.479999,18.479999,18.479999,19.0
2026-04-30 09:05:00,,,,,
2026-04-30 09:10:00,,,,,
2026-04-30 09:15:00,18.28,18.28,18.18,18.18,854.0
2026-04-30 09:20:00,,,,,
2026-04-30 09:25:00,,,,,
2026-04-30 09:30:00,,,,,
2026-04-30 09:35:00,,,,,
2026-04-30 09:40:00,18.18,18.459999,18.18,18.459999,114.0
2026-04-30 09:45:00,18.399999,18.399999,18.36,18.36,180.0
2026-04-30 09:50:00,18.36,18.36,18.319999,18.319999,781.0
2026-04-30 09:55:00,18.26,18.26,18.26,18.26,139.0
2026-04-30 10:00:00,,,,,
2026-04-30 10:05:00,,,,,
2026-04-30 10:10:00,,,,,
2026-04-30 10:15:00,18.34,18.34,18.34,18.34,30.0
2026-04-30 10:20:00,18.399999,18.399999,18.399999,18.399999,468.0
2026-04-30 10:25:00,18.26,18.26,18.26,18.26,46.0
2026-04-30 10:30:00,,,,,
2026-04-30 10:35:00,,,,,
2026-04-30 10:40:00,,,,,
2026-04-30 10:45:00,18.379999,18.379999,18.379999,18.379999,57.0
2026-04-30 10:50:00,,,,,
2026-04-30 10:55:00,,,,,
2026-04-30 11:00:00,18.36,18.36,18.36,18.36,1.0
2026-04-30 11:05:00,,,,,
2026-04-30 11:10:00,18.36,18.399999,18.36,18.399999,1215.0
2026-04-30 11:15:00,18.379999,18.379999,18.34,18.36,1233.0
2026-04-30 11:20:00,,,,,
2026-04-30 11:25:00,,,,,
2026-04-30 11:30:00,,,,,
2026-04-30 11:35:00,,,,,
2026-04-30 11:40:00,,,,,
2026-04-30 11:45:00,,,,,
2026-04-30 11:50:00,18.219999,18.36,18.2,18.36,446.0
2026-04-30 11:55:00,18.479999,18.479999,18.479999,18.479999,115.0
2026-04-30 12:00:00,,,,,
2026-04-30 12:05:00,18.479999,18.479999,18.479999,18.479999,110.0
2026-04-30 12:10:00,18.559999,18.559999,18.559999,18.559999,14.0
2026-04-30 12:15:00,,,,,
2026-04-30 12:20:00,,,,,
2026-04-30 12:25:00,18.559999,18.659999,18.5,18.659999,988.0
2026-04-30 12:30:00,18.739999,18.739999,18.739999,18.739999,34.0
2026-04-30 12:35:00,,,,,
2026-04-30 12:40:00,,,,,
2026-04-30 12:45:00,,,,,
2026-04-30 12:50:00,,,,,
