datetime,Open,High,Low,Close,Volume
2025-10-02 07:00:00,9.5,9.5,9.5,9.5,499.0
2025-10-02 07:05:00,,,,,
2025-10-02 07:10:00,9.34,9.34,9.34,9.34,20.0
2025-10-02 07:15:00,,,,,
2025-10-02 07:20:00,,,,,
2025-10-02 07:25:00,,,,,
2025-10-02 07:30:00,,,,,
2025-10-02 07:35:00,,,,,
2025-10-02 07:40:00,,,,,
2025-10-02 07:45:00,,,,,
2025-10-02 07:50:00,,,,,
2025-10-02 07:55:00,,,,,
2025-10-02 08:00:00,,,,,
2025-10-02 08:05:00,9.52,9.52,9.52,9.52,100.0
2025-10-02 08:10:00,9.359999,9.359999,9.359999,9.359999,300.0
2025-10-02 08:15:00,,,,,
2025-10-02 08:20:00,,,,,
2025-10-02 08:25:00,9.399999,9.399999,9.34,9.34,401.0
2025-10-02 08:30:00,9.52,9.6,9.52,9.6,1100.0
2025-10-02 08:35:00,,,,,
2025-10-02 08:40:00,9.6,9.699999,9.6,9.699999,513.0
2025-10-02 08:45:00,9.779999,9.8,9.779999,9.8,17.0
2025-10-02 08:50:00,,,,,
2025-10-02 08:55:00,9.8,9.8,9.6,9.8,2780.0
2025-10-02 09:00:00,9.939999,9.939999,9.939999,9.939999,15.0
2025-10-02 09:05:00,,,,,
2025-10-02 09:10:00,,,,,
2025-10-02 09:15:00,,,,,
2025-10-02 09:20:00,,,,,
2025-10-02 09:25:00,,,,,
2025-10-02 09:30:00,,,,,
2025-10-02 09:35:00,,,,,
2025-10-02 09:40:00,,,,,
2025-10-02 09:45:00,,,,,
2025-10-02 09:50:00,,,,,
2025-10-02 09:55:00,,,,,
2025-10-02 10:00:00,,,,,
2025-10-02 10:05:00,,,,,
2025-10-02 10:10:00,,,,,
2025-10-02 10:15:00,9.699999,9.88,9.699999,9.88,234.0
2025-10-02 10:20:00,,,,,
2025-10-02 10:25:00,9.699999,9.699999,9.699999,9.699999,468.0
2025-10-02 10:30:00,,,,,
2025-10-02 10:35:00,,,,,
2025-10-02 10:40:00,,,,,
2025-10-02 10:45:00,9.72,9.72,9.72,9.72,114.0
2025-10-02 10:50:00,,,,,
2025-10-02 10:55:00,,,,,
2025-10-02 11:00:00,9.88,9.88,9.88,9.88,20.0
2025-10-02 11:05:00,,,,,
2025-10-02 11:10:00,9.699999,9.699999,9.699999,9.699999,182.0
2025-10-02 11:15:00,9.699999,9.699999,9.699999,9.699999,55.0
2025-10-02 11:20:00,,,,,
2025-10-02 11:25:00,,,,,
2025-10-02 11:30:00,9.68,9.68,9.6,9.6,2157.0
2025-10-02 11:35:00,,,,,
2025-10-02 11:40:00,9.42,9.42,9.42,9.42,3.0
2025-10-02 11:45:00,,,,,
2025-10-02 11:50:00,,,,,
2025-10-02 11:55:00,,,,,
2025-10-02 12:00:00,,,,,
2025-10-02 12:05:00,,,,,
2025-10-02 12:10:00,,,,,
2025-10-02 12:15:00,,,,,
2025-10-02 12:20:00,,,,,
2025-10-02 12:25:00,,,,,
2025-10-02 12:30:00,,,,,
2025-10-02 12:35:00,,,,,
2025-10-02 12:40:00,,,,,
2025-10-02 12:45:00,,,,,
2025-10-02 12:50:00,9.64,9.64,9.64,9.64,700.0
2025-10-02 12:55:00,,,,,
2025-10-02 13:00:00,,,,,
2025-10-02 13:05:00,,,,,
