datetime,Open,High,Low,Close,Volume
2023-12-01 08:00:00,32.54,32.54,32.54,32.54,
2023-12-01 08:05:00,32.560001,32.560001,32.560001,32.560001,50.0
2023-12-01 08:10:00,32.5,32.5,32.479999,32.479999,380.0
2023-12-01 08:15:00,32.5,32.619998,32.5,32.619998,2000.0
2023-12-01 08:20:00,,,,,
2023-12-01 08:25:00,,,,,
2023-12-01 08:30:00,32.5,32.5,32.5,32.5,1.0
2023-12-01 08:35:00,32.439998,32.439998,32.439998,32.439998,50.0
2023-12-01 08:40:00,,,,,
2023-12-01 08:45:00,,,,,
2023-12-01 08:50:00,,,,,
2023-12-01 08:55:00,,,,,
2023-12-01 09:00:00,32.580001,32.659999,32.580001,32.659999,128.0
2023-12-01 09:05:00,,,,,
2023-12-01 09:10:00,32.560001,32.560001,32.560001,32.560001,15.0
2023-12-01 09:15:00,32.5,32.5,32.5,32.5,23.0
2023-12-01 09:20:00,,,,,
2023-12-01 09:25:00,,,,,
2023-12-01 09:30:00,,,,,
2023-12-01 09:35:00,,,,,
2023-12-01 09:40:00,,,,,
2023-12-01 09:45:00,,,,,
2023-12-01 09:50:00,32.5,32.5,32.479999,32.5,587.0
2023-12-01 09:55:00,,,,,
2023-12-01 10:00:00,32.479999,32.619998,32.479999,32.619998,41.0
2023-12-01 10:05:00,,,,,
2023-12-01 10:10:00,,,,,
2023-12-01 10:15:00,,,,,
2023-12-01 10:20:00,,,,,
2023-12-01 10:25:00,,,,,
2023-12-01 10:30:00,,,,,
2023-12-01 10:35:00,32.580001,32.580001,32.580001,32.580001,124.0
2023-12-01 10:40:00,,,,,
2023-12-01 10:45:00,,,,,
2023-12-01 10:50:00,,,,,
2023-12-01 10:55:00,,,,,
2023-12-01 11:00:00,,,,,
2023-12-01 11:05:00,,,,,
2023-12-01 11:10:00,,,,,
2023-12-01 11:15:00,,,,,
2023-12-01 11:20:00,,,,,
2023-12-01 11:25:00,,,,,
2023-12-01 11:30:00,,,,,
2023-12-01 11:35:00,32.479999,32.479999,32.400001,32.400001,1756.0
2023-12-01 11:40:00,,,,,
2023-12-01 11:45:00,,,,,
2023-12-01 11:50:00,,,,,
2023-12-01 11:55:00,,,,,
2023-12-01 12:00:00,,,,,
2023-12-01 12:05:00,,,,,
2023-12-01 12:10:00,,,,,
2023-12-01 12:15:00,,,,,
2023-12-01 12:20:00,,,,,
2023-12-01 12:25:00,,,,,
2023-12-01 12:30:00,,,,,
2023-12-01 12:35:00,,,,,
2023-12-01 12:40:00,,,,,
2023-12-01 12:45:00,,,,,
2023-12-01 12:50:00,,,,,
2023-12-01 12:55:00,32.400001,32.400001,32.400001,32.400001,212.0
2023-12-01 13:00:00,,,,,
2023-12-01 13:05:00,,,,,
2023-12-01 13:10:00,,,,,
2023-12-01 13:15:00,,,,,
2023-12-01 13:20:00,,,,,
2023-12-01 13:25:00,,,,,
2023-12-01 13:30:00,,,,,
2023-12-01 13:35:00,,,,,
2023-12-01 13:40:00,32.5,32.5,32.5,32.5,50.0
2023-12-01 13:45:00,,,,,
2023-12-01 13:50:00,,,,,
2023-12-01 13:55:00,,,,,
2023-12-01 14:00:00,,,,,
2023-12-01 14:05:00,,,,,
2023-12-01 14:10:00,32.400001,32.439998,32.34,32.36,3774.0
2023-12-01 14:15:00,32.380001,32.479999,32.380001,32.479999,432.0
2023-12-01 14:20:00,32.459999,32.459999,32.419998,32.419998,300.0
2023-12-01 14:25:00,,,,,
2023-12-01 14:30:00,32.419998,32.419998,32.380001,32.400001,1890.0
2023-12-01 14:35:00,32.439998,32.439998,32.439998,32.439998,314.0
2023-12-01 14:40:00,32.459999,32.459999,32.459999,32.459999,33.0
2023-12-01 14:45:00,32.52,32.560001,32.52,32.560001,166.0
2023-12-01 14:50:00,,,,,
2023-12-01 14:55:00,,,,,
2023-12-01 15:00:00,,,,,
