datetime,Open,High,Low,Close,Volume
2024-04-22 07:00:00,14.0,14.0,14.0,14.0,
2024-04-22 07:05:00,,,,,
2024-04-22 07:10:00,13.899999,13.899999,13.899999,13.899999,678.0
2024-04-22 07:15:00,,,,,
2024-04-22 07:20:00,,,,,
2024-04-22 07:25:00,,,,,
2024-04-22 07:30:00,14.05,14.05,14.05,14.05,230.0
2024-04-22 07:35:00,,,,,
2024-04-22 07:40:00,,,,,
2024-04-22 07:45:00,,,,,
2024-04-22 07:50:00,13.899999,13.899999,13.899999,13.899999,179.0
2024-04-22 07:55:00,,,,,
2024-04-22 08:00:00,,,,,
2024-04-22 08:05:00,,,,,
2024-04-22 08:10:00,,,,,
2024-04-22 08:15:00,,,,,
2024-04-22 08:20:00,14.05,14.05,14.05,14.05,7.0
2024-04-22 08:25:00,,,,,
2024-04-22 08:30:00,,,,,
2024-04-22 08:35:00,,,,,
2024-04-22 08:40:00,,,,,
2024-04-22 08:45:00,,,,,
2024-04-22 08:50:00,,,,,
2024-04-22 08:55:00,,,,,
2024-04-22 09:00:00,14.0,14.0,13.899999,13.899999,2183.0
2024-04-22 09:05:00,,,,,
2024-04-22 09:10:00,,,,,
2024-04-22 09:15:00,,,,,
2024-04-22 09:20:00,,,,,
2024-04-22 09:25:00,,,,,
2024-04-22 09:30:00,,,,,
2024-04-22 09:35:00,,,,,
2024-04-22 09:40:00,,,,,
2024-04-22 09:45:00,13.899999,13.899999,13.899999,13.899999,121.0
2024-04-22 09:50:00,,,,,
2024-04-22 09:55:00,,,,,
2024-04-22 10:00:00,,,,,
2024-04-22 10:05:00,,,,,
2024-04-22 10:10:00,,,,,
2024-04-22 10:15:00,,,,,
2024-04-22 10:20:00,,,,,
2024-04-22 10:25:00,,,,,
2024-04-22 10:30:00,,,,,
2024-04-22 10:35:00,,,,,
2024-04-22 10:40:00,,,,,
2024-04-22 10:45:00,,,,,
2024-04-22 10:50:00,,,,,
2024-04-22 10:55:00,,,,,
2024-04-22 11:00:00,,,,,
2024-04-22 11:05:00,,,,,
2024-04-22 11:10:00,13.899999,13.899999,13.899999,13.899999,179.0
2024-04-22 11:15:00,,,,,
2024-04-22 11:20:00,,,,,
2024-04-22 11:25:00,,,,,
2024-04-22 11:30:00,,,,,
2024-04-22 11:35:00,,,,,
2024-04-22 11:40:00,,,,,
2024-04-22 11:45:00,,,,,
2024-04-22 11:50:00,,,,,
2024-04-22 11:55:00,,,,,
2024-04-22 12:00:00,,,,,
2024-04-22 12:05:00,,,,,
2024-04-22 12:10:00,,,,,
2024-04-22 12:15:00,,,,,
2024-04-22 12:20:00,,,,,
2024-04-22 12:25:00,13.899999,13.899999,13.899999,13.899999,804.0
2024-04-22 12:30:00,,,,,
2024-04-22 12:35:00,,,,,
2024-04-22 12:40:00,,,,,
2024-04-22 12:45:00,,,,,
2024-04-22 12:50:00,,,,,
2024-04-22 12:55:00,,,,,
2024-04-22 13:00:00,,,,,
2024-04-22 13:05:00,,,,,
2024-04-22 13:10:00,,,,,
2024-04-22 13:15:00,,,,,
2024-04-22 13:20:00,,,,,
2024-04-22 13:25:00,,,,,
2024-04-22 13:30:00,,,,,
2024-04-22 13:35:00,,,,,
2024-04-22 13:40:00,,,,,
2024-04-22 13:45:00,13.899999,13.899999,13.649999,13.649999,2419.0
2024-04-22 13:50:00,,,,,
2024-04-22 13:55:00,13.649999,13.649999,13.649999,13.649999,20.0
2024-04-22 14:00:00,,,,,
2024-04-22 14:05:00,,,,,
2024-04-22 14:10:00,,,,,
2024-04-22 14:15:00,13.5,13.6,13.5,13.5,1272.0
2024-04-22 14:20:00,,,,,
2024-04-22 14:25:00,,,,,
2024-04-22 14:30:00,,,,,
2024-04-22 14:35:00,,,,,
2024-04-22 14:40:00,,,,,
2024-04-22 14:45:00,,,,,
2024-04-22 14:50:00,,,,,
2024-04-22 14:55:00,,,,,
2024-04-22 15:00:00,,,,,
2024-04-22 15:05:00,,,,,
2024-04-22 15:10:00,,,,,
2024-04-22 15:15:00,,,,,
2024-04-22 15:20:00,,,,,
2024-04-22 15:25:00,,,,,
2024-04-22 15:30:00,13.55,13.55,13.55,13.55,
2024-04-23 07:00:00,,,,,
2024-04-23 07:05:00,,,,,
2024-04-23 07:10:00,,,,,
2024-04-23 07:15:00,,,,,
2024-04-23 07:20:00,,,,,
2024-04-23 07:25:00,,,,,
2024-04-23 07:30:00,,,,,
2024-04-23 07:35:00,,,,,
2024-04-23 07:40:00,,,,,
2024-04-23 07:45:00,,,,,
2024-04-23 07:50:00,,,,,
2024-04-23 07:55:00,,,,,
2024-04-23 08:00:00,,,,,
2024-04-23 08:05:00,,,,,
2024-04-23 08:10:00,,,,,
2024-04-23 08:15:00,,,,,
2024-04-23 08:20:00,,,,,
2024-04-23 08:25:00,,,,,
2024-04-23 08:30:00,,,,,
2024-04-23 08:35:00,,,,,
2024-04-23 08:40:00,,,,,
2024-04-23 08:45:00,,,,,
2024-04-23 08:50:00,,,,,
2024-04-23 08:55:00,,,,,
2024-04-23 09:00:00,,,,,
2024-04-23 09:05:00,13.6,13.6,13.6,13.6,
2024-04-23 09:10:00,,,,,
2024-04-23 09:15:00,,,,,
2024-04-23 09:20:00,,,,,
2024-04-23 09:25:00,,,,,
2024-04-23 09:30:00,,,,,
2024-04-23 09:35:00,,,,,
2024-04-23 09:40:00,,,,,
2024-04-23 09:45:00,13.8,13.8,13.8,13.8,234.0
2024-04-23 09:50:00,13.8,13.8,13.8,13.8,20.0
2024-04-23 09:55:00,,,,,
2024-04-23 10:00:00,,,,,
2024-04-23 10:05:00,,,,,
2024-04-23 10:10:00,13.85,13.85,13.85,13.85,201.0
2024-04-23 10:15:00,,,,,
2024-04-23 10:20:00,,,,,
2024-04-23 10:25:00,,,,,
2024-04-23 10:30:00,,,,,
2024-04-23 10:35:00,,,,,
2024-04-23 10:40:00,,,,,
2024-04-23 10:45:00,13.949999,13.949999,13.949999,13.949999,68.0
2024-04-23 10:50:00,,,,,
2024-04-23 10:55:00,,,,,
2024-04-23 11:00:00,,,,,
2024-04-23 11:05:00,,,,,
2024-04-23 11:10:00,,,,,
2024-04-23 11:15:00,,,,,
2024-04-23 11:20:00,,,,,
2024-04-23 11:25:00,,,,,
2024-04-23 11:30:00,,,,,
2024-04-23 11:35:00,,,,,
2024-04-23 11:40:00,,,,,
2024-04-23 11:45:00,,,,,
2024-04-23 11:50:00,,,,,
2024-04-23 11:55:00,13.949999,13.949999,13.949999,13.949999,980.0
2024-04-23 12:00:00,13.85,13.85,13.8,13.8,192.0
2024-04-23 12:05:00,13.8,13.8,13.8,13.8,416.0
2024-04-23 12:10:00,,,,,
2024-04-23 12:15:00,,,,,
2024-04-23 12:20:00,,,,,
2024-04-23 12:25:00,,,,,
2024-04-23 12:30:00,,,,,
2024-04-23 12:35:00,,,,,
2024-04-23 12:40:00,,,,,
2024-04-23 12:45:00,13.8,13.8,13.8,13.8,1000.0
2024-04-23 12:50:00,,,,,
2024-04-23 12:55:00,,,,,
2024-04-23 13:00:00,,,,,
2024-04-23 13:05:00,,,,,
2024-04-23 13:10:00,13.699999,13.75,13.699999,13.75,1059.0
2024-04-23 13:15:00,,,,,
2024-04-23 13:20:00,,,,,
