datetime,Open,High,Low,Close,Volume
2022-02-03 08:00:00,,,,,
2022-02-03 08:05:00,,,,,
2022-02-03 08:10:00,,,,,
2022-02-03 08:15:00,,,,,
2022-02-03 08:20:00,,,,,
2022-02-03 08:25:00,,,,,
2022-02-03 08:30:00,7.34,7.34,7.34,7.34,
2022-02-03 08:35:00,,,,,
2022-02-03 08:40:00,7.36,7.36,7.3,7.3,2039.0
2022-02-03 08:45:00,,,,,
2022-02-03 08:50:00,,,,,
2022-02-03 08:55:00,,,,,
2022-02-03 09:00:00,,,,,
2022-02-03 09:05:00,,,,,
2022-02-03 09:10:00,,,,,
2022-02-03 09:15:00,7.239999,7.26,7.199999,7.199999,7910.0
2022-02-03 09:20:00,,,,,
2022-02-03 09:25:00,7.119999,7.139999,7.059999,7.139999,13693.0
2022-02-03 09:30:00,,,,,
2022-02-03 09:35:00,,,,,
2022-02-03 09:40:00,,,,,
2022-02-03 09:45:00,7.179999,7.179999,7.179999,7.179999,21.0
2022-02-03 09:50:00,,,,,
2022-02-03 09:55:00,,,,,
2022-02-03 10:00:00,,,,,
2022-02-03 10:05:00,,,,,
2022-02-03 10:10:00,,,,,
2022-02-03 10:15:00,,,,,
2022-02-03 10:20:00,,,,,
2022-02-03 10:25:00,,,,,
2022-02-03 10:30:00,,,,,
2022-02-03 10:35:00,,,,,
2022-02-03 10:40:00,,,,,
2022-02-03 10:45:00,7.199999,7.199999,7.199999,7.199999,8.0
2022-02-03 10:50:00,,,,,
2022-02-03 10:55:00,,,,,
2022-02-03 11:00:00,,,,,
2022-02-03 11:05:00,,,,,
2022-02-03 11:10:00,,,,,
2022-02-03 11:15:00,,,,,
2022-02-03 11:20:00,,,,,
2022-02-03 11:25:00,,,,,
2022-02-03 11:30:00,,,,,
2022-02-03 11:35:00,,,,,
2022-02-03 11:40:00,,,,,
2022-02-03 11:45:00,7.239999,7.239999,7.199999,7.239999,2044.0
2022-02-03 11:50:00,,,,,
2022-02-03 11:55:00,,,,,
2022-02-03 12:00:00,,,,,
2022-02-03 12:05:00,,,,,
2022-02-03 12:10:00,,,,,
2022-02-03 12:15:00,7.3,7.3,7.3,7.3,1.0
2022-02-03 12:20:00,,,,,
2022-02-03 12:25:00,,,,,
2022-02-03 12:30:00,,,,,
2022-02-03 12:35:00,,,,,
2022-02-03 12:40:00,7.3,7.3,7.3,7.3,28.0
2022-02-03 12:45:00,,,,,
2022-02-03 12:50:00,,,,,
2022-02-03 12:55:00,,,,,
2022-02-03 13:00:00,,,,,
2022-02-03 13:05:00,7.239999,7.239999,7.199999,7.199999,1505.0
2022-02-03 13:10:00,,,,,
2022-02-03 13:15:00,,,,,
2022-02-03 13:20:00,,,,,
2022-02-03 13:25:00,,,,,
2022-02-03 13:30:00,,,,,
2022-02-03 13:35:00,7.139999,7.139999,7.119999,7.119999,590.0
2022-02-03 13:40:00,,,,,
2022-02-03 13:45:00,,,,,
2022-02-03 13:50:00,,,,,
2022-02-03 13:55:00,,,,,
2022-02-03 14:00:00,7.119999,7.119999,7.079999,7.079999,3724.0
2022-02-03 14:05:00,,,,,
2022-02-03 14:10:00,,,,,
2022-02-03 14:15:00,,,,,
2022-02-03 14:20:00,,,,,
2022-02-03 14:25:00,,,,,
2022-02-03 14:30:00,,,,,
2022-02-03 14:35:00,,,,,
2022-02-03 14:40:00,,,,,
2022-02-03 14:45:00,,,,,
2022-02-03 14:50:00,7.059999,7.059999,7.059999,7.059999,268.0
2022-02-03 14:55:00,7.019999,7.019999,7.019999,7.019999,237.0
2022-02-03 15:00:00,,,,,
2022-02-03 15:05:00,,,,,
2022-02-03 15:10:00,,,,,
2022-02-03 15:15:00,,,,,
2022-02-03 15:20:00,7.099999,7.099999,7.099999,7.099999,1410.0
2022-02-03 15:25:00,,,,,
2022-02-03 15:30:00,,,,,
2022-02-03 15:35:00,,,,,
2022-02-03 15:40:00,,,,,
2022-02-03 15:45:00,,,,,
2022-02-03 15:50:00,,,,,
2022-02-03 15:55:00,,,,,
2022-02-03 16:00:00,,,,,
2022-02-03 16:05:00,7.139999,7.139999,7.139999,7.139999,60.0
2022-02-03 16:10:00,7.139999,7.139999,7.139999,7.139999,15.0
2022-02-03 16:15:00,,,,,
2022-02-03 16:20:00,,,,,
2022-02-03 16:25:00,,,,,
2022-02-03 16:30:00,7.139999,7.139999,7.139999,7.139999,
2022-02-04 08:00:00,7.219999,7.219999,7.219999,7.219999,
2022-02-04 08:05:00,,,,,
2022-02-04 08:10:00,,,,,
2022-02-04 08:15:00,,,,,
2022-02-04 08:20:00,,,,,
2022-02-04 08:25:00,,,,,
2022-02-04 08:30:00,,,,,
2022-02-04 08:35:00,,,,,
2022-02-04 08:40:00,,,,,
2022-02-04 08:45:00,,,,,
2022-02-04 08:50:00,,,,,
2022-02-04 08:55:00,,,,,
2022-02-04 09:00:00,,,,,
2022-02-04 09:05:00,,,,,
2022-02-04 09:10:00,,,,,
2022-02-04 09:15:00,7.159999,7.219999,7.159999,7.219999,1300.0
2022-02-04 09:20:00,,,,,
2022-02-04 09:25:00,,,,,
2022-02-04 09:30:00,,,,,
2022-02-04 09:35:00,,,,,
2022-02-04 09:40:00,,,,,
2022-02-04 09:45:00,,,,,
2022-02-04 09:50:00,,,,,
2022-02-04 09:55:00,,,,,
2022-02-04 10:00:00,,,,,
2022-02-04 10:05:00,7.199999,7.199999,7.199999,7.199999,50.0
2022-02-04 10:10:00,,,,,
2022-02-04 10:15:00,7.119999,7.119999,7.099999,7.099999,1000.0
2022-02-04 10:20:00,,,,,
2022-02-04 10:25:00,,,,,
2022-02-04 10:30:00,,,,,
2022-02-04 10:35:00,7.179999,7.179999,7.159999,7.159999,1926.0
2022-02-04 10:40:00,,,,,
2022-02-04 10:45:00,,,,,
2022-02-04 10:50:00,,,,,
2022-02-04 10:55:00,,,,,
2022-02-04 11:00:00,,,,,
2022-02-04 11:05:00,,,,,
2022-02-04 11:10:00,,,,,
2022-02-04 11:15:00,,,,,
2022-02-04 11:20:00,,,,,
2022-02-04 11:25:00,,,,,
2022-02-04 11:30:00,,,,,
2022-02-04 11:35:00,,,,,
2022-02-04 11:40:00,,,,,
2022-02-04 11:45:00,,,,,
2022-02-04 11:50:00,,,,,
2022-02-04 11:55:00,,,,,
2022-02-04 12:00:00,,,,,
2022-02-04 12:05:00,,,,,
2022-02-04 12:10:00,7.179999,7.199999,7.179999,7.199999,1000.0
2022-02-04 12:15:00,,,,,
2022-02-04 12:20:00,,,,,
2022-02-04 12:25:00,,,,,
2022-02-04 12:30:00,,,,,
2022-02-04 12:35:00,,,,,
2022-02-04 12:40:00,,,,,
2022-02-04 12:45:00,,,,,
2022-02-04 12:50:00,,,,,
2022-02-04 12:55:00,7.239999,7.34,7.239999,7.34,4230.0
2022-02-04 13:00:00,7.28,7.28,7.239999,7.239999,1483.0
2022-02-04 13:05:00,7.219999,7.219999,7.219999,7.219999,1289.0
2022-02-04 13:10:00,,,,,
2022-02-04 13:15:00,,,,,
2022-02-04 13:20:00,,,,,
2022-02-04 13:25:00,,,,,
2022-02-04 13:30:00,,,,,
2022-02-04 13:35:00,,,,,
2022-02-04 13:40:00,,,,,
2022-02-04 13:45:00,,,,,
2022-02-04 13:50:00,,,,,
2022-02-04 13:55:00,,,,,
2022-02-04 14:00:00,,,,,
2022-02-04 14:05:00,,,,,
2022-02-04 14:10:00,,,,,
2022-02-04 14:15:00,,,,,
2022-02-04 14:20:00,,,,,
2022-02-04 14:25:00,,,,,
2022-02-04 14:30:00,,,,,
2022-02-04 14:35:00,,,,,
2022-02-04 14:40:00,,,,,
2022-02-04 14:45:00,,,,,
2022-02-04 14:50:00,,,,,
2022-02-04 14:55:00,,,,,
2022-02-04 15:00:00,,,,,
2022-02-04 15:05:00,,,,,
2022-02-04 15:10:00,,,,,
2022-02-04 15:15:00,,,,,
2022-02-04 15:20:00,,,,,
2022-02-04 15:25:00,,,,,
2022-02-04 15:30:00,,,,,
2022-02-04 15:35:00,,,,,
2022-02-04 15:40:00,,,,,
2022-02-04 15:45:00,,,,,
2022-02-04 15:50:00,,,,,
2022-02-04 15:55:00,,,,,
2022-02-04 16:00:00,7.239999,7.239999,7.239999,7.239999,2.0
2022-02-04 16:05:00,,,,,
2022-02-04 16:10:00,,,,,
2022-02-04 16:15:00,,,,,
2022-02-04 16:20:00,,,,,
2022-02-04 16:25:00,7.239999,7.239999,7.239999,7.239999,16.0
2022-02-04 16:30:00,7.199999,7.199999,7.199999,7.199999,
2022-02-07 08:00:00,7.28,7.28,7.28,7.28,
2022-02-07 08:05:00,7.219999,7.219999,7.219999,7.219999,1.0
2022-02-07 08:10:00,,,,,
2022-02-07 08:15:00,,,,,
2022-02-07 08:20:00,,,,,
2022-02-07 08:25:00,,,,,
2022-02-07 08:30:00,,,,,
2022-02-07 08:35:00,7.199999,7.199999,7.199999,7.199999,1039.0
2022-02-07 08:40:00,,,,,
2022-02-07 08:45:00,,,,,
2022-02-07 08:50:00,,,,,
2022-02-07 08:55:00,,,,,
2022-02-07 09:00:00,7.119999,7.119999,7.119999,7.119999,1289.0
2022-02-07 09:05:00,,,,,
2022-02-07 09:10:00,,,,,
2022-02-07 09:15:00,,,,,
2022-02-07 09:20:00,,,,,
2022-02-07 09:25:00,,,,,
2022-02-07 09:30:00,,,,,
2022-02-07 09:35:00,,,,,
2022-02-07 09:40:00,7.119999,7.119999,7.119999,7.119999,39.0
2022-02-07 09:45:00,,,,,
2022-02-07 09:50:00,,,,,
2022-02-07 09:55:00,,,,,
2022-02-07 10:00:00,,,,,
2022-02-07 10:05:00,,,,,
2022-02-07 10:10:00,,,,,
2022-02-07 10:15:00,,,,,
2022-02-07 10:20:00,,,,,
2022-02-07 10:25:00,,,,,
2022-02-07 10:30:00,,,,,
2022-02-07 10:35:00,,,,,
2022-02-07 10:40:00,,,,,
2022-02-07 10:45:00,,,,,
2022-02-07 10:50:00,,,,,
2022-02-07 10:55:00,,,,,
2022-02-07 11:00:00,,,,,
2022-02-07 11:05:00,,,,,
2022-02-07 11:10:00,,,,,
2022-02-07 11:15:00,,,,,
2022-02-07 11:20:00,,,,,
2022-02-07 11:25:00,,,,,
2022-02-07 11:30:00,,,,,
2022-02-07 11:35:00,,,,,
2022-02-07 11:40:00,,,,,
2022-02-07 11:45:00,,,,,
2022-02-07 11:50:00,,,,,
2022-02-07 11:55:00,,,,,
2022-02-07 12:00:00,,,,,
2022-02-07 12:05:00,,,,,
2022-02-07 12:10:00,,,,,
2022-02-07 12:15:00,,,,,
2022-02-07 12:20:00,,,,,
2022-02-07 12:25:00,,,,,
2022-02-07 12:30:00,,,,,
2022-02-07 12:35:00,,,,,
2022-02-07 12:40:00,7.159999,7.159999,7.159999,7.159999,580.0
2022-02-07 12:45:00,,,,,
2022-02-07 12:50:00,,,,,
2022-02-07 12:55:00,,,,,
2022-02-07 13:00:00,,,,,
2022-02-07 13:05:00,,,,,
2022-02-07 13:10:00,,,,,
2022-02-07 13:15:00,,,,,
2022-02-07 13:20:00,,,,,
2022-02-07 13:25:00,,,,,
2022-02-07 13:30:00,,,,,
2022-02-07 13:35:00,,,,,
2022-02-07 13:40:00,,,,,
2022-02-07 13:45:00,,,,,
2022-02-07 13:50:00,,,,,
2022-02-07 13:55:00,7.099999,7.099999,7.079999,7.079999,2100.0
2022-02-07 14:00:00,,,,,
2022-02-07 14:05:00,,,,,
2022-02-07 14:10:00,,,,,
2022-02-07 14:15:00,,,,,
2022-02-07 14:20:00,,,,,
2022-02-07 14:25:00,,,,,
2022-02-07 14:30:00,,,,,
2022-02-07 14:35:00,,,,,
2022-02-07 14:40:00,,,,,
2022-02-07 14:45:00,,,,,
2022-02-07 14:50:00,,,,,
2022-02-07 14:55:00,,,,,
2022-02-07 15:00:00,,,,,
2022-02-07 15:05:00,,,,,
2022-02-07 15:10:00,,,,,
2022-02-07 15:15:00,,,,,
2022-02-07 15:20:00,,,,,
2022-02-07 15:25:00,,,,,
2022-02-07 15:30:00,,,,,
2022-02-07 15:35:00,7.119999,7.199999,7.119999,7.199999,5000.0
2022-02-07 15:40:00,7.199999,7.38,7.199999,7.38,9445.0
2022-02-07 15:45:00,7.38,7.44,7.38,7.44,1504.0
2022-02-07 15:50:00,7.44,7.44,7.44,7.44,1636.0
2022-02-07 15:55:00,,,,,
2022-02-07 16:00:00,,,,,
2022-02-07 16:05:00,7.44,7.44,7.44,7.44,185.0
