datetime,Open,High,Low,Close,Volume
2023-03-16 08:00:00,8.335,8.38,8.329999,8.38,
2023-03-16 08:05:00,8.359999,8.359999,8.35,8.35,464.0
2023-03-16 08:10:00,8.359999,8.369999,8.359999,8.369999,565.0
2023-03-16 08:15:00,8.335,8.335,8.329999,8.329999,643.0
2023-03-16 08:20:00,8.274999,8.305,8.274999,8.305,200.0
2023-03-16 08:25:00,,,,,
2023-03-16 08:30:00,8.289999,8.289999,8.284999,8.284999,1015.0
2023-03-16 08:35:00,8.329999,8.329999,8.329999,8.329999,3.0
2023-03-16 08:40:00,8.279999,8.279999,8.279999,8.279999,4.0
2023-03-16 08:45:00,8.31,8.319999,8.284999,8.284999,3739.0
2023-03-16 08:50:00,,,,,
2023-03-16 08:55:00,8.265,8.265,8.265,8.265,1.0
2023-03-16 09:00:00,8.265,8.265,8.225,8.225,922.0
2023-03-16 09:05:00,8.234999,8.234999,8.234999,8.234999,388.0
2023-03-16 09:10:00,,,,,
2023-03-16 09:15:00,8.21,8.21,8.185,8.185,177.0
2023-03-16 09:20:00,8.135,8.135,8.135,8.135,65.0
2023-03-16 09:25:00,8.185,8.199999,8.185,8.199999,1232.0
2023-03-16 09:30:00,,,,,
2023-03-16 09:35:00,,,,,
2023-03-16 09:40:00,8.21,8.21,8.199999,8.199999,233.0
2023-03-16 09:45:00,,,,,
2023-03-16 09:50:00,8.199999,8.199999,8.199999,8.199999,59.0
2023-03-16 09:55:00,8.215,8.239999,8.215,8.239999,732.0
2023-03-16 10:00:00,8.225,8.239999,8.225,8.239999,1303.0
2023-03-16 10:05:00,8.244999,8.244999,8.244999,8.244999,698.0
2023-03-16 10:10:00,8.234999,8.239999,8.229999,8.239999,1057.0
2023-03-16 10:15:00,,,,,
2023-03-16 10:20:00,8.244999,8.25,8.244999,8.25,542.0
2023-03-16 10:25:00,8.255,8.255,8.255,8.255,500.0
2023-03-16 10:30:00,,,,,
2023-03-16 10:35:00,8.229999,8.229999,8.229999,8.229999,51.0
2023-03-16 10:40:00,,,,,
2023-03-16 10:45:00,8.22,8.22,8.22,8.22,12.0
2023-03-16 10:50:00,8.22,8.22,8.22,8.22,92.0
2023-03-16 10:55:00,8.194999,8.244999,8.194999,8.244999,1484.0
2023-03-16 11:00:00,,,,,
2023-03-16 11:05:00,,,,,
2023-03-16 11:10:00,8.239999,8.239999,8.239999,8.239999,50.0
2023-03-16 11:15:00,8.199999,8.229999,8.199999,8.229999,72.0
2023-03-16 11:20:00,8.225,8.225,8.225,8.225,4.0
2023-03-16 11:25:00,,,,,
2023-03-16 11:30:00,8.244999,8.265,8.244999,8.265,3704.0
2023-03-16 11:35:00,8.274999,8.274999,8.274999,8.274999,580.0
2023-03-16 11:40:00,,,,,
2023-03-16 11:45:00,8.3,8.305,8.3,8.305,301.0
2023-03-16 11:50:00,,,,,
2023-03-16 11:55:00,,,,,
2023-03-16 12:00:00,8.279999,8.279999,8.279999,8.279999,14.0
2023-03-16 12:05:00,8.26,8.26,8.26,8.26,142.0
2023-03-16 12:10:00,,,,,
2023-03-16 12:15:00,,,,,
2023-03-16 12:20:00,,,,,
2023-03-16 12:25:00,,,,,
2023-03-16 12:30:00,,,,,
2023-03-16 12:35:00,,,,,
2023-03-16 12:40:00,8.26,8.26,8.189999,8.225,4289.0
2023-03-16 12:45:00,,,,,
2023-03-16 12:50:00,,,,,
2023-03-16 12:55:00,,,,,
2023-03-16 13:00:00,8.21,8.21,8.204999,8.204999,568.0
2023-03-16 13:05:00,8.22,8.234999,8.22,8.234999,2942.0
2023-03-16 13:10:00,,,,,
2023-03-16 13:15:00,8.21,8.21,8.21,8.21,14.0
2023-03-16 13:20:00,8.18,8.18,8.18,8.18,139.0
2023-03-16 13:25:00,,,,,
2023-03-16 13:30:00,8.204999,8.22,8.204999,8.22,1138.0
2023-03-16 13:35:00,,,,,
2023-03-16 13:40:00,8.274999,8.3,8.244999,8.279999,1372.0
2023-03-16 13:45:00,,,,,
2023-03-16 13:50:00,8.25,8.305,8.239999,8.305,2235.0
2023-03-16 13:55:00,8.359999,8.369999,8.359999,8.369999,1640.0
2023-03-16 14:00:00,8.354999,8.354999,8.354999,8.354999,1324.0
2023-03-16 14:05:00,8.34,8.34,8.314999,8.314999,267.0
2023-03-16 14:10:00,,,,,
2023-03-16 14:15:00,8.279999,8.279999,8.229999,8.229999,417.0
2023-03-16 14:20:00,,,,,
2023-03-16 14:25:00,8.26,8.26,8.26,8.26,118.0
2023-03-16 14:30:00,8.284999,8.284999,8.284999,8.284999,128.0
2023-03-16 14:35:00,8.289999,8.289999,8.289999,8.289999,159.0
2023-03-16 14:40:00,,,,,
2023-03-16 14:45:00,8.324999,8.324999,8.319999,8.319999,788.0
2023-03-16 14:50:00,,,,,
2023-03-16 14:55:00,8.375,8.39,8.34,8.359999,1545.0
2023-03-16 15:00:00,8.354999,8.354999,8.35,8.35,189.0
2023-03-16 15:05:00,8.335,8.335,8.335,8.335,119.0
2023-03-16 15:10:00,,,,,
2023-03-16 15:15:00,8.34,8.34,8.34,8.34,190.0
2023-03-16 15:20:00,8.359999,8.359999,8.359999,8.359999,9.0
2023-03-16 15:25:00,,,,,
2023-03-16 15:30:00,8.369999,8.369999,8.369999,8.369999,259.0
2023-03-16 15:35:00,8.375,8.375,8.375,8.375,67.0
2023-03-16 15:40:00,8.38,8.38,8.38,8.38,580.0
2023-03-16 15:45:00,,,,,
2023-03-16 15:50:00,,,,,
2023-03-16 15:55:00,,,,,
2023-03-16 16:00:00,8.42,8.42,8.385,8.385,652.0
2023-03-16 16:05:00,8.364999,8.364999,8.359999,8.359999,300.0
2023-03-16 16:10:00,8.369999,8.369999,8.369999,8.369999,92.0
2023-03-16 16:15:00,8.354999,8.375,8.354999,8.375,602.0
2023-03-16 16:20:00,8.385,8.399999,8.385,8.399999,95.0
2023-03-16 16:25:00,8.395,8.395,8.39,8.39,14.0
2023-03-16 16:30:00,8.404999,8.404999,8.404999,8.404999,
2023-03-17 08:00:00,8.505,8.505,8.479999,8.479999,
2023-03-17 08:05:00,8.484999,8.489999,8.479999,8.479999,2116.0
2023-03-17 08:10:00,,,,,
2023-03-17 08:15:00,,,,,
2023-03-17 08:20:00,8.475,8.479999,8.475,8.479999,520.0
2023-03-17 08:25:00,8.475,8.475,8.475,8.475,101.0
2023-03-17 08:30:00,8.449999,8.449999,8.444999,8.444999,280.0
2023-03-17 08:35:00,8.439999,8.449999,8.439999,8.449999,1660.0
2023-03-17 08:40:00,,,,,
2023-03-17 08:45:00,8.425,8.425,8.425,8.425,1.0
