datetime,Open,High,Low,Close,Volume
2024-03-11 08:00:00,3.444999,3.444999,3.44,3.44,
2024-03-11 08:05:00,,,,,
2024-03-11 08:10:00,3.44,3.44,3.44,3.44,1000.0
2024-03-11 08:15:00,,,,,
2024-03-11 08:20:00,,,,,
2024-03-11 08:25:00,3.44,3.44,3.44,3.44,2526.0
2024-03-11 08:30:00,,,,,
2024-03-11 08:35:00,3.45,3.45,3.45,3.45,3.0
2024-03-11 08:40:00,,,,,
2024-03-11 08:45:00,,,,,
2024-03-11 08:50:00,3.43,3.43,3.424999,3.424999,2067.0
2024-03-11 08:55:00,,,,,
2024-03-11 09:00:00,,,,,
2024-03-11 09:05:00,,,,,
2024-03-11 09:10:00,,,,,
2024-03-11 09:15:00,,,,,
2024-03-11 09:20:00,,,,,
2024-03-11 09:25:00,,,,,
2024-03-11 09:30:00,,,,,
2024-03-11 09:35:00,,,,,
2024-03-11 09:40:00,,,,,
2024-03-11 09:45:00,,,,,
2024-03-11 09:50:00,3.43,3.43,3.43,3.43,1000.0
2024-03-11 09:55:00,,,,,
2024-03-11 10:00:00,3.43,3.43,3.43,3.43,30.0
2024-03-11 10:05:00,,,,,
2024-03-11 10:10:00,,,,,
2024-03-11 10:15:00,,,,,
2024-03-11 10:20:00,3.414999,3.414999,3.414999,3.414999,200.0
2024-03-11 10:25:00,,,,,
2024-03-11 10:30:00,,,,,
2024-03-11 10:35:00,,,,,
2024-03-11 10:40:00,,,,,
2024-03-11 10:45:00,,,,,
2024-03-11 10:50:00,,,,,
2024-03-11 10:55:00,,,,,
2024-03-11 11:00:00,3.414999,3.414999,3.414999,3.414999,15.0
2024-03-11 11:05:00,3.414999,3.414999,3.414999,3.414999,35.0
2024-03-11 11:10:00,,,,,
2024-03-11 11:15:00,3.42,3.42,3.42,3.42,2393.0
2024-03-11 11:20:00,,,,,
2024-03-11 11:25:00,,,,,
2024-03-11 11:30:00,,,,,
2024-03-11 11:35:00,,,,,
2024-03-11 11:40:00,,,,,
2024-03-11 11:45:00,,,,,
2024-03-11 11:50:00,,,,,
2024-03-11 11:55:00,,,,,
2024-03-11 12:00:00,3.42,3.42,3.42,3.42,9703.0
2024-03-11 12:05:00,3.42,3.42,3.42,3.42,107.0
2024-03-11 12:10:00,,,,,
2024-03-11 12:15:00,,,,,
2024-03-11 12:20:00,,,,,
2024-03-11 12:25:00,3.414999,3.42,3.414999,3.42,2699.0
2024-03-11 12:30:00,3.404999,3.404999,3.404999,3.404999,10.0
2024-03-11 12:35:00,,,,,
2024-03-11 12:40:00,,,,,
2024-03-11 12:45:00,,,,,
2024-03-11 12:50:00,,,,,
2024-03-11 12:55:00,3.404999,3.404999,3.404999,3.404999,284.0
2024-03-11 13:00:00,3.414999,3.42,3.414999,3.42,1649.0
2024-03-11 13:05:00,,,,,
2024-03-11 13:10:00,,,,,
2024-03-11 13:15:00,,,,,
2024-03-11 13:20:00,,,,,
2024-03-11 13:25:00,3.42,3.42,3.42,3.42,288.0
2024-03-11 13:30:00,,,,,
2024-03-11 13:35:00,,,,,
2024-03-11 13:40:00,,,,,
2024-03-11 13:45:00,,,,,
2024-03-11 13:50:00,,,,,
2024-03-11 13:55:00,,,,,
2024-03-11 14:00:00,,,,,
2024-03-11 14:05:00,3.42,3.42,3.42,3.42,139.0
2024-03-11 14:10:00,3.41,3.414999,3.4,3.404999,12106.0
2024-03-11 14:15:00,,,,,
2024-03-11 14:20:00,,,,,
2024-03-11 14:25:00,,,,,
2024-03-11 14:30:00,3.4,3.41,3.4,3.404999,5631.0
2024-03-11 14:35:00,3.4,3.4,3.4,3.4,27.0
2024-03-11 14:40:00,,,,,
2024-03-11 14:45:00,,,,,
2024-03-11 14:50:00,3.4,3.4,3.4,3.4,1500.0
2024-03-11 14:55:00,,,,,
2024-03-11 15:00:00,3.4,3.4,3.4,3.4,1000.0
2024-03-11 15:05:00,,,,,
2024-03-11 15:10:00,3.4,3.4,3.394999,3.394999,1000.0
2024-03-11 15:15:00,3.4,3.4,3.4,3.4,134.0
2024-03-11 15:20:00,3.404999,3.404999,3.404999,3.404999,593.0
2024-03-11 15:25:00,,,,,
2024-03-11 15:30:00,,,,,
2024-03-11 15:35:00,,,,,
2024-03-11 15:40:00,3.41,3.41,3.41,3.41,1728.0
2024-03-11 15:45:00,3.414999,3.414999,3.41,3.41,1660.0
2024-03-11 15:50:00,3.424999,3.44,3.424999,3.44,10078.0
2024-03-11 15:55:00,3.424999,3.424999,3.424999,3.424999,39.0
2024-03-11 16:00:00,3.424999,3.424999,3.424999,3.424999,42.0
2024-03-11 16:05:00,3.434999,3.44,3.434999,3.44,7827.0
2024-03-11 16:10:00,,,,,
2024-03-11 16:15:00,,,,,
2024-03-11 16:20:00,3.45,3.46,3.45,3.454999,10079.0
2024-03-11 16:25:00,3.46,3.464999,3.46,3.464999,838.0
2024-03-11 16:30:00,3.47,3.47,3.47,3.47,
2024-03-12 08:00:00,3.47,3.47,3.444999,3.46,
2024-03-12 08:05:00,3.464999,3.474999,3.464999,3.474999,10164.0
2024-03-12 08:10:00,,,,,
2024-03-12 08:15:00,,,,,
2024-03-12 08:20:00,,,,,
2024-03-12 08:25:00,3.48,3.48,3.47,3.47,3412.0
2024-03-12 08:30:00,3.47,3.47,3.47,3.47,1888.0
2024-03-12 08:35:00,,,,,
2024-03-12 08:40:00,,,,,
2024-03-12 08:45:00,3.46,3.46,3.46,3.46,20.0
2024-03-12 08:50:00,,,,,
2024-03-12 08:55:00,3.47,3.47,3.47,3.47,12642.0
2024-03-12 09:00:00,,,,,
2024-03-12 09:05:00,3.48,3.48,3.48,3.48,1.0
2024-03-12 09:10:00,,,,,
2024-03-12 09:15:00,,,,,
2024-03-12 09:20:00,,,,,
2024-03-12 09:25:00,,,,,
2024-03-12 09:30:00,3.484999,3.49,3.484999,3.49,6187.0
2024-03-12 09:35:00,,,,,
2024-03-12 09:40:00,,,,,
2024-03-12 09:45:00,,,,,
2024-03-12 09:50:00,,,,,
2024-03-12 09:55:00,,,,,
2024-03-12 10:00:00,3.48,3.48,3.48,3.48,150.0
2024-03-12 10:05:00,,,,,
2024-03-12 10:10:00,3.49,3.49,3.49,3.49,3015.0
2024-03-12 10:15:00,,,,,
2024-03-12 10:20:00,,,,,
2024-03-12 10:25:00,,,,,
2024-03-12 10:30:00,,,,,
2024-03-12 10:35:00,,,,,
2024-03-12 10:40:00,,,,,
2024-03-12 10:45:00,,,,,
2024-03-12 10:50:00,,,,,
2024-03-12 10:55:00,3.49,3.494999,3.49,3.49,1070.0
2024-03-12 11:00:00,3.49,3.494999,3.49,3.494999,1904.0
2024-03-12 11:05:00,,,,,
2024-03-12 11:10:00,,,,,
2024-03-12 11:15:00,,,,,
2024-03-12 11:20:00,3.49,3.49,3.49,3.49,3241.0
2024-03-12 11:25:00,,,,,
2024-03-12 11:30:00,,,,,
2024-03-12 11:35:00,,,,,
2024-03-12 11:40:00,,,,,
2024-03-12 11:45:00,,,,,
2024-03-12 11:50:00,,,,,
2024-03-12 11:55:00,,,,,
2024-03-12 12:00:00,,,,,
2024-03-12 12:05:00,,,,,
2024-03-12 12:10:00,3.5,3.5,3.5,3.5,168.0
2024-03-12 12:15:00,,,,,
2024-03-12 12:20:00,,,,,
2024-03-12 12:25:00,,,,,
2024-03-12 12:30:00,,,,,
2024-03-12 12:35:00,,,,,
2024-03-12 12:40:00,,,,,
2024-03-12 12:45:00,,,,,
2024-03-12 12:50:00,,,,,
2024-03-12 12:55:00,,,,,
2024-03-12 13:00:00,3.494999,3.494999,3.49,3.49,8823.0
2024-03-12 13:05:00,,,,,
2024-03-12 13:10:00,,,,,
2024-03-12 13:15:00,,,,,
2024-03-12 13:20:00,,,,,
2024-03-12 13:25:00,,,,,
2024-03-12 13:30:00,,,,,
2024-03-12 13:35:00,3.49,3.49,3.49,3.49,2710.0
2024-03-12 13:40:00,,,,,
2024-03-12 13:45:00,,,,,
2024-03-12 13:50:00,,,,,
2024-03-12 13:55:00,,,,,
2024-03-12 14:00:00,3.494999,3.494999,3.494999,3.494999,78.0
2024-03-12 14:05:00,,,,,
2024-03-12 14:10:00,,,,,
2024-03-12 14:15:00,,,,,
2024-03-12 14:20:00,3.5,3.5,3.5,3.5,1775.0
2024-03-12 14:25:00,,,,,
2024-03-12 14:30:00,3.505,3.509999,3.505,3.509999,8558.0
2024-03-12 14:35:00,,,,,
2024-03-12 14:40:00,3.519999,3.519999,3.509999,3.509999,509.0
2024-03-12 14:45:00,3.515,3.535,3.515,3.529999,15791.0
2024-03-12 14:50:00,,,,,
2024-03-12 14:55:00,,,,,
2024-03-12 15:00:00,3.519999,3.519999,3.505,3.505,4228.0
2024-03-12 15:05:00,,,,,
2024-03-12 15:10:00,,,,,
2024-03-12 15:15:00,3.505,3.515,3.505,3.515,6808.0
2024-03-12 15:20:00,3.515,3.515,3.509999,3.509999,4515.0
2024-03-12 15:25:00,,,,,
2024-03-12 15:30:00,3.509999,3.509999,3.509999,3.509999,2543.0
2024-03-12 15:35:00,,,,,
2024-03-12 15:40:00,,,,,
2024-03-12 15:45:00,3.505,3.505,3.505,3.505,684.0
2024-03-12 15:50:00,,,,,
2024-03-12 15:55:00,,,,,
2024-03-12 16:00:00,,,,,
2024-03-12 16:05:00,,,,,
2024-03-12 16:10:00,,,,,
2024-03-12 16:15:00,3.509999,3.515,3.509999,3.515,466.0
2024-03-12 16:20:00,3.505,3.505,3.5,3.5,1119.0
2024-03-12 16:25:00,3.5,3.5,3.49,3.49,5163.0
2024-03-12 16:30:00,3.5,3.5,3.5,3.5,
2024-03-13 08:00:00,3.484999,3.505,3.484999,3.505,
2024-03-13 08:05:00,,,,,
2024-03-13 08:10:00,3.5,3.5,3.5,3.5,400.0
2024-03-13 08:15:00,3.515,3.515,3.515,3.515,382.0
2024-03-13 08:20:00,3.529999,3.539999,3.529999,3.539999,2841.0
2024-03-13 08:25:00,,,,,
2024-03-13 08:30:00,3.525,3.525,3.519999,3.519999,300.0
2024-03-13 08:35:00,3.515,3.515,3.505,3.505,10504.0
2024-03-13 08:40:00,,,,,
2024-03-13 08:45:00,,,,,
2024-03-13 08:50:00,,,,,
2024-03-13 08:55:00,,,,,
2024-03-13 09:00:00,,,,,
2024-03-13 09:05:00,,,,,
2024-03-13 09:10:00,,,,,
2024-03-13 09:15:00,,,,,
2024-03-13 09:20:00,,,,,
2024-03-13 09:25:00,,,,,
2024-03-13 09:30:00,,,,,
2024-03-13 09:35:00,,,,,
2024-03-13 09:40:00,,,,,
2024-03-13 09:45:00,,,,,
2024-03-13 09:50:00,,,,,
2024-03-13 09:55:00,3.509999,3.509999,3.505,3.505,6049.0
2024-03-13 10:00:00,,,,,
2024-03-13 10:05:00,,,,,
2024-03-13 10:10:00,3.509999,3.509999,3.509999,3.509999,730.0
2024-03-13 10:15:00,,,,,
2024-03-13 10:20:00,,,,,
2024-03-13 10:25:00,,,,,
2024-03-13 10:30:00,,,,,
2024-03-13 10:35:00,,,,,
2024-03-13 10:40:00,3.509999,3.509999,3.509999,3.509999,300.0
2024-03-13 10:45:00,,,,,
2024-03-13 10:50:00,,,,,
2024-03-13 10:55:00,,,,,
2024-03-13 11:00:00,,,,,
2024-03-13 11:05:00,3.5,3.5,3.5,3.5,1126.0
2024-03-13 11:10:00,,,,,
2024-03-13 11:15:00,,,,,
2024-03-13 11:20:00,,,,,
2024-03-13 11:25:00,3.505,3.509999,3.505,3.509999,23350.0
2024-03-13 11:30:00,3.519999,3.519999,3.519999,3.519999,80.0
2024-03-13 11:35:00,,,,,
2024-03-13 11:40:00,,,,,
2024-03-13 11:45:00,3.529999,3.529999,3.529999,3.529999,181.0
2024-03-13 11:50:00,3.529999,3.529999,3.529999,3.529999,2000.0
2024-03-13 11:55:00,,,,,
2024-03-13 12:00:00,,,,,
2024-03-13 12:05:00,,,,,
2024-03-13 12:10:00,,,,,
2024-03-13 12:15:00,,,,,
2024-03-13 12:20:00,,,,,
2024-03-13 12:25:00,,,,,
2024-03-13 12:30:00,,,,,
2024-03-13 12:35:00,,,,,
2024-03-13 12:40:00,,,,,
2024-03-13 12:45:00,,,,,
2024-03-13 12:50:00,,,,,
2024-03-13 12:55:00,,,,,
2024-03-13 13:00:00,3.525,3.525,3.525,3.525,650.0
2024-03-13 13:05:00,3.515,3.515,3.515,3.515,20.0
2024-03-13 13:10:00,,,,,
2024-03-13 13:15:00,3.525,3.525,3.525,3.525,1286.0
2024-03-13 13:20:00,,,,,
2024-03-13 13:25:00,,,,,
2024-03-13 13:30:00,3.529999,3.529999,3.529999,3.529999,1785.0
2024-03-13 13:35:00,3.529999,3.529999,3.529999,3.529999,1500.0
2024-03-13 13:40:00,3.535,3.539999,3.529999,3.529999,5851.0
2024-03-13 13:45:00,3.539999,3.539999,3.535,3.539999,3732.0
2024-03-13 13:50:00,,,,,
2024-03-13 13:55:00,3.539999,3.555,3.539999,3.555,10328.0
2024-03-13 14:00:00,3.555,3.555,3.555,3.555,96.0
2024-03-13 14:05:00,,,,,
2024-03-13 14:10:00,,,,,
2024-03-13 14:15:00,,,,,
2024-03-13 14:20:00,,,,,
2024-03-13 14:25:00,,,,,
2024-03-13 14:30:00,,,,,
2024-03-13 14:35:00,,,,,
2024-03-13 14:40:00,,,,,
2024-03-13 14:45:00,,,,,
2024-03-13 14:50:00,,,,,
2024-03-13 14:55:00,3.559999,3.559999,3.559999,3.559999,1102.0
2024-03-13 15:00:00,,,,,
2024-03-13 15:05:00,,,,,
2024-03-13 15:10:00,3.549999,3.559999,3.545,3.559999,12248.0
2024-03-13 15:15:00,3.549999,3.559999,3.549999,3.559999,2200.0
2024-03-13 15:20:00,,,,,
2024-03-13 15:25:00,3.569999,3.569999,3.569999,3.569999,3.0
2024-03-13 15:30:00,,,,,
2024-03-13 15:35:00,,,,,
2024-03-13 15:40:00,,,,,
2024-03-13 15:45:00,3.559999,3.559999,3.559999,3.559999,75.0
2024-03-13 15:50:00,3.559999,3.559999,3.555,3.555,3272.0
2024-03-13 15:55:00,3.545,3.555,3.545,3.555,4814.0
2024-03-13 16:00:00,3.559999,3.565,3.559999,3.565,615.0
2024-03-13 16:05:00,,,,,
2024-03-13 16:10:00,3.555,3.559999,3.555,3.559999,965.0
2024-03-13 16:15:00,3.559999,3.569999,3.559999,3.565,3078.0
2024-03-13 16:20:00,,,,,
2024-03-13 16:25:00,3.569999,3.575,3.565,3.565,9074.0
2024-03-13 16:30:00,3.555,3.555,3.555,3.555,
2024-03-14 08:00:00,3.609999,3.65,3.605,3.64,
2024-03-14 08:05:00,3.654999,3.654999,3.65,3.65,5038.0
2024-03-14 08:10:00,3.644999,3.644999,3.64,3.64,2325.0
2024-03-14 08:15:00,3.625,3.625,3.625,3.625,2548.0
2024-03-14 08:20:00,,,,,
2024-03-14 08:25:00,3.619999,3.625,3.619999,3.625,4649.0
2024-03-14 08:30:00,3.625,3.625,3.615,3.615,4963.0
2024-03-14 08:35:00,3.625,3.63,3.625,3.63,1000.0
2024-03-14 08:40:00,3.615,3.615,3.599999,3.605,7823.0
2024-03-14 08:45:00,3.605,3.605,3.605,3.605,1072.0
2024-03-14 08:50:00,3.605,3.605,3.605,3.605,930.0
2024-03-14 08:55:00,3.605,3.605,3.605,3.605,9964.0
2024-03-14 09:00:00,3.599999,3.7,3.579999,3.615,158149.0
2024-03-14 09:05:00,3.605,3.605,3.589999,3.589999,3932.0
2024-03-14 09:10:00,,,,,
2024-03-14 09:15:00,,,,,
2024-03-14 09:20:00,,,,,
2024-03-14 09:25:00,3.595,3.595,3.569999,3.569999,8865.0
2024-03-14 09:30:00,3.565,3.569999,3.565,3.569999,6490.0
2024-03-14 09:35:00,,,,,
2024-03-14 09:40:00,,,,,
2024-03-14 09:45:00,,,,,
2024-03-14 09:50:00,,,,,
2024-03-14 09:55:00,,,,,
2024-03-14 10:00:00,3.575,3.575,3.575,3.575,640.0
2024-03-14 10:05:00,,,,,
2024-03-14 10:10:00,3.579999,3.579999,3.569999,3.569999,10500.0
2024-03-14 10:15:00,,,,,
2024-03-14 10:20:00,,,,,
2024-03-14 10:25:00,3.575,3.575,3.575,3.575,250.0
2024-03-14 10:30:00,3.575,3.575,3.575,3.575,100.0
2024-03-14 10:35:00,,,,,
2024-03-14 10:40:00,,,,,
2024-03-14 10:45:00,,,,,
2024-03-14 10:50:00,,,,,
2024-03-14 10:55:00,,,,,
2024-03-14 11:00:00,,,,,
2024-03-14 11:05:00,,,,,
2024-03-14 11:10:00,,,,,
2024-03-14 11:15:00,,,,,
2024-03-14 11:20:00,,,,,
2024-03-14 11:25:00,3.575,3.575,3.575,3.575,250.0
2024-03-14 11:30:00,,,,,
2024-03-14 11:35:00,3.569999,3.569999,3.559999,3.559999,586.0
2024-03-14 11:40:00,3.569999,3.599999,3.569999,3.599999,10209.0
2024-03-14 11:45:00,3.615,3.619999,3.615,3.619999,5795.0
2024-03-14 11:50:00,,,,,
2024-03-14 11:55:00,,,,,
2024-03-14 12:00:00,,,,,
2024-03-14 12:05:00,,,,,
2024-03-14 12:10:00,,,,,
2024-03-14 12:15:00,,,,,
2024-03-14 12:20:00,,,,,
2024-03-14 12:25:00,,,,,
2024-03-14 12:30:00,,,,,
