datetime,Open,High,Low,Close,Volume
2025-10-17 07:05:00,8.22,8.22,8.204999,8.215,2529
2025-10-17 07:10:00,8.199999,8.215,8.185,8.185,7957
2025-10-17 07:15:00,8.175,8.18,8.145,8.145,12262
2025-10-17 07:20:00,8.154999,8.154999,8.14,8.145,2715
2025-10-17 07:25:00,8.159999,8.159999,8.1575,8.1575,828
2025-10-17 07:30:00,8.159999,8.17,8.159999,8.17,11209
2025-10-17 07:35:00,8.159999,8.164999,8.159999,8.164999,235
2025-10-17 07:40:00,8.154999,8.154999,8.14,8.145,2061
2025-10-17 07:45:00,8.149999,8.164999,8.145,8.164999,15377
2025-10-17 07:50:00,8.164999,8.164999,8.159999,8.164999,1337
2025-10-17 07:55:00,8.159999,8.17,8.159999,8.17,8351
2025-10-17 08:00:00,8.154999,8.164999,8.149999,8.159999,6023
2025-10-17 08:05:00,8.149999,8.159999,8.142499,8.149999,6898
2025-10-17 08:10:00,8.145,8.185,8.145,8.167499,8199
2025-10-17 08:15:00,8.159999,8.159999,8.1575,8.1575,459
2025-10-17 08:20:00,8.159999,8.159999,8.154999,8.154999,4119
2025-10-17 08:25:00,8.154999,8.159999,8.154999,8.159999,1305
2025-10-17 08:35:00,8.175,8.175,8.154999,8.154999,1186
2025-10-17 08:40:00,8.145,8.145,8.145,8.145,1216
2025-10-17 08:55:00,8.14,8.14,8.13,8.135,7825
2025-10-17 09:00:00,8.135,8.135,8.125,8.125,2068
2025-10-17 09:05:00,8.119999,8.119999,8.1,8.104999,19158
2025-10-17 09:10:00,8.1,8.1,8.09,8.1,3919
2025-10-17 09:15:00,8.104999,8.109999,8.1,8.109999,6922
2025-10-17 09:20:00,8.1,8.1,8.079999,8.085,8027
2025-10-17 09:25:00,8.079999,8.085,8.069999,8.069999,16318
2025-10-17 09:30:00,8.085,8.09,8.074999,8.074999,10341
2025-10-17 09:35:00,8.079999,8.104999,8.079999,8.095,38441
2025-10-17 09:40:00,8.079999,8.079999,8.074999,8.079999,3866
2025-10-17 09:45:00,8.079999,8.119999,8.079999,8.114999,5091
2025-10-17 09:50:00,8.119999,8.125,8.119999,8.125,2748
2025-10-17 09:55:00,8.109999,8.109999,8.109999,8.109999,274
2025-10-17 10:00:00,8.104999,8.109999,8.09,8.109999,16902
2025-10-17 10:05:00,8.1,8.1,8.1,8.1,509
2025-10-17 10:15:00,8.09,8.09,8.09,8.09,472
2025-10-17 10:20:00,8.079999,8.079999,8.079999,8.079999,7000
2025-10-17 10:25:00,8.074999,8.074999,8.069999,8.074999,1068
2025-10-17 10:30:00,8.074999,8.079999,8.064999,8.064999,2917
2025-10-17 10:35:00,8.064999,8.064999,8.06,8.06,13061
2025-10-17 10:40:00,8.055,8.055,8.024999,8.024999,13412
2025-10-17 10:45:00,8.024999,8.039999,8.02,8.029999,17395
2025-10-17 10:50:00,8.029999,8.034999,8.029999,8.034999,5737
2025-10-17 10:55:00,8.039999,8.06,8.034999,8.039999,25678
2025-10-17 11:00:00,8.039999,8.039999,8.034999,8.039999,3341
2025-10-17 11:05:00,8.039999,8.06,8.034999,8.06,2313
2025-10-17 11:10:00,8.064999,8.069999,8.055,8.069999,11718
2025-10-17 11:15:00,8.069999,8.069999,8.06,8.069999,9401
2025-10-17 11:20:00,8.079999,8.104999,8.079999,8.085,27312
2025-10-17 11:25:00,8.095,8.1,8.09,8.1,9398
2025-10-17 11:30:00,8.09,8.095,8.085,8.09,881
2025-10-17 11:35:00,8.085,8.1,8.085,8.1,962
2025-10-17 11:40:00,8.109999,8.109999,8.109999,8.109999,8238
2025-10-17 11:45:00,8.109999,8.114999,8.109999,8.109999,3296
2025-10-17 11:50:00,8.119999,8.119999,8.119999,8.119999,888
2025-10-17 11:55:00,8.109999,8.109999,8.1,8.1,2628
2025-10-17 12:05:00,8.095,8.095,8.09,8.09,139
2025-10-17 12:20:00,8.09,8.095,8.085,8.095,5941
2025-10-17 12:25:00,8.09,8.095,8.09,8.09,2483
2025-10-17 12:30:00,8.095,8.095,8.087499,8.087499,1640
2025-10-17 12:35:00,8.095,8.119999,8.095,8.114999,4936
2025-10-17 12:40:00,8.109999,8.109999,8.074999,8.1,15914
2025-10-17 12:45:00,8.1,8.1,8.095,8.095,222
2025-10-17 12:50:00,8.09,8.09,8.09,8.09,2000
2025-10-17 12:55:00,8.09,8.09,8.085,8.085,55
2025-10-17 13:00:00,8.09,8.1,8.09,8.1,2221
2025-10-17 13:05:00,8.085,8.095,8.074999,8.09,8337
2025-10-17 13:10:00,8.085,8.085,8.085,8.085,16
2025-10-17 13:15:00,8.079999,8.09,8.079999,8.09,492
2025-10-17 13:20:00,8.09,8.109999,8.079999,8.109999,1901
2025-10-17 13:25:00,8.1,8.114999,8.09,8.114999,9387
2025-10-17 13:30:00,8.119999,8.135,8.119999,8.135,4983
2025-10-17 13:35:00,8.145,8.145,8.14,8.14,5776
2025-10-17 13:40:00,8.135,8.149999,8.13,8.13,8080
2025-10-17 13:45:00,8.13,8.145,8.119999,8.145,1439
2025-10-17 13:55:00,8.154999,8.159999,8.14,8.14,1123
2025-10-17 14:00:00,8.14,8.14,8.13,8.135,1647
2025-10-17 14:05:00,8.125,8.175,8.125,8.175,7555
2025-10-17 14:10:00,8.175,8.18,8.17,8.18,1683
2025-10-17 14:15:00,8.189999,8.194999,8.189999,8.194999,666
2025-10-17 14:20:00,8.194999,8.194999,8.185,8.185,2103
2025-10-17 14:25:00,8.194999,8.199999,8.194999,8.194999,1542
2025-10-17 14:30:00,8.189999,8.194999,8.18,8.18,1762
2025-10-17 14:35:00,8.164999,8.164999,8.164999,8.164999,18
2025-10-17 14:40:00,8.175,8.189999,8.175,8.189999,3999
2025-10-17 14:45:00,8.185,8.185,8.18,8.18,5000
2025-10-17 14:50:00,8.185,8.189999,8.18,8.189999,5559
2025-10-17 14:55:00,8.18,8.189999,8.18,8.189999,7328
2025-10-17 15:00:00,8.194999,8.204999,8.194999,8.204999,6868
2025-10-17 15:05:00,8.215,8.225,8.215,8.225,16218
2025-10-17 15:10:00,8.234999,8.239999,8.225,8.225,4408
2025-10-17 15:15:00,8.229999,8.229999,8.22,8.22,1500
2025-10-17 15:20:00,8.225,8.229999,8.225,8.229999,28412
2025-10-17 15:25:00,8.234999,8.234999,8.225,8.229999,9586
2025-10-20 07:05:00,8.279999,8.289999,8.27,8.27,8091
2025-10-20 07:10:00,8.289999,8.3,8.289999,8.289999,3254
2025-10-20 07:15:00,8.305,8.335,8.305,8.335,9129
2025-10-20 07:20:00,8.34,8.345,8.34,8.345,1136
2025-10-20 07:25:00,8.335,8.335,8.329999,8.329999,3017
2025-10-20 07:30:00,8.329999,8.34,8.324999,8.329999,2848
2025-10-20 07:35:00,8.324999,8.324999,8.324999,8.324999,520
2025-10-20 07:40:00,8.329999,8.335,8.274999,8.279999,4262
2025-10-20 07:45:00,8.279999,8.279999,8.27,8.27,2159
2025-10-20 07:50:00,8.279999,8.279999,8.265,8.265,1453
2025-10-20 07:55:00,8.27,8.274999,8.27,8.274999,1265
2025-10-20 08:00:00,8.284999,8.289999,8.284999,8.284999,2824
2025-10-20 08:05:00,8.284999,8.295,8.284999,8.295,1146
2025-10-20 08:10:00,8.305,8.305,8.295,8.3,2821
2025-10-20 08:15:00,8.289999,8.289999,8.279999,8.279999,345
2025-10-20 08:20:00,8.284999,8.284999,8.284999,8.284999,46
2025-10-20 08:30:00,8.289999,8.3,8.289999,8.3,5000
2025-10-20 08:35:00,8.284999,8.284999,8.279999,8.279999,1413
2025-10-20 08:40:00,8.274999,8.274999,8.239999,8.239999,9226
2025-10-20 08:45:00,8.244999,8.25,8.239999,8.239999,2857
2025-10-20 08:50:00,8.229999,8.239999,8.229999,8.239999,1205
2025-10-20 08:55:00,8.225,8.229999,8.225,8.229999,1215
2025-10-20 09:00:00,8.229999,8.234999,8.229999,8.234999,4062
2025-10-20 09:05:00,8.239999,8.239999,8.229999,8.234999,1617
2025-10-20 09:10:00,8.225,8.25,8.225,8.25,1825
2025-10-20 09:15:00,8.244999,8.26,8.244999,8.255,1347
2025-10-20 09:20:00,8.27,8.27,8.27,8.27,280
2025-10-20 09:30:00,8.26,8.26,8.255,8.255,213
2025-10-20 09:35:00,8.27,8.274999,8.27,8.274999,368
2025-10-20 09:45:00,8.27,8.284999,8.27,8.284999,1257
2025-10-20 09:50:00,8.27,8.27,8.26,8.26,2388
2025-10-20 09:55:00,8.274999,8.279999,8.274999,8.279999,1757
2025-10-20 10:00:00,8.314999,8.319999,8.3,8.3,1718
2025-10-20 10:05:00,8.3,8.3,8.3,8.3,210
2025-10-20 10:10:00,8.305,8.314999,8.305,8.314999,987
2025-10-20 10:15:00,8.319999,8.319999,8.31,8.314999,7470
2025-10-20 10:20:00,8.3,8.3,8.3,8.3,1000
2025-10-20 10:25:00,8.31,8.329999,8.31,8.319999,6094
2025-10-20 10:30:00,8.319999,8.34,8.319999,8.34,1184
2025-10-20 10:35:00,8.335,8.34,8.335,8.34,761
2025-10-20 10:45:00,8.34,8.354999,8.34,8.354999,3975
2025-10-20 10:50:00,8.354999,8.364999,8.354999,8.364999,2320
2025-10-20 10:55:00,8.369999,8.375,8.364999,8.364999,2721
2025-10-20 11:00:00,8.35,8.38,8.35,8.38,4571
2025-10-20 11:10:00,8.364999,8.364999,8.359999,8.359999,4702
2025-10-20 11:20:00,8.35,8.35,8.324999,8.335,4644
2025-10-20 11:25:00,8.34,8.354999,8.34,8.354999,3415
2025-10-20 11:30:00,8.34,8.34,8.34,8.34,1106
2025-10-20 11:40:00,8.329999,8.329999,8.329999,8.329999,869
2025-10-20 11:50:00,8.324999,8.34,8.324999,8.335,4017
2025-10-20 11:55:00,8.329999,8.329999,8.329999,8.329999,1063
2025-10-20 12:05:00,8.324999,8.324999,8.324999,8.324999,1155
2025-10-20 12:10:00,8.319999,8.319999,8.319999,8.319999,934
2025-10-20 12:15:00,8.314999,8.324999,8.314999,8.324999,1185
2025-10-20 12:20:00,8.319999,8.319999,8.319999,8.319999,1639
2025-10-20 12:30:00,8.319999,8.335,8.319999,8.335,4438
2025-10-20 12:35:00,8.324999,8.324999,8.314999,8.319999,5184
2025-10-20 12:40:00,8.319999,8.329999,8.319999,8.329999,370
2025-10-20 12:45:00,8.324999,8.324999,8.324999,8.324999,100
2025-10-20 12:50:00,8.329999,8.329999,8.324999,8.324999,4014
2025-10-20 13:00:00,8.335,8.34,8.335,8.34,650
2025-10-20 13:05:00,8.329999,8.329999,8.329999,8.329999,298
2025-10-20 13:10:00,8.324999,8.324999,8.324999,8.324999,92
2025-10-20 13:15:00,8.335,8.34,8.335,8.34,541
2025-10-20 13:20:00,8.345,8.354999,8.34,8.345,2612
2025-10-20 13:25:00,8.335,8.335,8.329999,8.335,2990
2025-10-20 13:30:00,8.335,8.35,8.335,8.345,997
2025-10-20 13:35:00,8.35,8.359999,8.35,8.359999,2639
2025-10-20 13:40:00,8.354999,8.364999,8.354999,8.364999,1158
2025-10-20 13:45:00,8.369999,8.369999,8.369999,8.369999,900
2025-10-20 13:50:00,8.364999,8.385,8.364999,8.385,3096
2025-10-20 13:55:00,8.38,8.38,8.364999,8.364999,1119
2025-10-20 14:00:00,8.369999,8.404999,8.369999,8.404999,12300
2025-10-20 14:05:00,8.404999,8.435,8.399999,8.435,4201
2025-10-20 14:15:00,8.425,8.444999,8.425,8.444999,8681
2025-10-20 14:20:00,8.439999,8.444999,8.439999,8.444999,2101
2025-10-20 14:25:00,8.435,8.444999,8.43,8.435,11622
2025-10-20 14:30:00,8.435,8.449999,8.43,8.435,11209
2025-10-20 14:35:00,8.425,8.43,8.425,8.425,1406
2025-10-20 14:45:00,8.43,8.43,8.42,8.42,4164
2025-10-20 14:50:00,8.425,8.439999,8.425,8.439999,1715
2025-10-20 14:55:00,8.444999,8.444999,8.439999,8.444999,967
2025-10-20 15:00:00,8.444999,8.449999,8.435,8.439999,10586
2025-10-20 15:10:00,8.449999,8.454999,8.435,8.449999,19183
2025-10-20 15:15:00,8.449999,8.46,8.444999,8.454999,8745
2025-10-20 15:20:00,8.46,8.475,8.449999,8.475,8230
2025-10-20 15:25:00,8.47,8.505,8.47,8.484999,6087
2025-10-21 07:05:00,8.484999,8.484999,8.454999,8.454999,22582
2025-10-21 07:10:00,8.449999,8.449999,8.444999,8.444999,434
2025-10-21 07:15:00,8.425,8.425,8.42,8.42,2551
2025-10-21 07:20:00,8.42,8.425,8.42,8.425,651
2025-10-21 07:25:00,8.409999,8.43,8.409999,8.42,1868
2025-10-21 07:30:00,8.414999,8.414999,8.414999,8.414999,61
2025-10-21 07:40:00,8.425,8.47,8.425,8.465,7805
2025-10-21 07:45:00,8.465,8.465,8.465,8.465,70
2025-10-21 07:50:00,8.47,8.489999,8.47,8.489999,114
2025-10-21 07:55:00,8.484999,8.484999,8.484999,8.484999,546
2025-10-21 08:00:00,8.465,8.484999,8.465,8.484999,18311
2025-10-21 08:05:00,8.5,8.515,8.5,8.5,6347
2025-10-21 08:10:00,8.505,8.505,8.505,8.505,24
2025-10-21 08:15:00,8.505,8.51,8.494999,8.494999,7831
2025-10-21 08:20:00,8.489999,8.489999,8.449999,8.46,6101
2025-10-21 08:25:00,8.46,8.46,8.444999,8.444999,21
2025-10-21 08:30:00,8.43,8.43,8.43,8.43,11
2025-10-21 08:35:00,8.435,8.435,8.435,8.435,13
2025-10-21 08:40:00,8.444999,8.454999,8.439999,8.454999,1489
2025-10-21 08:45:00,8.449999,8.449999,8.435,8.435,138
2025-10-21 08:50:00,8.444999,8.449999,8.435,8.435,1079
2025-10-21 08:55:00,8.42,8.435,8.42,8.435,512
2025-10-21 09:00:00,8.439999,8.449999,8.439999,8.449999,55
2025-10-21 09:05:00,8.439999,8.454999,8.439999,8.454999,410
2025-10-21 09:10:00,8.46,8.47,8.454999,8.465,1529
2025-10-21 09:15:00,8.439999,8.444999,8.439999,8.444999,2700
2025-10-21 09:20:00,8.43,8.43,8.43,8.43,154
2025-10-21 09:25:00,8.439999,8.449999,8.439999,8.449999,2411
2025-10-21 09:30:00,8.454999,8.454999,8.444999,8.444999,381
2025-10-21 09:35:00,8.454999,8.46,8.454999,8.454999,3117
2025-10-21 09:40:00,8.46,8.46,8.444999,8.444999,2422
2025-10-21 09:45:00,8.46,8.46,8.449999,8.449999,1124
2025-10-21 09:50:00,8.454999,8.454999,8.454999,8.454999,777
2025-10-21 09:55:00,8.444999,8.444999,8.444999,8.444999,13
2025-10-21 10:00:00,8.454999,8.465,8.454999,8.465,1372
2025-10-21 10:05:00,8.475,8.475,8.47,8.47,247
2025-10-21 10:10:00,8.465,8.465,8.449999,8.449999,303
2025-10-21 10:15:00,8.454999,8.465,8.454999,8.465,664
2025-10-21 10:20:00,8.465,8.465,8.465,8.465,13
2025-10-21 10:25:00,8.46,8.46,8.46,8.46,8
2025-10-21 10:30:00,8.47,8.47,8.465,8.465,234
2025-10-21 10:35:00,8.47,8.5,8.47,8.5,2956
2025-10-21 10:40:00,8.5,8.5,8.489999,8.489999,220
2025-10-21 10:45:00,8.5,8.524999,8.5,8.52,3535
2025-10-21 10:50:00,8.52,8.524999,8.52,8.524999,568
2025-10-21 10:55:00,8.539999,8.545,8.539999,8.545,1417
2025-10-21 11:00:00,8.545,8.569999,8.529999,8.539999,24523
2025-10-21 11:05:00,8.539999,8.555,8.534999,8.534999,6139
2025-10-21 11:10:00,8.534999,8.539999,8.534999,8.539999,3020
2025-10-21 11:15:00,8.539999,8.545,8.529999,8.529999,2522
2025-10-21 11:20:00,8.515,8.515,8.494999,8.494999,3680
2025-10-21 11:25:00,8.5,8.5,8.46,8.465,14144
2025-10-21 11:30:00,8.46,8.47,8.46,8.47,1604
2025-10-21 11:35:00,8.47,8.489999,8.47,8.489999,2359
2025-10-21 11:40:00,8.484999,8.494999,8.484999,8.489999,5084
2025-10-21 11:45:00,8.484999,8.489999,8.46,8.479999,3563
2025-10-21 11:50:00,8.47,8.47,8.47,8.47,1249
2025-10-21 11:55:00,8.47,8.47,8.465,8.465,1182
2025-10-21 12:00:00,8.465,8.47,8.465,8.47,993
2025-10-21 12:05:00,8.475,8.479999,8.47,8.475,838
2025-10-21 12:10:00,8.47,8.47,8.454999,8.454999,1594
2025-10-21 12:15:00,8.449999,8.465,8.449999,8.46,1027
2025-10-21 12:20:00,8.47,8.47,8.46,8.465,2341
2025-10-21 12:25:00,8.47,8.47,8.47,8.47,232
2025-10-21 12:30:00,8.47,8.47,8.47,8.47,696
2025-10-21 12:35:00,8.46,8.46,8.46,8.46,2407
2025-10-21 12:40:00,8.454999,8.46,8.454999,8.46,2457
2025-10-21 12:45:00,8.46,8.46,8.46,8.46,110
2025-10-21 12:50:00,8.449999,8.454999,8.449999,8.454999,466
2025-10-21 12:55:00,8.454999,8.465,8.454999,8.465,1228
2025-10-21 13:00:00,8.46,8.46,8.46,8.46,53
