datetime,Open,High,Low,Close,Volume
2025-04-14 07:00:00,23.549999,23.649999,23.549999,23.649999,
2025-04-14 07:05:00,,,,,
2025-04-14 07:10:00,,,,,
2025-04-14 07:15:00,,,,,
2025-04-14 07:20:00,,,,,
2025-04-14 07:25:00,23.799999,23.799999,23.799999,23.799999,500.0
2025-04-14 07:30:00,,,,,
2025-04-14 07:35:00,23.799999,23.799999,23.799999,23.799999,765.0
2025-04-14 07:40:00,,,,,
2025-04-14 07:45:00,,,,,
2025-04-14 07:50:00,,,,,
2025-04-14 07:55:00,,,,,
2025-04-14 08:00:00,,,,,
2025-04-14 08:05:00,23.95,24.049999,23.95,24.049999,1508.0
2025-04-14 08:10:00,24.049999,24.049999,24.049999,24.049999,191.0
2025-04-14 08:15:00,,,,,
2025-04-14 08:20:00,,,,,
2025-04-14 08:25:00,,,,,
2025-04-14 08:30:00,,,,,
2025-04-14 08:35:00,,,,,
2025-04-14 08:40:00,,,,,
2025-04-14 08:45:00,,,,,
2025-04-14 08:50:00,24.049999,24.049999,24.049999,24.049999,40.0
2025-04-14 08:55:00,,,,,
2025-04-14 09:00:00,24.049999,24.049999,24.049999,24.049999,68.0
2025-04-14 09:05:00,,,,,
2025-04-14 09:10:00,,,,,
2025-04-14 09:15:00,,,,,
2025-04-14 09:20:00,,,,,
2025-04-14 09:25:00,,,,,
2025-04-14 09:30:00,,,,,
2025-04-14 09:35:00,,,,,
2025-04-14 09:40:00,24.0,24.0,23.899999,23.899999,2404.0
2025-04-14 09:45:00,,,,,
2025-04-14 09:50:00,,,,,
2025-04-14 09:55:00,,,,,
2025-04-14 10:00:00,,,,,
2025-04-14 10:05:00,,,,,
2025-04-14 10:10:00,,,,,
2025-04-14 10:15:00,,,,,
2025-04-14 10:20:00,,,,,
2025-04-14 10:25:00,,,,,
2025-04-14 10:30:00,,,,,
2025-04-14 10:35:00,,,,,
2025-04-14 10:40:00,,,,,
2025-04-14 10:45:00,,,,,
2025-04-14 10:50:00,,,,,
2025-04-14 10:55:00,,,,,
2025-04-14 11:00:00,24.0,24.0,24.0,24.0,119.0
2025-04-14 11:05:00,,,,,
2025-04-14 11:10:00,,,,,
2025-04-14 11:15:00,,,,,
2025-04-14 11:20:00,,,,,
2025-04-14 11:25:00,,,,,
2025-04-14 11:30:00,,,,,
2025-04-14 11:35:00,,,,,
2025-04-14 11:40:00,,,,,
2025-04-14 11:45:00,,,,,
2025-04-14 11:50:00,,,,,
2025-04-14 11:55:00,,,,,
2025-04-14 12:00:00,,,,,
2025-04-14 12:05:00,,,,,
2025-04-14 12:10:00,,,,,
2025-04-14 12:15:00,24.0,24.0,24.0,24.0,505.0
2025-04-14 12:20:00,,,,,
2025-04-14 12:25:00,,,,,
2025-04-14 12:30:00,,,,,
2025-04-14 12:35:00,24.049999,24.049999,24.049999,24.049999,1464.0
2025-04-14 12:40:00,,,,,
2025-04-14 12:45:00,24.049999,24.049999,24.049999,24.049999,241.0
2025-04-14 12:50:00,,,,,
2025-04-14 12:55:00,,,,,
2025-04-14 13:00:00,,,,,
2025-04-14 13:05:00,,,,,
2025-04-14 13:10:00,,,,,
2025-04-14 13:15:00,,,,,
2025-04-14 13:20:00,,,,,
2025-04-14 13:25:00,,,,,
2025-04-14 13:30:00,,,,,
2025-04-14 13:35:00,24.0,24.0,24.0,24.0,1795.0
2025-04-14 13:40:00,,,,,
2025-04-14 13:45:00,,,,,
2025-04-14 13:50:00,,,,,
2025-04-14 13:55:00,,,,,
