datetime,Open,High,Low,Close,Volume
2024-08-12 07:00:00,6.719999,6.719999,6.719999,6.719999,100.0
2024-08-12 07:05:00,,,,,
2024-08-12 07:10:00,,,,,
2024-08-12 07:15:00,,,,,
2024-08-12 07:20:00,6.78,6.78,6.78,6.78,50.0
2024-08-12 07:25:00,,,,,
2024-08-12 07:30:00,,,,,
2024-08-12 07:35:00,,,,,
2024-08-12 07:40:00,,,,,
2024-08-12 07:45:00,,,,,
2024-08-12 07:50:00,,,,,
2024-08-12 07:55:00,,,,,
2024-08-12 08:00:00,,,,,
2024-08-12 08:05:00,6.76,6.76,6.76,6.76,160.0
2024-08-12 08:10:00,,,,,
2024-08-12 08:15:00,,,,,
2024-08-12 08:20:00,,,,,
2024-08-12 08:25:00,,,,,
2024-08-12 08:30:00,,,,,
2024-08-12 08:35:00,,,,,
2024-08-12 08:40:00,,,,,
2024-08-12 08:45:00,,,,,
2024-08-12 08:50:00,,,,,
2024-08-12 08:55:00,,,,,
2024-08-12 09:00:00,,,,,
2024-08-12 09:05:00,,,,,
2024-08-12 09:10:00,,,,,
2024-08-12 09:15:00,,,,,
2024-08-12 09:20:00,,,,,
2024-08-12 09:25:00,,,,,
2024-08-12 09:30:00,,,,,
2024-08-12 09:35:00,,,,,
2024-08-12 09:40:00,,,,,
2024-08-12 09:45:00,,,,,
2024-08-12 09:50:00,,,,,
2024-08-12 09:55:00,,,,,
2024-08-12 10:00:00,,,,,
2024-08-12 10:05:00,,,,,
2024-08-12 10:10:00,,,,,
2024-08-12 10:15:00,6.8,6.8,6.8,6.8,70.0
2024-08-12 10:20:00,6.8,6.8,6.8,6.8,393.0
2024-08-12 10:25:00,,,,,
2024-08-12 10:30:00,6.84,6.84,6.84,6.84,130.0
2024-08-12 10:35:00,,,,,
2024-08-12 10:40:00,,,,,
2024-08-12 10:45:00,,,,,
2024-08-12 10:50:00,,,,,
2024-08-12 10:55:00,,,,,
2024-08-12 11:00:00,,,,,
2024-08-12 11:05:00,,,,,
2024-08-12 11:10:00,,,,,
2024-08-12 11:15:00,,,,,
2024-08-12 11:20:00,,,,,
2024-08-12 11:25:00,,,,,
2024-08-12 11:30:00,,,,,
2024-08-12 11:35:00,,,,,
2024-08-12 11:40:00,,,,,
2024-08-12 11:45:00,,,,,
2024-08-12 11:50:00,,,,,
2024-08-12 11:55:00,,,,,
2024-08-12 12:00:00,,,,,
2024-08-12 12:05:00,,,,,
2024-08-12 12:10:00,,,,,
2024-08-12 12:15:00,,,,,
2024-08-12 12:20:00,,,,,
2024-08-12 12:25:00,,,,,
2024-08-12 12:30:00,,,,,
2024-08-12 12:35:00,,,,,
2024-08-12 12:40:00,,,,,
2024-08-12 12:45:00,,,,,
2024-08-12 12:50:00,,,,,
2024-08-12 12:55:00,,,,,
2024-08-12 13:00:00,,,,,
2024-08-12 13:05:00,,,,,
2024-08-12 13:10:00,,,,,
2024-08-12 13:15:00,,,,,
2024-08-12 13:20:00,6.84,6.84,6.84,6.84,176.0
2024-08-12 13:25:00,,,,,
2024-08-12 13:30:00,6.84,6.86,6.84,6.86,1969.0
2024-08-12 13:35:00,6.9,6.9,6.9,6.9,1947.0
2024-08-12 13:40:00,7.059999,7.079999,7.059999,7.079999,757.0
2024-08-12 13:45:00,,,,,
2024-08-12 13:50:00,,,,,
2024-08-12 13:55:00,,,,,
2024-08-12 14:00:00,,,,,
2024-08-12 14:05:00,,,,,
2024-08-12 14:10:00,,,,,
2024-08-12 14:15:00,7.059999,7.059999,7.059999,7.059999,2785.0
2024-08-12 14:20:00,,,,,
2024-08-12 14:25:00,,,,,
2024-08-12 14:30:00,,,,,
2024-08-12 14:35:00,,,,,
2024-08-12 14:40:00,,,,,
2024-08-12 14:45:00,,,,,
2024-08-12 14:50:00,,,,,
2024-08-12 14:55:00,,,,,
2024-08-12 15:00:00,,,,,
2024-08-12 15:05:00,,,,,
2024-08-12 15:10:00,,,,,
2024-08-12 15:15:00,7.159999,7.219999,7.159999,7.219999,648.0
2024-08-12 15:20:00,,,,,
2024-08-12 15:25:00,7.219999,7.3,7.219999,7.3,4099.0
2024-08-12 15:30:00,7.579999,7.579999,7.579999,7.579999,
2024-08-13 07:00:00,,,,,
2024-08-13 07:05:00,7.28,7.4,7.28,7.4,95.0
2024-08-13 07:10:00,,,,,
2024-08-13 07:15:00,7.199999,7.199999,7.199999,7.199999,56.0
2024-08-13 07:20:00,,,,,
2024-08-13 07:25:00,,,,,
2024-08-13 07:30:00,,,,,
2024-08-13 07:35:00,,,,,
2024-08-13 07:40:00,,,,,
2024-08-13 07:45:00,,,,,
2024-08-13 07:50:00,,,,,
2024-08-13 07:55:00,,,,,
2024-08-13 08:00:00,,,,,
2024-08-13 08:05:00,,,,,
2024-08-13 08:10:00,,,,,
2024-08-13 08:15:00,,,,,
2024-08-13 08:20:00,,,,,
2024-08-13 08:25:00,7.3,7.3,7.3,7.3,229.0
2024-08-13 08:30:00,,,,,
2024-08-13 08:35:00,,,,,
2024-08-13 08:40:00,,,,,
2024-08-13 08:45:00,7.3,7.3,7.3,7.3,100.0
2024-08-13 08:50:00,,,,,
2024-08-13 08:55:00,,,,,
2024-08-13 09:00:00,,,,,
2024-08-13 09:05:00,,,,,
2024-08-13 09:10:00,,,,,
2024-08-13 09:15:00,,,,,
2024-08-13 09:20:00,7.239999,7.3,7.239999,7.3,260.0
2024-08-13 09:25:00,,,,,
2024-08-13 09:30:00,,,,,
2024-08-13 09:35:00,,,,,
2024-08-13 09:40:00,,,,,
2024-08-13 09:45:00,,,,,
2024-08-13 09:50:00,,,,,
2024-08-13 09:55:00,,,,,
2024-08-13 10:00:00,,,,,
2024-08-13 10:05:00,7.3,7.3,7.3,7.3,140.0
2024-08-13 10:10:00,,,,,
2024-08-13 10:15:00,,,,,
2024-08-13 10:20:00,,,,,
2024-08-13 10:25:00,,,,,
2024-08-13 10:30:00,,,,,
2024-08-13 10:35:00,,,,,
2024-08-13 10:40:00,7.3,7.3,7.3,7.3,200.0
2024-08-13 10:45:00,,,,,
2024-08-13 10:50:00,,,,,
2024-08-13 10:55:00,,,,,
2024-08-13 11:00:00,,,,,
