datetime,Open,High,Low,Close,Volume
2023-03-09 08:00:00,10.149999,10.21,9.744999,9.755,
2023-03-09 08:05:00,9.755,9.765,9.614999,9.614999,94234.0
2023-03-09 08:10:00,9.71,9.71,9.71,9.71,2463.0
2023-03-09 08:15:00,9.729999,9.869999,9.619999,9.8,41286.0
2023-03-09 08:20:00,9.81,9.909999,9.795,9.899999,18771.0
2023-03-09 08:25:00,9.904999,9.939999,9.869999,9.904999,6004.0
2023-03-09 08:30:00,9.92,10.01,9.92,9.989999,21411.0
2023-03-09 08:35:00,9.994999,10.06,9.97,10.06,15644.0
2023-03-09 08:40:00,10.06,10.109999,10.0,10.029999,12907.0
2023-03-09 08:45:00,10.01,10.079999,9.965,10.0,8499.0
2023-03-09 08:50:00,10.06,10.1,10.02,10.02,5649.0
2023-03-09 08:55:00,9.97,9.97,9.965,9.965,5603.0
2023-03-09 09:00:00,,,,,
2023-03-09 09:05:00,9.944999,9.949999,9.939999,9.949999,4194.0
2023-03-09 09:10:00,9.925,9.925,9.925,9.925,250.0
2023-03-09 09:15:00,9.994999,10.029999,9.994999,10.029999,6452.0
2023-03-09 09:20:00,10.039999,10.079999,10.01,10.079999,2999.0
2023-03-09 09:25:00,,,,,
2023-03-09 09:30:00,10.039999,10.039999,9.899999,9.899999,27302.0
2023-03-09 09:35:00,9.885,9.944999,9.885,9.899999,4083.0
2023-03-09 09:40:00,9.904999,9.909999,9.8,9.895,41744.0
2023-03-09 09:45:00,9.899999,9.899999,9.814999,9.84,17158.0
2023-03-09 09:50:00,9.84,9.85,9.84,9.85,24112.0
2023-03-09 09:55:00,9.859999,9.859999,9.859999,9.859999,550.0
2023-03-09 10:00:00,9.824999,9.829999,9.789999,9.824999,5338.0
2023-03-09 10:05:00,9.85,9.869999,9.824999,9.824999,10938.0
2023-03-09 10:10:00,9.829999,9.899999,9.814999,9.88,36671.0
2023-03-09 10:15:00,9.88,9.92,9.88,9.895,17447.0
2023-03-09 10:20:00,9.869999,9.909999,9.85,9.909999,10093.0
2023-03-09 10:25:00,9.909999,9.909999,9.904999,9.909999,7657.0
2023-03-09 10:30:00,9.89,9.89,9.89,9.89,264.0
2023-03-09 10:35:00,9.904999,9.93,9.904999,9.93,6808.0
2023-03-09 10:40:00,9.944999,9.984999,9.944999,9.984999,3309.0
2023-03-09 10:45:00,9.965,9.965,9.965,9.965,595.0
2023-03-09 10:50:00,9.949999,9.949999,9.949999,9.949999,250.0
