datetime,Open,High,Low,Close,Volume
2022-10-13 07:00:00,6.085,6.099999,6.07,6.098999,
2022-10-13 07:05:00,6.092,6.092999,6.073999,6.078999,38831.0
2022-10-13 07:10:00,6.077,6.098999,6.074999,6.094999,24472.0
2022-10-13 07:15:00,6.097,6.122,6.097,6.122,19988.0
2022-10-13 07:20:00,6.132999,6.133999,6.07,6.096,89079.0
2022-10-13 07:25:00,6.098,6.102,6.085,6.092,20273.0
2022-10-13 07:30:00,6.085,6.091,6.072999,6.09,11281.0
2022-10-13 07:35:00,6.080999,6.09,6.067999,6.076,55443.0
2022-10-13 07:40:00,6.077,6.085999,6.072999,6.085999,10775.0
2022-10-13 07:45:00,6.084,6.084,6.038,6.046999,74069.0
2022-10-13 07:50:00,6.039,6.071,6.039,6.071,35329.0
2022-10-13 07:55:00,6.080999,6.092,6.072999,6.091,9968.0
2022-10-13 08:00:00,6.092999,6.092999,6.074999,6.074999,
2022-10-13 08:05:00,6.083,6.089,6.079999,6.079999,460391.0
2022-10-13 08:10:00,6.083,6.085999,6.078,6.078,5600.0
2022-10-13 08:15:00,6.077,6.079999,6.060999,6.065,30065.0
2022-10-13 08:20:00,6.065,6.076,6.065,6.076,3824.0
2022-10-13 08:25:00,6.079999,6.094999,6.078999,6.094999,13054.0
2022-10-13 08:30:00,6.092999,6.097,6.078,6.078,15754.0
2022-10-13 08:35:00,6.078,6.089,6.078,6.085999,5497.0
2022-10-13 08:40:00,6.086999,6.097,6.086999,6.094999,1104.0
2022-10-13 08:45:00,6.094999,6.094999,6.089,6.092999,3658.0
2022-10-13 08:50:00,6.093999,6.099999,6.092999,6.092999,21657.0
2022-10-13 08:55:00,6.092999,6.093999,6.084,6.084,4896.0
2022-10-13 09:00:00,6.079999,6.084,6.079999,6.080999,4063.0
2022-10-13 09:05:00,6.083,6.085999,6.079999,6.080999,17962.0
2022-10-13 09:10:00,6.081999,6.096,6.079999,6.093999,12783.0
2022-10-13 09:15:00,6.094999,6.094999,6.077,6.085999,11270.0
2022-10-13 09:20:00,6.087999,6.091,6.080999,6.085999,12451.0
2022-10-13 09:25:00,6.087999,6.098,6.085,6.091,5158.0
2022-10-13 09:30:00,6.09,6.11,6.09,6.104,26807.0
2022-10-13 09:35:00,6.103,6.119999,6.098,6.119999,41018.0
2022-10-13 09:40:00,6.122,6.122,6.104,6.106999,68724.0
2022-10-13 09:45:00,6.104,6.114999,6.098999,6.111999,4870.0
2022-10-13 09:50:00,6.109,6.131999,6.109,6.125999,43196.0
2022-10-13 09:55:00,6.122,6.124,6.118,6.124,
2022-10-13 10:00:00,6.127999,6.127999,6.119999,6.119999,865127.0
2022-10-13 10:05:00,6.120999,6.120999,6.116,6.117,14505.0
2022-10-13 10:10:00,6.117,6.125999,6.117,6.124,26860.0
2022-10-13 10:15:00,6.123,6.138,6.123,6.137,37622.0
2022-10-13 10:20:00,6.136,6.146999,6.136,6.139999,14937.0
2022-10-13 10:25:00,6.139999,6.143,6.138,6.139999,34293.0
2022-10-13 10:30:00,6.138,6.19,6.138,6.19,174428.0
2022-10-13 10:35:00,6.193999,6.217,6.193999,6.21,202126.0
2022-10-13 10:40:00,6.214,6.227,6.209,6.219999,64300.0
2022-10-13 10:45:00,6.221,6.243,6.219999,6.242,72737.0
2022-10-13 10:50:00,6.242,6.261,6.237999,6.252999,136490.0
2022-10-13 10:55:00,6.255,6.267,6.252999,6.261,100403.0
2022-10-13 11:00:00,6.254,6.271999,6.252999,6.269999,85509.0
2022-10-13 11:05:00,6.271999,6.304999,6.269999,6.282999,257625.0
2022-10-13 11:10:00,6.281,6.296,6.28,6.296,
2022-10-13 11:15:00,6.295,6.309999,6.287,6.296,2242270.0
2022-10-13 11:20:00,6.294,6.397999,6.290999,6.392,902977.0
2022-10-13 11:25:00,6.390999,6.394999,6.355,6.357999,162427.0
2022-10-13 11:30:00,6.357999,6.399,6.357999,6.397999,113325.0
2022-10-13 11:35:00,6.396999,6.409999,6.385,6.409999,197227.0
2022-10-13 11:40:00,6.415999,6.426,6.394999,6.394999,111317.0
2022-10-13 11:45:00,6.390999,6.390999,6.337999,6.368,266937.0
2022-10-13 11:50:00,6.364999,6.374,6.352,6.369999,124701.0
2022-10-13 11:55:00,6.368999,6.381999,6.302,6.369999,364687.0
2022-10-13 12:00:00,6.367,6.392,6.366,6.387,94176.0
2022-10-13 12:05:00,6.392,6.42,6.392,6.413,132200.0
2022-10-13 12:10:00,6.414,6.419,6.405,6.413,67230.0
2022-10-13 12:15:00,6.412,6.416999,6.392,6.402999,58139.0
2022-10-13 12:20:00,6.401999,6.401999,6.367,6.372,87309.0
2022-10-13 12:25:00,6.370999,6.373,6.311999,6.315999,163376.0
2022-10-13 12:30:00,6.303999,6.304999,6.208,6.224999,338360.0
2022-10-13 12:35:00,6.223,6.264999,6.218999,6.239999,116315.0
2022-10-13 12:40:00,6.241,6.258999,6.236999,6.238999,50923.0
2022-10-13 12:45:00,6.236999,6.265999,6.234,6.257999,36246.0
2022-10-13 12:50:00,6.255,6.257999,6.239999,6.254,87741.0
2022-10-13 12:55:00,6.251999,6.277999,6.250999,6.277999,42974.0
2022-10-13 13:00:00,6.282,6.301,6.271999,6.283999,72100.0
2022-10-13 13:05:00,6.282999,6.289,6.265999,6.288,32353.0
2022-10-13 13:10:00,6.291999,6.296999,6.287,6.296,24473.0
2022-10-13 13:15:00,6.294,6.301,6.254,6.255,41590.0
