datetime,Open,High,Low,Close,Volume
2024-04-15 07:00:00,3.43,3.43,3.43,3.43,
2024-04-15 07:05:00,,,,,
2024-04-15 07:10:00,3.42,3.42,3.404999,3.41,5442.0
2024-04-15 07:15:00,3.424999,3.43,3.41,3.424999,3534.0
2024-04-15 07:20:00,3.44,3.44,3.44,3.44,523.0
2024-04-15 07:25:00,3.45,3.45,3.45,3.45,4746.0
2024-04-15 07:30:00,3.434999,3.434999,3.434999,3.434999,1045.0
2024-04-15 07:35:00,,,,,
2024-04-15 07:40:00,,,,,
2024-04-15 07:45:00,,,,,
2024-04-15 07:50:00,3.444999,3.454999,3.444999,3.454999,5084.0
2024-04-15 07:55:00,,,,,
2024-04-15 08:00:00,3.454999,3.454999,3.444999,3.444999,152.0
2024-04-15 08:05:00,3.44,3.44,3.44,3.44,343.0
2024-04-15 08:10:00,,,,,
2024-04-15 08:15:00,,,,,
2024-04-15 08:20:00,3.454999,3.454999,3.444999,3.444999,542.0
2024-04-15 08:25:00,,,,,
2024-04-15 08:30:00,,,,,
2024-04-15 08:35:00,3.45,3.464999,3.45,3.464999,6000.0
2024-04-15 08:40:00,,,,,
2024-04-15 08:45:00,,,,,
2024-04-15 08:50:00,3.45,3.45,3.444999,3.444999,1423.0
2024-04-15 08:55:00,,,,,
2024-04-15 09:00:00,,,,,
2024-04-15 09:05:00,,,,,
2024-04-15 09:10:00,3.444999,3.444999,3.44,3.44,455.0
2024-04-15 09:15:00,,,,,
2024-04-15 09:20:00,,,,,
2024-04-15 09:25:00,,,,,
2024-04-15 09:30:00,3.45,3.45,3.434999,3.434999,874.0
2024-04-15 09:35:00,,,,,
2024-04-15 09:40:00,,,,,
2024-04-15 09:45:00,,,,,
2024-04-15 09:50:00,,,,,
2024-04-15 09:55:00,,,,,
2024-04-15 10:00:00,,,,,
2024-04-15 10:05:00,,,,,
2024-04-15 10:10:00,,,,,
2024-04-15 10:15:00,,,,,
2024-04-15 10:20:00,3.434999,3.444999,3.434999,3.434999,3449.0
2024-04-15 10:25:00,,,,,
2024-04-15 10:30:00,3.43,3.43,3.43,3.43,30.0
2024-04-15 10:35:00,3.43,3.43,3.424999,3.424999,1545.0
2024-04-15 10:40:00,,,,,
2024-04-15 10:45:00,,,,,
2024-04-15 10:50:00,,,,,
2024-04-15 10:55:00,,,,,
2024-04-15 11:00:00,3.434999,3.434999,3.434999,3.434999,1969.0
2024-04-15 11:05:00,,,,,
2024-04-15 11:10:00,,,,,
2024-04-15 11:15:00,3.434999,3.434999,3.43,3.434999,428.0
2024-04-15 11:20:00,3.44,3.44,3.44,3.44,18.0
2024-04-15 11:25:00,,,,,
2024-04-15 11:30:00,,,,,
2024-04-15 11:35:00,3.44,3.44,3.44,3.44,1067.0
2024-04-15 11:40:00,,,,,
2024-04-15 11:45:00,3.44,3.44,3.44,3.44,300.0
2024-04-15 11:50:00,,,,,
2024-04-15 11:55:00,,,,,
2024-04-15 12:00:00,3.444999,3.444999,3.444999,3.444999,365.0
2024-04-15 12:05:00,,,,,
2024-04-15 12:10:00,,,,,
2024-04-15 12:15:00,,,,,
2024-04-15 12:20:00,,,,,
2024-04-15 12:25:00,,,,,
2024-04-15 12:30:00,3.454999,3.454999,3.454999,3.454999,348.0
2024-04-15 12:35:00,,,,,
2024-04-15 12:40:00,,,,,
2024-04-15 12:45:00,,,,,
2024-04-15 12:50:00,,,,,
2024-04-15 12:55:00,3.454999,3.454999,3.454999,3.454999,348.0
2024-04-15 13:00:00,,,,,
2024-04-15 13:05:00,,,,,
2024-04-15 13:10:00,,,,,
2024-04-15 13:15:00,,,,,
2024-04-15 13:20:00,3.454999,3.454999,3.454999,3.454999,624.0
2024-04-15 13:25:00,3.45,3.45,3.45,3.45,1053.0
2024-04-15 13:30:00,3.444999,3.444999,3.444999,3.444999,650.0
2024-04-15 13:35:00,,,,,
2024-04-15 13:40:00,,,,,
2024-04-15 13:45:00,,,,,
2024-04-15 13:50:00,,,,,
2024-04-15 13:55:00,,,,,
2024-04-15 14:00:00,,,,,
2024-04-15 14:05:00,3.434999,3.434999,3.424999,3.43,2991.0
2024-04-15 14:10:00,3.424999,3.424999,3.424999,3.424999,93.0
2024-04-15 14:15:00,,,,,
2024-04-15 14:20:00,3.43,3.43,3.42,3.424999,2288.0
2024-04-15 14:25:00,3.424999,3.424999,3.424999,3.424999,137.0
2024-04-15 14:30:00,,,,,
2024-04-15 14:35:00,3.43,3.434999,3.424999,3.424999,13100.0
2024-04-15 14:40:00,3.43,3.43,3.43,3.43,200.0
2024-04-15 14:45:00,,,,,
2024-04-15 14:50:00,,,,,
2024-04-15 14:55:00,3.42,3.42,3.42,3.42,557.0
2024-04-15 15:00:00,3.42,3.43,3.414999,3.43,9992.0
2024-04-15 15:05:00,,,,,
2024-04-15 15:10:00,,,,,
2024-04-15 15:15:00,3.434999,3.434999,3.43,3.43,5049.0
2024-04-15 15:20:00,3.434999,3.434999,3.42,3.42,26394.0
2024-04-15 15:25:00,3.424999,3.43,3.424999,3.43,5384.0
2024-04-15 15:30:00,3.44,3.44,3.44,3.44,
2024-04-16 07:00:00,3.43,3.43,3.4,3.4,
2024-04-16 07:05:00,3.4,3.4,3.39,3.39,1595.0
2024-04-16 07:10:00,,,,,
2024-04-16 07:15:00,,,,,
2024-04-16 07:20:00,,,,,
2024-04-16 07:25:00,,,,,
2024-04-16 07:30:00,,,,,
2024-04-16 07:35:00,,,,,
2024-04-16 07:40:00,3.4,3.4,3.39,3.39,1059.0
2024-04-16 07:45:00,,,,,
2024-04-16 07:50:00,,,,,
2024-04-16 07:55:00,,,,,
2024-04-16 08:00:00,,,,,
2024-04-16 08:05:00,3.39,3.39,3.39,3.39,1546.0
2024-04-16 08:10:00,3.384999,3.384999,3.384999,3.384999,5095.0
2024-04-16 08:15:00,3.39,3.39,3.39,3.39,2862.0
2024-04-16 08:20:00,,,,,
2024-04-16 08:25:00,3.4,3.404999,3.384999,3.384999,20057.0
2024-04-16 08:30:00,,,,,
2024-04-16 08:35:00,,,,,
2024-04-16 08:40:00,3.38,3.38,3.369999,3.369999,5000.0
2024-04-16 08:45:00,3.369999,3.38,3.369999,3.38,838.0
2024-04-16 08:50:00,3.38,3.38,3.38,3.38,2261.0
2024-04-16 08:55:00,3.38,3.384999,3.38,3.384999,3832.0
2024-04-16 09:00:00,,,,,
2024-04-16 09:05:00,3.394999,3.394999,3.394999,3.394999,5000.0
2024-04-16 09:10:00,,,,,
2024-04-16 09:15:00,,,,,
2024-04-16 09:20:00,,,,,
2024-04-16 09:25:00,,,,,
2024-04-16 09:30:00,3.394999,3.4,3.394999,3.4,11177.0
2024-04-16 09:35:00,3.39,3.39,3.39,3.39,1000.0
2024-04-16 09:40:00,,,,,
2024-04-16 09:45:00,,,,,
2024-04-16 09:50:00,3.4,3.4,3.4,3.4,2865.0
2024-04-16 09:55:00,,,,,
2024-04-16 10:00:00,,,,,
2024-04-16 10:05:00,,,,,
2024-04-16 10:10:00,,,,,
2024-04-16 10:15:00,,,,,
2024-04-16 10:20:00,3.4,3.4,3.4,3.4,350.0
2024-04-16 10:25:00,,,,,
2024-04-16 10:30:00,3.4,3.4,3.4,3.4,400.0
2024-04-16 10:35:00,,,,,
2024-04-16 10:40:00,,,,,
2024-04-16 10:45:00,,,,,
2024-04-16 10:50:00,3.4,3.4,3.4,3.4,1490.0
2024-04-16 10:55:00,,,,,
2024-04-16 11:00:00,,,,,
2024-04-16 11:05:00,,,,,
2024-04-16 11:10:00,3.4,3.4,3.4,3.4,1048.0
2024-04-16 11:15:00,,,,,
2024-04-16 11:20:00,,,,,
2024-04-16 11:25:00,3.41,3.41,3.41,3.41,30.0
2024-04-16 11:30:00,,,,,
2024-04-16 11:35:00,,,,,
2024-04-16 11:40:00,,,,,
2024-04-16 11:45:00,,,,,
2024-04-16 11:50:00,,,,,
2024-04-16 11:55:00,3.41,3.41,3.41,3.41,3334.0
2024-04-16 12:00:00,,,,,
2024-04-16 12:05:00,,,,,
2024-04-16 12:10:00,,,,,
2024-04-16 12:15:00,,,,,
2024-04-16 12:20:00,,,,,
2024-04-16 12:25:00,,,,,
2024-04-16 12:30:00,,,,,
2024-04-16 12:35:00,,,,,
2024-04-16 12:40:00,3.41,3.41,3.41,3.41,19.0
2024-04-16 12:45:00,,,,,
2024-04-16 12:50:00,,,,,
2024-04-16 12:55:00,3.41,3.41,3.404999,3.404999,956.0
2024-04-16 13:00:00,,,,,
2024-04-16 13:05:00,3.404999,3.404999,3.404999,3.404999,285.0
2024-04-16 13:10:00,3.404999,3.404999,3.404999,3.404999,27.0
2024-04-16 13:15:00,3.404999,3.404999,3.404999,3.404999,43.0
