datetime,Open,High,Low,Close,Volume
2024-04-19 07:00:00,5.949999,5.949999,5.949999,5.949999,2468.0
2024-04-19 07:05:00,,,,,
2024-04-19 07:10:00,,,,,
2024-04-19 07:15:00,,,,,
2024-04-19 07:20:00,,,,,
2024-04-19 07:25:00,,,,,
2024-04-19 07:30:00,,,,,
2024-04-19 07:35:00,,,,,
2024-04-19 07:40:00,,,,,
2024-04-19 07:45:00,,,,,
2024-04-19 07:50:00,,,,,
2024-04-19 07:55:00,,,,,
2024-04-19 08:00:00,5.949999,5.949999,5.949999,5.949999,1200.0
2024-04-19 08:05:00,,,,,
2024-04-19 08:10:00,,,,,
2024-04-19 08:15:00,,,,,
2024-04-19 08:20:00,,,,,
2024-04-19 08:25:00,,,,,
2024-04-19 08:30:00,,,,,
2024-04-19 08:35:00,,,,,
2024-04-19 08:40:00,5.949999,5.949999,5.949999,5.949999,550.0
2024-04-19 08:45:00,,,,,
2024-04-19 08:50:00,,,,,
2024-04-19 08:55:00,5.949999,5.949999,5.949999,5.949999,1500.0
2024-04-19 09:00:00,5.949999,5.949999,5.949999,5.949999,1750.0
2024-04-19 09:05:00,5.8,5.9,5.8,5.8,300.0
2024-04-19 09:10:00,,,,,
2024-04-19 09:15:00,,,,,
2024-04-19 09:20:00,,,,,
2024-04-19 09:25:00,,,,,
2024-04-19 09:30:00,,,,,
2024-04-19 09:35:00,,,,,
2024-04-19 09:40:00,,,,,
2024-04-19 09:45:00,,,,,
2024-04-19 09:50:00,,,,,
2024-04-19 09:55:00,,,,,
2024-04-19 10:00:00,,,,,
2024-04-19 10:05:00,,,,,
2024-04-19 10:10:00,,,,,
2024-04-19 10:15:00,,,,,
2024-04-19 10:20:00,,,,,
2024-04-19 10:25:00,,,,,
2024-04-19 10:30:00,,,,,
2024-04-19 10:35:00,,,,,
2024-04-19 10:40:00,,,,,
2024-04-19 10:45:00,,,,,
2024-04-19 10:50:00,,,,,
2024-04-19 10:55:00,,,,,
2024-04-19 11:00:00,,,,,
2024-04-19 11:05:00,,,,,
2024-04-19 11:10:00,,,,,
2024-04-19 11:15:00,,,,,
2024-04-19 11:20:00,,,,,
2024-04-19 11:25:00,,,,,
2024-04-19 11:30:00,,,,,
2024-04-19 11:35:00,,,,,
2024-04-19 11:40:00,,,,,
2024-04-19 11:45:00,,,,,
2024-04-19 11:50:00,,,,,
2024-04-19 11:55:00,,,,,
2024-04-19 12:00:00,,,,,
2024-04-19 12:05:00,,,,,
2024-04-19 12:10:00,,,,,
2024-04-19 12:15:00,,,,,
2024-04-19 12:20:00,,,,,
2024-04-19 12:25:00,,,,,
2024-04-19 12:30:00,,,,,
2024-04-19 12:35:00,,,,,
2024-04-19 12:40:00,,,,,
2024-04-19 12:45:00,,,,,
2024-04-19 12:50:00,,,,,
2024-04-19 12:55:00,,,,,
2024-04-19 13:00:00,,,,,
2024-04-19 13:05:00,,,,,
2024-04-19 13:10:00,,,,,
2024-04-19 13:15:00,,,,,
2024-04-19 13:20:00,,,,,
2024-04-19 13:25:00,,,,,
2024-04-19 13:30:00,,,,,
2024-04-19 13:35:00,,,,,
2024-04-19 13:40:00,,,,,
2024-04-19 13:45:00,,,,,
2024-04-19 13:50:00,,,,,
2024-04-19 13:55:00,,,,,
2024-04-19 14:00:00,,,,,
2024-04-19 14:05:00,,,,,
2024-04-19 14:10:00,,,,,
2024-04-19 14:15:00,,,,,
2024-04-19 14:20:00,,,,,
2024-04-19 14:25:00,5.849999,5.849999,5.8,5.8,750.0
2024-04-19 14:30:00,,,,,
2024-04-19 14:35:00,,,,,
2024-04-19 14:40:00,,,,,
2024-04-19 14:45:00,,,,,
2024-04-19 14:50:00,,,,,
2024-04-19 14:55:00,,,,,
2024-04-19 15:00:00,,,,,
2024-04-19 15:05:00,,,,,
2024-04-19 15:10:00,,,,,
2024-04-19 15:15:00,,,,,
2024-04-19 15:20:00,,,,,
2024-04-19 15:25:00,,,,,
2024-04-19 15:30:00,5.949999,5.949999,5.949999,5.949999,
2024-04-22 07:00:00,,,,,
2024-04-22 07:05:00,,,,,
2024-04-22 07:10:00,,,,,
2024-04-22 07:15:00,,,,,
2024-04-22 07:20:00,,,,,
2024-04-22 07:25:00,,,,,
2024-04-22 07:30:00,,,,,
2024-04-22 07:35:00,,,,,
2024-04-22 07:40:00,,,,,
2024-04-22 07:45:00,,,,,
2024-04-22 07:50:00,,,,,
2024-04-22 07:55:00,,,,,
2024-04-22 08:00:00,,,,,
2024-04-22 08:05:00,,,,,
2024-04-22 08:10:00,,,,,
