datetime,Open,High,Low,Close,Volume
2024-09-30 07:00:00,1.598,1.598,1.598,1.598,
2024-09-30 07:05:00,1.598,1.598,1.598,1.598,237.0
2024-09-30 07:10:00,,,,,
2024-09-30 07:15:00,,,,,
2024-09-30 07:20:00,,,,,
2024-09-30 07:25:00,,,,,
2024-09-30 07:30:00,,,,,
2024-09-30 07:35:00,,,,,
2024-09-30 07:40:00,1.6,1.6,1.6,1.6,6759.0
2024-09-30 07:45:00,,,,,
2024-09-30 07:50:00,,,,,
2024-09-30 07:55:00,,,,,
2024-09-30 08:00:00,1.6,1.6,1.6,1.6,1856.0
2024-09-30 08:05:00,,,,,
2024-09-30 08:10:00,,,,,
2024-09-30 08:15:00,1.6,1.6,1.6,1.6,1000.0
2024-09-30 08:20:00,,,,,
2024-09-30 08:25:00,,,,,
2024-09-30 08:30:00,,,,,
2024-09-30 08:35:00,,,,,
2024-09-30 08:40:00,,,,,
2024-09-30 08:45:00,,,,,
2024-09-30 08:50:00,,,,,
2024-09-30 08:55:00,,,,,
2024-09-30 09:00:00,,,,,
2024-09-30 09:05:00,,,,,
2024-09-30 09:10:00,,,,,
2024-09-30 09:15:00,,,,,
2024-09-30 09:20:00,,,,,
2024-09-30 09:25:00,,,,,
2024-09-30 09:30:00,,,,,
2024-09-30 09:35:00,,,,,
2024-09-30 09:40:00,1.6,1.6,1.6,1.6,12000.0
2024-09-30 09:45:00,,,,,
2024-09-30 09:50:00,,,,,
2024-09-30 09:55:00,,,,,
2024-09-30 10:00:00,,,,,
2024-09-30 10:05:00,,,,,
2024-09-30 10:10:00,,,,,
2024-09-30 10:15:00,,,,,
2024-09-30 10:20:00,,,,,
2024-09-30 10:25:00,,,,,
2024-09-30 10:30:00,1.6,1.6,1.6,1.6,12505.0
2024-09-30 10:35:00,1.6,1.6,1.6,1.6,4883.0
2024-09-30 10:40:00,,,,,
2024-09-30 10:45:00,,,,,
2024-09-30 10:50:00,,,,,
2024-09-30 10:55:00,,,,,
2024-09-30 11:00:00,,,,,
2024-09-30 11:05:00,,,,,
2024-09-30 11:10:00,,,,,
2024-09-30 11:15:00,,,,,
2024-09-30 11:20:00,,,,,
2024-09-30 11:25:00,,,,,
2024-09-30 11:30:00,,,,,
2024-09-30 11:35:00,,,,,
2024-09-30 11:40:00,,,,,
2024-09-30 11:45:00,,,,,
2024-09-30 11:50:00,,,,,
2024-09-30 11:55:00,,,,,
2024-09-30 12:00:00,,,,,
2024-09-30 12:05:00,,,,,
2024-09-30 12:10:00,,,,,
2024-09-30 12:15:00,,,,,
2024-09-30 12:20:00,,,,,
2024-09-30 12:25:00,,,,,
2024-09-30 12:30:00,,,,,
2024-09-30 12:35:00,,,,,
2024-09-30 12:40:00,,,,,
2024-09-30 12:45:00,1.601999,1.601999,1.601999,1.601999,367.0
2024-09-30 12:50:00,,,,,
2024-09-30 12:55:00,,,,,
2024-09-30 13:00:00,,,,,
2024-09-30 13:05:00,,,,,
2024-09-30 13:10:00,,,,,
2024-09-30 13:15:00,1.598,1.6,1.598,1.6,
2024-09-30 13:20:00,,,,,
2024-09-30 13:25:00,,,,,
2024-09-30 13:30:00,,,,,
2024-09-30 13:35:00,,,,,
2024-09-30 13:40:00,,,,,
2024-09-30 13:45:00,,,,,
2024-09-30 13:50:00,,,,,
2024-09-30 13:55:00,,,,,
2024-09-30 14:00:00,,,,,
2024-09-30 14:05:00,,,,,
2024-09-30 14:10:00,,,,,
2024-09-30 14:15:00,,,,,
2024-09-30 14:20:00,,,,,
2024-09-30 14:25:00,,,,,
2024-09-30 14:30:00,,,,,
2024-09-30 14:35:00,,,,,
2024-09-30 14:40:00,,,,,
2024-09-30 14:45:00,,,,,
2024-09-30 14:50:00,,,,,
2024-09-30 14:55:00,,,,,
2024-09-30 15:00:00,,,,,
2024-09-30 15:05:00,,,,,
2024-09-30 15:10:00,,,,,
2024-09-30 15:15:00,,,,,
2024-09-30 15:20:00,,,,,
2024-09-30 15:25:00,,,,,
2024-09-30 15:30:00,1.631999,1.631999,1.631999,1.631999,
2024-10-01 07:00:00,1.61,1.61,1.61,1.61,1770.0
2024-10-01 07:05:00,,,,,
2024-10-01 07:10:00,,,,,
2024-10-01 07:15:00,,,,,
2024-10-01 07:20:00,1.649999,1.651999,1.649999,1.649999,2359.0
2024-10-01 07:25:00,1.649999,1.656,1.6,1.6,6694.0
2024-10-01 07:30:00,1.6,1.6,1.6,1.6,594.0
2024-10-01 07:35:00,,,,,
2024-10-01 07:40:00,,,,,
2024-10-01 07:45:00,,,,,
2024-10-01 07:50:00,,,,,
2024-10-01 07:55:00,,,,,
2024-10-01 08:00:00,,,,,
2024-10-01 08:05:00,,,,,
2024-10-01 08:10:00,,,,,
2024-10-01 08:15:00,,,,,
2024-10-01 08:20:00,,,,,
2024-10-01 08:25:00,,,,,
2024-10-01 08:30:00,,,,,
2024-10-01 08:35:00,,,,,
2024-10-01 08:40:00,,,,,
2024-10-01 08:45:00,,,,,
2024-10-01 08:50:00,,,,,
2024-10-01 08:55:00,,,,,
2024-10-01 09:00:00,,,,,
2024-10-01 09:05:00,,,,,
2024-10-01 09:10:00,,,,,
2024-10-01 09:15:00,,,,,
2024-10-01 09:20:00,,,,,
2024-10-01 09:25:00,,,,,
2024-10-01 09:30:00,,,,,
2024-10-01 09:35:00,,,,,
2024-10-01 09:40:00,,,,,
2024-10-01 09:45:00,,,,,
2024-10-01 09:50:00,,,,,
2024-10-01 09:55:00,,,,,
2024-10-01 10:00:00,,,,,
2024-10-01 10:05:00,,,,,
2024-10-01 10:10:00,,,,,
2024-10-01 10:15:00,,,,,
2024-10-01 10:20:00,,,,,
2024-10-01 10:25:00,,,,,
2024-10-01 10:30:00,,,,,
2024-10-01 10:35:00,,,,,
2024-10-01 10:40:00,,,,,
2024-10-01 10:45:00,,,,,
2024-10-01 10:50:00,,,,,
2024-10-01 10:55:00,,,,,
2024-10-01 11:00:00,1.577999,1.58,1.577999,1.58,3201.0
2024-10-01 11:05:00,,,,,
2024-10-01 11:10:00,,,,,
2024-10-01 11:15:00,,,,,
2024-10-01 11:20:00,,,,,
2024-10-01 11:25:00,,,,,
2024-10-01 11:30:00,,,,,
2024-10-01 11:35:00,,,,,
2024-10-01 11:40:00,,,,,
2024-10-01 11:45:00,,,,,
2024-10-01 11:50:00,,,,,
2024-10-01 11:55:00,,,,,
2024-10-01 12:00:00,,,,,
2024-10-01 12:05:00,,,,,
2024-10-01 12:10:00,,,,,
2024-10-01 12:15:00,,,,,
2024-10-01 12:20:00,,,,,
2024-10-01 12:25:00,,,,,
2024-10-01 12:30:00,,,,,
2024-10-01 12:35:00,1.59,1.59,1.59,1.59,245.0
2024-10-01 12:40:00,,,,,
2024-10-01 12:45:00,,,,,
2024-10-01 12:50:00,,,,,
2024-10-01 12:55:00,,,,,
2024-10-01 13:00:00,,,,,
2024-10-01 13:05:00,1.59,1.59,1.59,1.59,217.0
2024-10-01 13:10:00,,,,,
2024-10-01 13:15:00,1.6,1.6,1.6,1.6,
2024-10-01 13:20:00,1.61,1.61,1.61,1.61,39726.0
2024-10-01 13:25:00,,,,,
2024-10-01 13:30:00,,,,,
2024-10-01 13:35:00,,,,,
2024-10-01 13:40:00,,,,,
2024-10-01 13:45:00,,,,,
2024-10-01 13:50:00,,,,,
2024-10-01 13:55:00,,,,,
2024-10-01 14:00:00,,,,,
2024-10-01 14:05:00,,,,,
2024-10-01 14:10:00,,,,,
2024-10-01 14:15:00,,,,,
2024-10-01 14:20:00,,,,,
2024-10-01 14:25:00,1.61,1.61,1.61,1.61,7.0
2024-10-01 14:30:00,,,,,
2024-10-01 14:35:00,,,,,
2024-10-01 14:40:00,,,,,
2024-10-01 14:45:00,,,,,
2024-10-01 14:50:00,,,,,
2024-10-01 14:55:00,,,,,
2024-10-01 15:00:00,,,,,
2024-10-01 15:05:00,,,,,
2024-10-01 15:10:00,,,,,
2024-10-01 15:15:00,,,,,
2024-10-01 15:20:00,,,,,
2024-10-01 15:25:00,,,,,
2024-10-01 15:30:00,1.6,1.6,1.6,1.6,
2024-10-02 07:00:00,1.648,1.648,1.648,1.648,41.0
2024-10-02 07:05:00,,,,,
2024-10-02 07:10:00,,,,,
2024-10-02 07:15:00,,,,,
2024-10-02 07:20:00,,,,,
2024-10-02 07:25:00,,,,,
2024-10-02 07:30:00,,,,,
2024-10-02 07:35:00,,,,,
2024-10-02 07:40:00,,,,,
2024-10-02 07:45:00,,,,,
2024-10-02 07:50:00,,,,,
2024-10-02 07:55:00,,,,,
2024-10-02 08:00:00,1.639999,1.639999,1.639999,1.639999,20000.0
2024-10-02 08:05:00,,,,,
2024-10-02 08:10:00,1.641999,1.641999,1.639999,1.639999,8701.0
2024-10-02 08:15:00,,,,,
2024-10-02 08:20:00,,,,,
2024-10-02 08:25:00,,,,,
2024-10-02 08:30:00,,,,,
2024-10-02 08:35:00,,,,,
2024-10-02 08:40:00,,,,,
2024-10-02 08:45:00,,,,,
2024-10-02 08:50:00,,,,,
2024-10-02 08:55:00,,,,,
2024-10-02 09:00:00,,,,,
2024-10-02 09:05:00,,,,,
2024-10-02 09:10:00,,,,,
2024-10-02 09:15:00,,,,,
2024-10-02 09:20:00,,,,,
2024-10-02 09:25:00,,,,,
2024-10-02 09:30:00,,,,,
2024-10-02 09:35:00,,,,,
2024-10-02 09:40:00,,,,,
2024-10-02 09:45:00,,,,,
2024-10-02 09:50:00,,,,,
2024-10-02 09:55:00,,,,,
2024-10-02 10:00:00,1.639999,1.639999,1.639999,1.639999,4742.0
2024-10-02 10:05:00,,,,,
2024-10-02 10:10:00,,,,,
