datetime,Open,High,Low,Close,Volume
2024-02-12 08:00:00,110.800003,110.800003,110.599998,110.599998,
2024-02-12 08:05:00,,,,,
2024-02-12 08:10:00,,,,,
2024-02-12 08:15:00,,,,,
2024-02-12 08:20:00,,,,,
2024-02-12 08:25:00,,,,,
2024-02-12 08:30:00,,,,,
2024-02-12 08:35:00,,,,,
2024-02-12 08:40:00,,,,,
2024-02-12 08:45:00,,,,,
2024-02-12 08:50:00,,,,,
2024-02-12 08:55:00,,,,,
2024-02-12 09:00:00,,,,,
2024-02-12 09:05:00,,,,,
2024-02-12 09:10:00,,,,,
2024-02-12 09:15:00,,,,,
2024-02-12 09:20:00,,,,,
2024-02-12 09:25:00,,,,,
2024-02-12 09:30:00,,,,,
2024-02-12 09:35:00,,,,,
2024-02-12 09:40:00,,,,,
2024-02-12 09:45:00,,,,,
2024-02-12 09:50:00,,,,,
2024-02-12 09:55:00,,,,,
2024-02-12 10:00:00,110.400001,110.400001,110.400001,110.400001,27.0
2024-02-12 10:05:00,,,,,
2024-02-12 10:10:00,,,,,
2024-02-12 10:15:00,,,,,
2024-02-12 10:20:00,,,,,
2024-02-12 10:25:00,,,,,
2024-02-12 10:30:00,,,,,
2024-02-12 10:35:00,110.400001,110.400001,110.400001,110.400001,93.0
2024-02-12 10:40:00,,,,,
2024-02-12 10:45:00,,,,,
2024-02-12 10:50:00,,,,,
2024-02-12 10:55:00,,,,,
2024-02-12 11:00:00,,,,,
2024-02-12 11:05:00,,,,,
2024-02-12 11:10:00,,,,,
2024-02-12 11:15:00,,,,,
2024-02-12 11:20:00,,,,,
2024-02-12 11:25:00,,,,,
2024-02-12 11:30:00,,,,,
2024-02-12 11:35:00,110.199996,110.199996,110.199996,110.199996,6.0
2024-02-12 11:40:00,,,,,
2024-02-12 11:45:00,,,,,
2024-02-12 11:50:00,,,,,
2024-02-12 11:55:00,,,,,
2024-02-12 12:00:00,110.199996,110.199996,110.199996,110.199996,1325.0
2024-02-12 12:05:00,,,,,
2024-02-12 12:10:00,,,,,
2024-02-12 12:15:00,,,,,
2024-02-12 12:20:00,,,,,
2024-02-12 12:25:00,,,,,
2024-02-12 12:30:00,,,,,
2024-02-12 12:35:00,,,,,
2024-02-12 12:40:00,,,,,
2024-02-12 12:45:00,,,,,
2024-02-12 12:50:00,110.599998,110.599998,110.199996,110.199996,3118.0
2024-02-12 12:55:00,,,,,
2024-02-12 13:00:00,110.199996,110.199996,110.199996,110.199996,46.0
2024-02-12 13:05:00,,,,,
2024-02-12 13:10:00,,,,,
2024-02-12 13:15:00,,,,,
2024-02-12 13:20:00,,,,,
2024-02-12 13:25:00,,,,,
2024-02-12 13:30:00,,,,,
2024-02-12 13:35:00,,,,,
2024-02-12 13:40:00,110.800003,110.800003,110.800003,110.800003,25.0
2024-02-12 13:45:00,,,,,
2024-02-12 13:50:00,,,,,
2024-02-12 13:55:00,,,,,
2024-02-12 14:00:00,,,,,
2024-02-12 14:05:00,,,,,
2024-02-12 14:10:00,,,,,
2024-02-12 14:15:00,,,,,
2024-02-12 14:20:00,,,,,
2024-02-12 14:25:00,110.800003,110.800003,110.800003,110.800003,182.0
2024-02-12 14:30:00,110.400001,110.400001,110.400001,110.400001,250.0
2024-02-12 14:35:00,110.199996,110.199996,110.199996,110.199996,500.0
2024-02-12 14:40:00,,,,,
2024-02-12 14:45:00,,,,,
2024-02-12 14:50:00,,,,,
2024-02-12 14:55:00,,,,,
2024-02-12 15:00:00,110.199996,110.199996,110.199996,110.199996,124.0
2024-02-12 15:05:00,,,,,
2024-02-12 15:10:00,110.199996,110.199996,109.800003,109.800003,450.0
2024-02-12 15:15:00,,,,,
2024-02-12 15:20:00,,,,,
2024-02-12 15:25:00,,,,,
2024-02-12 15:30:00,,,,,
2024-02-12 15:35:00,,,,,
2024-02-12 15:40:00,,,,,
2024-02-12 15:45:00,,,,,
2024-02-12 15:50:00,,,,,
2024-02-12 15:55:00,110.400001,110.400001,110.0,110.0,281.0
2024-02-12 16:00:00,110.599998,110.599998,110.0,110.0,186.0
2024-02-12 16:05:00,,,,,
2024-02-12 16:10:00,,,,,
2024-02-12 16:15:00,110.0,110.0,109.800003,110.0,247.0
2024-02-12 16:20:00,,,,,
