datetime,Open,High,Low,Close,Volume
2024-02-12 08:00:00,56.0,56.0,56.0,56.0,
2024-02-12 08:05:00,56.04,56.04,56.02,56.02,329.0
2024-02-12 08:10:00,,,,,
2024-02-12 08:15:00,56.02,56.02,56.0,56.0,100.0
2024-02-12 08:20:00,,,,,
2024-02-12 08:25:00,,,,,
2024-02-12 08:30:00,56.02,56.02,56.02,56.02,1.0
2024-02-12 08:35:00,,,,,
2024-02-12 08:40:00,,,,,
2024-02-12 08:45:00,,,,,
2024-02-12 08:50:00,56.02,56.02,56.02,56.02,2.0
2024-02-12 08:55:00,56.02,56.02,56.02,56.02,1.0
2024-02-12 09:00:00,56.02,56.02,56.02,56.02,35.0
2024-02-12 09:05:00,56.560001,56.560001,56.02,56.02,17.0
2024-02-12 09:10:00,56.02,56.02,56.02,56.02,1.0
2024-02-12 09:15:00,56.54,56.54,56.04,56.04,3.0
2024-02-12 09:20:00,56.04,56.04,56.04,56.04,1.0
2024-02-12 09:25:00,,,,,
2024-02-12 09:30:00,56.52,56.52,56.52,56.52,26.0
2024-02-12 09:35:00,56.5,56.5,56.5,56.5,150.0
2024-02-12 09:40:00,56.639999,56.68,56.639999,56.68,10.0
2024-02-12 09:45:00,,,,,
2024-02-12 09:50:00,56.2,56.2,56.2,56.2,7.0
2024-02-12 09:55:00,56.080001,56.080001,56.080001,56.080001,35.0
2024-02-12 10:00:00,56.02,56.02,56.02,56.02,7.0
2024-02-12 10:05:00,,,,,
2024-02-12 10:10:00,56.119998,56.119998,56.119998,56.119998,1.0
2024-02-12 10:15:00,56.560001,56.599998,56.560001,56.599998,150.0
2024-02-12 10:20:00,,,,,
2024-02-12 10:25:00,56.720001,56.979999,56.720001,56.979999,85.0
2024-02-12 10:30:00,,,,,
2024-02-12 10:35:00,,,,,
2024-02-12 10:40:00,56.299999,56.299999,56.299999,56.299999,2.0
2024-02-12 10:45:00,56.34,56.34,56.34,56.34,1.0
2024-02-12 10:50:00,56.319999,56.319999,56.319999,56.319999,2.0
2024-02-12 10:55:00,56.319999,56.319999,56.319999,56.319999,10.0
2024-02-12 11:00:00,,,,,
2024-02-12 11:05:00,,,,,
2024-02-12 11:10:00,56.36,56.36,56.060001,56.060001,150.0
2024-02-12 11:15:00,,,,,
2024-02-12 11:20:00,56.139999,56.139999,56.139999,56.139999,9.0
2024-02-12 11:25:00,56.220001,56.220001,56.220001,56.220001,21.0
2024-02-12 11:30:00,,,,,
2024-02-12 11:35:00,56.799999,57.080001,56.799999,57.080001,89.0
2024-02-12 11:40:00,,,,,
2024-02-12 11:45:00,,,,,
2024-02-12 11:50:00,,,,,
2024-02-12 11:55:00,56.2,56.2,56.2,56.2,1.0
2024-02-12 12:00:00,,,,,
2024-02-12 12:05:00,,,,,
2024-02-12 12:10:00,56.580001,56.939998,56.580001,56.939998,106.0
2024-02-12 12:15:00,56.2,56.2,56.2,56.2,8.0
2024-02-12 12:20:00,,,,,
2024-02-12 12:25:00,,,,,
2024-02-12 12:30:00,56.2,56.2,56.2,56.2,1.0
2024-02-12 12:35:00,,,,,
2024-02-12 12:40:00,,,,,
2024-02-12 12:45:00,56.2,56.2,56.2,56.2,3.0
2024-02-12 12:50:00,,,,,
2024-02-12 12:55:00,56.2,56.2,56.119998,56.119998,58.0
2024-02-12 13:00:00,,,,,
2024-02-12 13:05:00,,,,,
2024-02-12 13:10:00,56.159999,56.159999,56.159999,56.159999,3.0
2024-02-12 13:15:00,,,,,
2024-02-12 13:20:00,56.159999,56.159999,56.159999,56.159999,1.0
2024-02-12 13:25:00,56.7,56.819999,56.7,56.7,310.0
2024-02-12 13:30:00,,,,,
2024-02-12 13:35:00,,,,,
2024-02-12 13:40:00,,,,,
2024-02-12 13:45:00,,,,,
2024-02-12 13:50:00,56.7,56.7,56.7,56.7,8.0
2024-02-12 13:55:00,,,,,
2024-02-12 14:00:00,,,,,
2024-02-12 14:05:00,56.7,56.7,56.7,56.7,5.0
2024-02-12 14:10:00,,,,,
2024-02-12 14:15:00,56.86,56.86,56.86,56.86,5.0
2024-02-12 14:20:00,,,,,
2024-02-12 14:25:00,,,,,
2024-02-12 14:30:00,,,,,
2024-02-12 14:35:00,56.759998,56.759998,56.759998,56.759998,1.0
2024-02-12 14:40:00,56.759998,56.759998,56.099998,56.099998,1659.0
2024-02-12 14:45:00,56.560001,56.580001,56.560001,56.580001,31.0
2024-02-12 14:50:00,56.119998,56.119998,56.119998,56.119998,1.0
2024-02-12 14:55:00,56.400001,56.400001,56.279998,56.279998,6.0
2024-02-12 15:00:00,56.279998,56.279998,56.099998,56.099998,10.0
2024-02-12 15:05:00,,,,,
2024-02-12 15:10:00,,,,,
2024-02-12 15:15:00,,,,,
2024-02-12 15:20:00,,,,,
2024-02-12 15:25:00,,,,,
2024-02-12 15:30:00,56.139999,56.139999,56.139999,56.139999,1.0
2024-02-12 15:35:00,,,,,
2024-02-12 15:40:00,,,,,
2024-02-12 15:45:00,,,,,
2024-02-12 15:50:00,56.479999,56.639999,56.479999,56.639999,60.0
2024-02-12 15:55:00,56.18,56.18,56.159999,56.159999,23.0
2024-02-12 16:00:00,,,,,
2024-02-12 16:05:00,56.159999,56.279998,56.139999,56.279998,124.0
2024-02-12 16:10:00,56.099998,56.099998,56.099998,56.099998,9.0
2024-02-12 16:15:00,56.119998,56.52,56.02,56.02,226.0
2024-02-12 16:20:00,56.04,56.04,56.04,56.04,3.0
2024-02-12 16:25:00,56.479999,56.5,56.279998,56.400001,289.0
2024-02-12 16:30:00,56.2,56.2,56.2,56.2,
2024-02-13 08:00:00,56.02,56.2,56.02,56.04,
2024-02-13 08:05:00,56.5,56.5,56.5,56.5,2.0
2024-02-13 08:10:00,,,,,
2024-02-13 08:15:00,,,,,
2024-02-13 08:20:00,,,,,
2024-02-13 08:25:00,56.02,56.02,56.0,56.0,224.0
2024-02-13 08:30:00,,,,,
2024-02-13 08:35:00,,,,,
2024-02-13 08:40:00,,,,,
2024-02-13 08:45:00,,,,,
2024-02-13 08:50:00,56.099998,56.099998,55.819999,55.819999,248.0
2024-02-13 08:55:00,56.18,56.18,56.18,56.18,38.0
2024-02-13 09:00:00,,,,,
2024-02-13 09:05:00,,,,,
2024-02-13 09:10:00,,,,,
2024-02-13 09:15:00,,,,,
2024-02-13 09:20:00,55.979999,55.979999,55.979999,55.979999,15.0
2024-02-13 09:25:00,,,,,
2024-02-13 09:30:00,,,,,
2024-02-13 09:35:00,56.139999,56.759998,56.0,56.0,504.0
2024-02-13 09:40:00,56.880001,57.0,56.880001,57.0,283.0
2024-02-13 09:45:00,55.580001,55.580001,55.580001,55.580001,1.0
2024-02-13 09:50:00,,,,,
2024-02-13 09:55:00,,,,,
2024-02-13 10:00:00,56.880001,56.880001,56.880001,56.880001,4.0
2024-02-13 10:05:00,56.900001,56.900001,56.900001,56.900001,3.0
2024-02-13 10:10:00,55.580001,55.580001,55.580001,55.580001,15.0
2024-02-13 10:15:00,56.479999,56.479999,56.479999,56.479999,23.0
2024-02-13 10:20:00,,,,,
2024-02-13 10:25:00,55.740001,55.740001,55.740001,55.740001,20.0
2024-02-13 10:30:00,,,,,
2024-02-13 10:35:00,,,,,
2024-02-13 10:40:00,,,,,
2024-02-13 10:45:00,56.18,56.18,56.18,56.18,3.0
2024-02-13 10:50:00,,,,,
2024-02-13 10:55:00,55.7,55.7,55.7,55.7,1.0
2024-02-13 11:00:00,56.18,56.18,56.18,56.18,43.0
2024-02-13 11:05:00,,,,,
2024-02-13 11:10:00,,,,,
2024-02-13 11:15:00,,,,,
2024-02-13 11:20:00,56.400001,56.400001,55.900001,55.900001,23.0
2024-02-13 11:25:00,,,,,
2024-02-13 11:30:00,,,,,
2024-02-13 11:35:00,,,,,
2024-02-13 11:40:00,,,,,
2024-02-13 11:45:00,,,,,
2024-02-13 11:50:00,,,,,
2024-02-13 11:55:00,56.439998,56.439998,56.439998,56.439998,77.0
2024-02-13 12:00:00,,,,,
2024-02-13 12:05:00,56.439998,56.439998,56.139999,56.139999,177.0
2024-02-13 12:10:00,,,,,
2024-02-13 12:15:00,55.919998,55.919998,55.560001,55.560001,43.0
2024-02-13 12:20:00,,,,,
2024-02-13 12:25:00,,,,,
2024-02-13 12:30:00,56.0,56.0,56.0,56.0,2.0
